"analysis","Pathway","NES","pval","padj","size"
"global25","Proteasome",1.51586668427521,0.0218004513217279,0.126156710107704,44
"global25","Autophagy - other",-1.32994008538834,0.103849382419954,0.283192237945411,30
"global25","Mitophagy",1.43218748568361,0.0217993643549833,0.126156710107704,89
"global25","Autophagy",-0.925609379133464,0.641066687490239,0.772343142266397,149
"within15","Proteasome",1.88056919729581,0.00054918033747313,0.00837925505996343,44
"within15","Autophagy - other",-0.938795636126857,0.55324118207817,0.742563259595414,29
"within15","Mitophagy",1.6703493502465,0.00123371552720186,0.0131970176091592,87
"within15","Autophagy",-0.773776937421439,0.962714932126697,0.983068414052616,145
"within25","Proteasome",1.60773182207287,0.0111218903748874,0.0572213200447105,45
"within25","Autophagy - other",-1.10699301339239,0.297360355002516,0.515101212584418,30
"within25","Mitophagy",1.4467084262551,0.0212476796605675,0.0906449102670104,91
"within25","Autophagy",-0.799316428993998,0.93581008003461,0.968549791289465,150
"reference95","Proteasome",1.61456159395796,0.0103462291689761,0.066675699088957,43
"reference95","Autophagy - other",-1.1841879267738,0.218893317903219,0.403041664710689,29
"reference95","Mitophagy",1.40052237077099,0.0343894051364601,0.144186903463712,82
"reference95","Autophagy",-1.01209358403937,0.421900452488688,0.587285429864253,143
"within15_symbol_sensitivity","Proteasome",1.87889946590508,0.0005515079207259,0.00803270826290604,44
"within15_symbol_sensitivity","Autophagy - other",-0.939840504965411,0.547807435653003,0.735270056218669,29
"within15_symbol_sensitivity","Mitophagy",1.67039876113412,0.00123033729319498,0.0131608807423584,87
"within15_symbol_sensitivity","Autophagy",-0.773982814473808,0.96461745294549,0.983716440761625,145
