"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes"
"Central carbon metabolism in cancer",1.21366226769431,0.178425800074138,0.292501311596948,"Up",56,"Ret;Slc16a3;Pfkp;Slc2a1;Tigar;Ldha;Hk3;Hras;Flt3;Pkm;Sco2;Kit;Map2k2;Fgfr3;Pik3cb;Pik3r2"
"Glycerophospholipid metabolism",1.1999417339143,0.181140193617784,0.295337272202909,"Up",73,"Gpat3;Plpp2;Agpat4;Pla2g2d;Cept1;Pla2g4f;Agpat2;Mboat2;Lypla2;Pld3;Chkb;Pld1;Lpin3;Gpat4;Gpcpd1;Lpcat2;Lpcat1;Pgs1;Pnpla6;Lpcat4;Phospho1;Pld2"
"Non-small cell lung cancer",1.20803079551311,0.182548570872085,0.296024709522299,"Up",63,"Gadd45g;Cdkn2a;Gadd45b;Bax;Rxrg;Gadd45a;Hras;Rxra;Ccnd1;Plcg2;Map2k2;Prkcg;Pik3cb;Pik3r2;Fhit;Jak3;Mapk3;Tgfa;Stat5b;Rassf1;Bad;Map2k1;Cdkn1a;Raf1;Bak1;Akt2;Araf;Rassf5;Rb1;Grb2;Pik3r3"
"Mineral absorption",1.22833666225621,0.190033806266138,0.306506139138932,"Up",31,"Hmox1;Atox1;Trf;Vdr;Slc40a1;Mt2;Atp2b1;Slc6a19;Slc26a6;Fth1;Ftl1;Slc39a4;Atp1b2;Mt1;Hmox2;Slc11a2;Fxyd2;Slc30a1"
"Long-term potentiation",1.20356307215466,0.193229689067202,0.309994153583746,"Up",50,"Gria2;Camk4;Adcy1;Rap1b;Grin2d;Ppp3ca;Hras;Atf4;Rps6ka1;Calm1;Map2k2;Prkcg;Rap1a;Camk2d;Ppp3cc;Ppp1cc;Mapk3;Map2k1;Calm2;Gnaq;Camk2a;Prkaca;Raf1"
"Adherens junction",1.19163370600244,0.198700951176199,0.316607244082781,"Up",64,"Actb;Nectin1;Lmo7;Csnk2b;Src;Ctnna1;Tjp1;Tgfbr2;Ptpn1;Rac2;Fyn;Cdh1;Cdc42;Nlk;Fer;Tcf7l1;Yes1;Nectin3;Pard3;Csnk2a2;Mapk3;Csnk2a1;Ctnna2;Ssx2ip"
"Phosphonate and phosphinate metabolism",-1.27449427545273,0.199746822089773,0.316607244082781,"Down",6,"Pcyt1b;Chpt1"
"Steroid hormone biosynthesis",1.24594993401894,0.200517921252428,0.316607244082781,"Up",13,"Cyp11a1;Dhrs11;Srd5a3;Hsd11b1;Cyp2d26"
"Glucagon signaling pathway",1.1666969846322,0.217120382874879,0.341026779384626,"Up",78,"Prkag1;Pygl;Creb3;Slc2a1;Creb5;Ldha;Ppp3ca;Atf4;Pkm;Sik1;Phkg2;Prkaa1;Calm1;Foxo1;Creb3l1;Camk2d;Ppp3cc;Ppp4c;Crtc2;Pdhb;Pygm;Prkab1;Phka1;G6pc3;Calm2;Gnaq;Camk2a;Pgam1;Map4k2;Prkaca;Pdha1;Ppargc1a;Akt2"
"Basal cell carcinoma",1.18420804651787,0.221702095004221,0.345962656264858,"Up",42,"Gadd45g;Fzd6;Bmp4;Gadd45b;Bax;Gadd45a"
"Ubiquitin mediated proteolysis",-1.09345933382058,0.222569308863725,0.345962656264858,"Down",128,"Ube4b;Trim37;Huwe1;Cblb;Pml;Ube4a;Mid1;Cdc26;Ube2o;Cdc27;Cdc20;Skp2;Siah1b;Uba6;Ubox5;Aire;Ube3c;Birc6;Cul4b;Ube2c;Prpf19;Anapc1;Cul3;Cbl;Ube2i;Ube2s;Ube2l3;Ddb1;Klhl9;Fbxw11;Herc2;Ube2q2;Det1;Ube3a;Brca1;Pias1;Cdc23;Cul2"
"Retinol metabolism",1.21304446791681,0.225694044464923,0.349011408966376,"Up",16,"Aldh1a2;Rdh10;Dgat1;Cyp2s1;Rdh5;Ugt1a7c;Rdh12;Rdh1"
"Fatty acid biosynthesis",1.21350232153302,0.233155274978754,0.356870318845032,"Up",10,"Acsbg1;Acsl5;Acsl4;Mcat;Acsl3;Acsl1"
"PPAR signaling pathway",1.16880136705504,0.232456912819223,0.356870318845032,"Up",49,"Cyp27a1;Acsbg1;Ubc;Rxrg;Cd36;Lpl;Rxra;Pparg;Acox3;Acaa1a;Cpt2;Acsl5;Pltp;Slc27a6;Apoa2"
"Gap junction",1.16118058622203,0.234429551502722,0.356999317009222,"Up",62,"Tuba8;Tubb6;Adcy4;Tuba1a;Adcy1;Adrb1;Src;Hras;Tubb4a;Tuba1c;Tjp1;Map2k2;Prkcg;Tubb2a;Lpar1;Adcy7;Tubb3;Adcy3;Mapk3;Tubb2b;Adcy9;Map2k1;Gnaq;Prkaca;Raf1;Gja1;Pdgfb;Tuba4a"
"Nitrogen metabolism",1.20814606552614,0.238679130751487,0.358018696127231,"Up",10,"Car5b;Car7;Car8;Glud1;Car9;Car2;Glul"
"Olfactory transduction",1.18924815381247,0.236557961085229,0.358018696127231,"Up",25,"Arrb2;Ncald;Pde1c;Arrb1;Calm1;Gnb1;Camk2d;Adcy3;Pde1b;Rgs2;Calm2;Camk2a;Prkaca"
"mTOR signaling pathway",1.13313910925565,0.238079322638146,0.358018696127231,"Up",128,"Fzd6;Grb10;Tnf;Castor1;Rnf152;Lamtor5;Sgk1;Atp6v1b2;Ikbkb;Atp6v1f;Igf1;Eif4ebp1;Hras;Lamtor2;Sesn2;Lamtor4;Atp6v1e1;Prkaa1;Rps6ka1;Ddit4;Lamtor3;Wnt10b;Atp6v1g1;Atp6v1h;Atp6v1c1;Fzd10;Nprl3;Map2k2;Prkcg;Cab39l;Atp6v1g2;Pik3cb;Lamtor1;Slc3a2;Pik3r2;Fnip2"
"Galactose metabolism",1.18008798183989,0.245628939435462,0.362234626818671,"Up",25,"Lalba;Pfkp;Galm;Glb1;Hk3;Gla;Pgm1;Akr1b7;Galk1;G6pc3;Ganc;Map4k2"
"Prolactin signaling pathway",1.15554936298795,0.24613863832942,0.362234626818671,"Up",56,"Mapk13;Socs1;Cish;Tnfsf11;Tnfrsf11a;Fos;Src;Hras;Ccnd1;Socs2;Map2k2;Nfkb1;Pik3cb;Ccnd2;Pik3r2;Jak2;Rela;Irf1;Mapk3;Stat5b;Socs3;Map2k1;Map4k2;Raf1"
"Ras signaling pathway",1.12206678722931,0.244623364222314,0.362234626818671,"Up",163,"Zap70;Kdr;Flt3l;Pla2g2d;Htr7;Pla2g4f;Gng2;Rras;Pgf;Fgf2;Ikbkb;Rap1b;Igf1;Gnb5;Pla1a;Pld1;Rasgrp4;Hras;Flt3;Csf1r;Plcg2;Csf1;Calm1;Mras;Rasgrp3;Bcl2l1;Igf2;Gnb1;Kit;Map2k2;Prkcg;Brap;Ksr1;Gab2;Fgfr3;Rac2;Nfkb1;Ralgds;Gnb2;Pik3cb;Pik3r2;Pak6;Rap1a;Rin1;Pld2;Rasa3;Cdc42;Epha2;Rasgrp1;Rasal3;Rasgrf1;Gngt2;Rala;Rab5c;Rela;Mapk3;Lat;Tgfa;Arf6;Pla2g3;Plce1;Rassf1;Tiam1;Bad;Shoc2;Gng5;Map2k1;Calm2;Rasa2;Tbk1;Prkaca;Vegfc;Raf1"
"Selenocompound metabolism",-1.17757608980637,0.246319546236696,0.362234626818671,"Down",14,"Mars2;Mtr;Papss2;Sephs2;Sepsecs"
"Sulfur metabolism",1.20227633762698,0.249027721601693,0.364430812100038,"Up",8,"Sqor"
"Chemical carcinogenesis",1.16890208112967,0.253054429258076,0.368525867851567,"Up",29,"Gstp2;Mgst2;Gstk1;Ephx1;Hpgds;Gsto2;Hsd11b1;Cbr1;Sult1a1;Mgst1;Gstm5;Ugt1a7c;Gstp1;Gstt2"
"African trypanosomiasis",1.16765999404282,0.2572876368986,0.372880633186376,"Up",26,"Tnf;Tlr9;Il1b;Il6;Myd88;Hba-a1;Icam1;Vcam1;Prkcg;Fas;Il18"
"Gastric acid secretion",1.14248541177964,0.262724871052963,0.378140503893077,"Up",49,"Actb;Kcnj15;Adcy4;Adcy1;Calm1;Prkcg;Mylk3;Kcnj2;Camk2d;Chrm3;Adcy7;Adcy3;Adcy9;Atp1b2;Car2;Kcnj10;Calm2;Gnaq;Camk2a;Slc9a1;Prkaca"
"Phenylalanine metabolism",1.18389858287968,0.263437884378844,0.378140503893077,"Up",9,"Ddc;Il4i1;Got1"
"Starch and sucrose metabolism",1.15473546435434,0.278912133891213,0.398445905558876,"Up",21,"Pygl;Gpi1;Hk3;Enpp1;Pgm1;Pygm;G6pc3;Ganc;Map4k2"
"RIG-I-like receptor signaling pathway",1.12454776906753,0.288248784052821,0.409832394387897,"Up",48,"Tnf;Mapk13;Ikbkb;Nfkbia;Cxcl10;Tradd;Ikbke;Traf2;Nfkb1;Cyld;Nfkbib;Atg5"
"alpha-Linolenic acid metabolism",1.15143476630019,0.297321562172677,0.420738059678316,"Up",11,"Pla2g2d;Pla2g4f;Acox3;Acaa1a"
"Peroxisome",1.10605717363677,0.304041420969366,0.42822735347798,"Up",71,"Mlycd;Prdx5;Phyh;Mpv17l2;Amacr;Gstk1;Pex16;Acox3;Mpv17l;Acaa1a;Far1;Acsl5;Sod1;Acot8;Nudt7;Pex2;Pex11a;Prdx1;Pipox"
"Autophagy",1.09116523412749,0.307276721664275,0.430761759342442,"Up",122,"Gabarap;Irs4;Gabarapl2;Rras;Vamp8;Ctsd;Rab7b;Atg4a;Dapk2;Prkcq;Hras;Atg16l2;Prkaa1;Ddit4;Mras;Bcl2l1;Trp53inp2;Bcl2;Atg101;Map2k2;Atg4b;Lamp1;Becn1;Bnip3;Rab7;Dapk3;Atg3;Pik3cb;Atg5;Cflar;Pik3r2;Atg7"
"Insulin signaling pathway",1.08273935050034,0.323418564239128,0.451281717542969,"Up",116,"Prkag1;Pygl;Irs4;Inppl1;Socs1;Prkcz;Ikbkb;Hk3;Trip10;Eif4ebp1;Rhoq;Hras;Prkar1a;Lipe;Phkg2;Prkaa1;Calm1;Foxo1;Ppp1r3b;Socs2;Prkar2a;Map2k2;Ptpn1;Pik3cb;Flot1;Pik3r2;Ppp1r3f;Pygm;Prkab1;Ppp1cc;Phka1;Mapk3;G6pc3;Inpp5k;Bad;Eif4e2;Mknk2;Socs3;Map2k1;Calm2;Ppp1r3d;Map4k2;Prkaca;Irs2;Raf1"
"Cholesterol metabolism",1.10256171890012,0.325497525534379,0.452079896575527,"Up",34,"Cyp27a1;Npc2;Tspo;Cd36;Ldlrap1;Lpl;Pltp;Apoe;Apoa2;Osbpl5;Lrpap1;Vdac3;Soat2;Mylip;Nceh1;Vapb;Soat1;Vdac2"
"Arginine biosynthesis",1.12173435779473,0.327614619504444,0.452923437102917,"Up",13,"Got1;Arg1;Asl;Arg2;Gpt;Glud1"
"Ascorbate and aldarate metabolism",-1.09653560340517,0.331056491797772,0.453502043558591,"Down",8,"Aldh1b1;Aldh2"
"Salivary secretion",1.09357954975828,0.330362492510485,0.453502043558591,"Up",52,"Adcy4;Adcy1;Adrb1;Cd38;Dmbt1;Calm1;Atp2b1;Cst3;Prkcg;Kcnn4;Chrm3;Adcy7;Adcy3;Adcy9;Atp1b2;Camp;Calm2;Gnaq;Adra1b;Ryr3;Slc9a1;Prkaca;Fxyd2"
"Neurotrophin signaling pathway",1.0743593988954,0.3407236406025,0.464623146276137,"Up",104,"Arhgdib;Irak2;Bax;Mapk13;Irak3;Camk4;Ikbkb;Rap1b;Nfkbia;Hras;Atf4;Psen2;Irak4;Plcg2;Rps6ka1;Calm1;Bcl2;Map2k2;Nfkb1;Map3k5;Nfkbib;Pik3cb;Pik3r2;Rap1a;Camk2d;Cdc42"
"ErbB signaling pathway",-1.04978878766155,0.346271580751806,0.466905567228498,"Down",73,"Abl2;Cblb;Mtor;Sos1;Nrg4;Myc;Pak4;Abl1;Elk1;Gab1;Rps6kb1;Shc4;Prkca;Cbl;Camk2g;Pak1;Sos2;Crk;Nck1"
"Pentose phosphate pathway",1.09131584424857,0.344759589411129,0.466905567228498,"Up",28,"Taldo1;Aldoa;Pfkp;Gpi1;Aldoart1;Aldoc"
"Tryptophan metabolism",1.08910852310731,0.34706647163985,0.466905567228498,"Up",27,"Ddc;Tph1;Kmo;Il4i1;Hadh;Kynu;Gcdh;Aldh3a2;Echs1;Dlst"
"Glycosaminoglycan degradation",1.09355890314921,0.35531620781016,0.475869921174322,"Up",16,"Hexa;Glb1;Galns;Gusb"
"Pyruvate metabolism",1.07238959475907,0.366728280961183,0.488971041281577,"Up",33,"Ldhd;Hagh;Acyp2;Ldha;Grhpr;Pkm"
"Cushing syndrome",1.05382208501726,0.374471165810728,0.497085618332825,"Up",112,"Cacna1d;Cyp11a1;Cdkn2b;Fzd6;Pde8a;Cdkn2a;Creb3;Adcy4;Nr4a1;Adcy1;Rap1b;Orai1;Creb5;Atf4;Cacna1s;Ccnd1;Wnt10b;Mgmt;Fzd10;Creb3l1;Map2k2"
"Taste transduction",1.06336463165189,0.384496423738643,0.508145053399088,"Up",23,"Adcy4;P2ry1;Pde1c;Hcn4;Chrm3;Cacna1a;Gabbr2;Htr1b;Pde1b;Scn3a;Gabbr1;Prkaca"
"Bile secretion",1.05057917069463,0.394088669950739,0.518537723619393,"Up",38,"Slc4a4;Adcy4;Adcy1;Abcc3;Slc2a1;Aqp9;Rxra;Ephx1;Abcb1a;Aqp1;Adcy7;Adcy3;Nceh1;Adcy9;Atp1b2;Car2;Slc9a1;Prkaca;Fxyd2"
"TGF-beta signaling pathway",1.04342381297586,0.400798022080243,0.525062911022152,"Up",61,"Cdkn2b;Bmp4;Tnf;Bmpr1a;Id2;Bmp7;Id1;Bambi;Rgmb;Neo1;Acvr2a;Tgfbr2;Dcn;Acvr1;Rbx1;Amhr2"
"RNA polymerase",1.04846371197632,0.403040374870593,0.525704836787731,"Up",26,"Polr3gl;Polr2g;Polr1d;Polr2f;Polr1c;Polr2c;Polr3c;Polr1e;Polr2e;Polr2h;Polr2l"
"Vitamin digestion and absorption",-1.02089222126894,0.417070297159314,0.541649736570538,"Down",16,"Scarb1;Kdm5a;Slc19a1;Slc23a1;Slc5a6;Mmachc"
"N-Glycan biosynthesis",1.0331709748733,0.42034690301445,0.543552029760065,"Up",45,"Alg5;Rpn1;Dad1;St6gal1;Mgat4b;Dpm3;Man1c1;Alg1;Srd5a3;Mgat5b;Rpn2;Mogs;B4galt3"
"Melanogenesis",1.03001986658707,0.423102866779089,0.544767639629729,"Up",68,"Fzd6;Creb3;Adcy4;Ednrb;Adcy1;Hras;Mc1r;a;Calm1;Wnt10b;Gnao1;Fzd10;Creb3l1;Kit;Map2k2;Prkcg"
"Hepatitis C",1.02673930440865,0.426834749000045,0.547224037179545,"Up",119,"Tnf;Bax;Cldn1;Ikbkb;Nfkbia;Ywhaq;Cxcl10;Tradd;Hras;Rxra;Ywhaz;Ccnd1;Ikbke;Oas1g;Traf2;Map2k2;Oas3;Cd81;Nfkb1;Fas;Cycs;Ifnar2;Pik3cb;Cflar;Pik3r2;Casp8;Nr1h3;Ywhab;Rela;Mapk3;Tlr3;Ripk1;Tyk2;Bad;Ticam1;Socs3;Map2k1;Cdkn1a;Fadd;Stat2;Tbk1;Raf1;Ifnar1;Eif3e;Chuk;Eif2ak3;Bak1;Oas1a;Akt2;Oas1b;Fasl;Irf9;Araf;Irf7;Rb1;Ppp2r2a;Grb2;Pik3r3"
"Hippo signaling pathway",1.02323873582772,0.4311338017033,0.548051442843178,"Up",115,"Actb;Fzd6;Bmp4;Bmpr1a;Wwtr1;Ccnd3;Wtip;Id2;Prkcz;Bmp7;Bbc3;Itgb2;Id1;Ctnna1;Ywhaq;Ywhaz;Dlg2;Ccnd1;Wnt10b;Tgfbr2;Fzd10;Sav1;Rassf4"
"Prostate cancer",1.02525889901819,0.42988034671189,0.548051442843178,"Up",83,"Creb3;Ikbkb;Nfkbia;Il1r2;Hsp90b1;Igf1;Creb5;Hras;Atf4;Ccnd1;Mmp9;Foxo1;Bcl2;Plau;Creb3l1;Map2k2;Nfkb1;Pik3cb;Pik3r2;Ar;Plat;Tcf7l1;Rela;Mapk3;Tgfa;Mdm2;Bad;Map2k1;Cdkn1a;Raf1;Gstp1;Insrr;Chuk;Akt2;Pdgfb"
"Bladder cancer",1.01419529473723,0.449050221181369,0.568418001495403,"Up",37,"Hbegf;Cdkn2a;Src;Dapk2;Hras;Ccnd1;Mmp9;Map2k2;Fgfr3;Dapk3;Cdh1;Mmp2;Mapk3;Mdm2;Rassf1;Map2k1;Cdkn1a"
"Primary bile acid biosynthesis",1.01317609512778,0.456021609809397,0.574817155221928,"Up",10,"Cyp27a1;Amacr;Acot8;Cyp46a1;Cyp39a1;Scp2;Hsd3b7;Slc27a5"
"Glioma",1.00196110706567,0.468658154661527,0.588273834303172,"Up",68,"Gadd45g;Cdkn2a;Gadd45b;Bax;Camk4;Gadd45a;Igf1;Hras;Ccnd1;Plcg2;Calm1;Map2k2;Prkcg;Pik3cb;Pik3r2;Camk2d;Mapk3;Tgfa;Mdm2;Map2k1;Calm2;Cdkn1a;Camk2a;Raf1;Bak1;Camk1d;Akt2;Pdgfb;Camk2b;Araf;Rb1;Grb2;Pik3r3"
"Endometrial cancer",0.993828845724563,0.479204250586927,0.599005313233659,"Up",56,"Gadd45g;Gadd45b;Bax;Gadd45a;Ctnna1;Hras;Ccnd1;Map2k2;Cdh1;Pik3cb;Pik3r2;Tcf7l1;Axin2;Mapk3;Ctnna2;Bad;Map2k1;Cdkn1a;Raf1;Bak1;Akt2"
"Notch signaling pathway",-0.974824643094113,0.504146411209608,0.627568146733952,"Down",46,"Dtx3l;Aph1b;Notch1;Notch3;Crebbp;Kat2a;Dtx1;Dvl2;Aph1c;Ptcra"
"Signaling pathways regulating pluripotency of stem cells",0.972984033333264,0.524676714112941,0.650425678652406,"Up",91,"Fzd6;Bmp4;Lif;Bmpr1a;Mapk13;Id2;Fgf2;Skil;Igf1;Id1;Lifr;Klf4;Hras;Acvr2a;Wnt10b;Fzd10;Pcgf2;Map2k2;Acvr1;Fgfr3;Pik3cb;Pik3r2;Jak2"
"Spliceosome",0.974264668636518,0.528645077778026,0.652648244170402,"Up",126,"Syf2;Magohb;Prpf6;Lsm4;Ccdc12;Isy1;Puf60;Hspa1b;Lsm6;Hspa1a;Bud31;Sf3b5;Sf3b6;Snrpd3;Alyref2;Txnl4a;Snrpb2;Cwc15;Rbm17;Sart1;Magoh;Zmat2;Eif4a3;Snrpe;Dhx38;Ppil1;Phf5a;Bcas2;Ddx23;Hnrnpa1l2-ps2;Rp9;Snrpg;U2af1;Srsf9;Hnrnpk;Pqbp1;Hspa8;Xab2;Snrpf;Ppih;Ctnnbl1;Tra2b;Rbm22;Snrnp70;Dhx16;Hnrnpc;Snrpd1;Rbm8a;Srsf3;Snrpa1;Snrnp27;Ddx39b;Thoc1;Prpf4"
"Nicotine addiction",0.951277710434605,0.536754886487799,0.659944532566966,"Up",10,"Gria2;Grin2d;Gabre;Cacna1a;Slc17a7"
"AMPK signaling pathway",0.95273957474437,0.566797373700529,0.694037600449627,"Up",106,"Prkag1;Mlycd;Irs4;Creb3;Pfkp;Cd36;Igf1;Creb5;Eif4ebp1;Lipe;Pparg;Rab2a;Ccnd1;Adipor1;Prkaa1;Leprot;Foxo1"
"Biosynthesis of unsaturated fatty acids",0.926174825246393,0.57592764125756,0.702350782021415,"Up",26,"Elovl1;Hacd3;Acox3;Acaa1a;Hacd4;Elovl5;Tecr;Acot7"
"Pentose and glucuronate interconversions",0.914483245629347,0.586280972279442,0.712082152566124,"Up",13,"Dhdh;Gusb;Akr1b7;Akr1a1;Ugt1a7c;Dcxr;Akr1b10;Rpe;Cryl1;Ugp2"
"ABC transporters",0.912591335481546,0.598050535699901,0.723448228669235,"Up",29,"Abcb9;Abcc3;Abcb10;Tap1;Abcb1a;Abca3;Abca5;Tap2;Abcc8;Abca7"
"Glyoxylate and dicarboxylate metabolism",0.906760590132496,0.605612438376943,0.726734926052332,"Up",27,"Gldc;Grhpr;Hoga1;Pgp;Hyi"
"Porphyrin and chlorophyll metabolism",0.901588957531507,0.605419065000702,0.726734926052332,"Up",20,"Hmox1;Alad;Gusb;Alas1;Blvra;Cox10;Ugt1a7c;Ears2;Hmox2;Ppox"
"Endocrine and other factor-regulated calcium reabsorption",0.901872318558535,0.622144158209732,0.743598595469799,"Up",37,"Clta;Ap2m1;Vdr;Rab11a;Ap2s1;Atp2b1;Prkcg;Dnm2;Ptrh1;Cltb;Adcy9;Atp1b2;Gnaq;Prkaca;Fxyd2;Trpv5"
"Fatty acid degradation",0.893506106375499,0.632041697378119,0.744868551246567,"Up",34,"Acsbg1;Acox3;Acadvl;Acaa1a;Cpt2;Acsl5;Hadh;Hadhb;Gcdh;Aldh3a2;Acsl4;Echs1;Acads;Acadl;Acsl3;Acsl1;Acadsb;Hadha"
"Hedgehog signaling pathway",0.894696750067683,0.633138268559582,0.744868551246567,"Up",35,"Arrb2;Evc;Evc2;Ccnd1;Arrb1;Bcl2"
"Nucleotide excision repair",-0.913994154722827,0.62888786340563,0.744868551246567,"Down",43,"Rfc4;Pole2;Gtf2h3;Cul4b;Rfc5;Pole;Pold2;Rfc1;Ercc6;Ddb1;Pold1;Pcna;Rad23b;Mnat1"
"Pantothenate and CoA biosynthesis",-0.871012439276257,0.628833036317827,0.744868551246567,"Down",12,"Bcat1;Pank1"
"Fatty acid elongation",0.877121789248384,0.647382844614963,0.75865177103316,"Up",25,"Elovl1;Hacd3;Hacd4;Hadh;Elovl5;Tecr;Acot7;Hadhb"
"Mucin type O-glycan biosynthesis",0.867982742082859,0.651122279970301,0.76006491825327,"Up",17,"St3gal2;Galnt6;Galnt12;Galnt3;Galnt10;Galnt1;Gcnt1"
"Mannose type O-glycan biosynthesis",-0.86614148941219,0.657927163198248,0.765031585114241,"Down",19,"Fktn;B3galnt2;Pomt1"
"Drug metabolism",-0.904335584336851,0.663583350090489,0.765673096258256,"Down",52,"Tymp;Impdh2;Tk1;Nme7;Impdh1;Nme4;Mgst3;Nme6;Umps;Gsta3;Tpmt;Uck2;Gstt3;Rrm1;Aldh3b1;Gstm1"
"Renin-angiotensin system",0.857893331189167,0.661857713269797,0.765673096258256,"Up",14,"Enpep;Cma1;Anpep"
"Thiamine metabolism",-0.834255197501858,0.678422861276904,0.779796392272303,"Down",11,"Nfs1;Tpk1;Ak4"
"Pancreatic cancer",0.876061486099971,0.690211545356759,0.790318563385601,"Up",73,"Gadd45g;Cdkn2a;Gadd45b;Bax;Ikbkb;Gadd45a;Pld1;Ccnd1;Tgfbr2;Bcl2l1;Rac2;Nfkb1;Ralgds;Pik3cb;Pik3r2;Cdc42;Tgfb1;Rala;Rela;Mapk3;Tgfa;Bad;Map2k1;Cdkn1a;Raf1;Chuk;Bak1;Akt2;Smad3;Arhgef6;Tgfb2;Araf;Rb1;Pik3r3"
"beta-Alanine metabolism",0.838060546079981,0.696485355648536,0.79446998743179,"Up",21,"Mlycd;Smox"
"Steroid biosynthesis",0.829411152914243,0.702981323890571,0.798842413512012,"Up",17,"Ebp;Cyp51;Msmo1;Soat2;Sc5d;Soat1;Lss;Fdft1;Lipa"
"Chronic myeloid leukemia",0.863105457691952,0.712346121668459,0.8038072679618,"Up",73,"Gadd45g;Cdkn2a;Gadd45b;Bax;Ikbkb;Nfkbia;Gadd45a;Hras;Ccnd1;Tgfbr2;Bcl2l1;Map2k2;Gab2;Nfkb1;Pik3cb;Pik3r2;Tgfb1;Rela;Hdac1;Mapk3;Mdm2;Stat5b;Bad;Map2k1;Cdkn1a;Raf1;Chuk;Bak1;Akt2;Smad3;Tgfb2;Araf;Ctbp1;Rb1;Grb2;Pik3r3"
"Glycine, serine and threonine metabolism",0.836933339443296,0.71270911092613,0.8038072679618,"Up",29,"Gldc;Psph;Grhpr;Tha1;Gnmt;Alas1;Bpgm;Sbds"
"Carbohydrate digestion and absorption",0.830502149028077,0.719567690557452,0.80850302309826,"Up",27,"Cacna1d;Slc37a4;Hk3"
"Inositol phosphate metabolism",0.851910867772706,0.72568578553616,0.809315002456684,"Up",66,"Inppl1;Itpk1;Mtmr7;Inpp4b;Inpp5d;Plcg2;Pi4k2a;Inpp4a;Inpp5b;Pik3cb;Impa1;Tpi1;Plch1;Cdipt;Isyna1;Inpp5k;Plce1;Synj1;Pip5k1b;Pip4k2c;Pik3c3;Pip4k2a;Inpp1;Pi4kb"
"Long-term depression",0.83932452080035,0.725355528889116,0.809315002456684,"Up",43,"Gria2;Pla2g4f;Lyn;Igf1;Hras;Gnao1;Map2k2;Prkcg"
"Choline metabolism in cancer",-0.886801514178223,0.743663821405121,0.823406331889406,"Down",82,"Pla2g4a;Pcyt1b;Chpt1;Mtor;Sos1;Dgkg;Pdgfrb;Dgke;Slc22a5;Rps6kb1;Tsc2;Prkca;Tsc1;Sos2;Wasf1;Sp1;Pip5k1c;Wasf2;Pdpk1;Prkcb;Mapk9"
"Oocyte meiosis",-0.892785553062556,0.74381038647343,0.823406331889406,"Down",97,"Pgr;Pkmyt1;Cdc26;Mad1l1;Rps6ka2;Cdc27;Cdc20;Slk;Smc3;Ccnb1;Plk1;Cdk2;Anapc1;Ppp2r5d;Fbxo5;Ccnb2;Camk2g;Cdc25c;Itpr1;Mad2l1;Cdk1;Sgo1;Fbxw11;Aurka;Ppp2r5e;Smc1a;Cdc23;Bub1;Stag3;Ccne2"
"Renal cell carcinoma",0.831587152705456,0.758201996163093,0.83625220165047,"Up",65,"Epas1;Arnt2;Rap1b;Slc2a1;Hras;Eloc;Map2k2;Rbx1;Elob;Vhl;Pik3cb;Pik3r2;Pak6;Rap1a;Cdc42;Egln3;Tgfb1;Mapk3;Tgfa;Egln2;Egln1;Tfe3;Bad;Map2k1;Cdkn1a"
"Purine metabolism",0.83894529747224,0.771358172523373,0.847646343432278,"Up",98,"Nt5e;Pde8a;Nt5c;Adcy4;Gda;Adcy1;Ampd1;Pde4c;Guk1;Pde7b;Pkm;Nme1;Pde7a;Aprt;Pde1c;Gucy2c;Enpp4;Pnp2"
"Pyrimidine metabolism",0.801695423292883,0.784798232470732,0.859268137741677,"Up",45,"Nt5e;Tk2;Nt5c"
"MicroRNAs in cancer",0.834991633763619,0.797467791103892,0.866812816417274,"Up",129,"Timp3;Cdkn2a;Hmox1;Pim1;Prkce;Socs1;Tnn;Ikbkb;Itgb3;Pdcd4;Vim;Hras;Tnc;St14;Ccnd1;Plcg2;Mmp9;Ddit4;Mcl1;Bcl2;Plau;Bcl2l11;Map2k2;Prkcg;Abcb1a;Tpm1;Fgfr3;Notch2;Nfkb1"
"Thyroid hormone signaling pathway",0.826778080097665,0.794832443823442,0.866812816417274,"Up",102,"Actb;Bmp4;Pfkp;Rxrg;Itgb3;Slc2a1;Src;Hras;Slc16a2;Rxra;Ccnd1;Plcg2;Foxo1;Itgav;Map2k2;Prkcg;Notch2;Pik3cb;Med27;Pik3r2;Med17;Ncoa3;Med30;Thrb;Med4;Hdac1;Mapk3;Mdm2;Atp1b2;Plce1;Med12l;Bad;Map2k1;Slc9a1;Prkaca;Raf1;Fxyd2;Ncoa1"
"Progesterone-mediated oocyte maturation",-0.856249762604491,0.800406297613002,0.86686602629567,"Down",76,"Pgr;Pkmyt1;Cdc26;Mad1l1;Rps6ka2;Cdc27;Ccnb1;Plk1;Cdk2;Kif22;Anapc1;Ccna2;Ccnb2;Gnai3;Cdc25c;Mad2l1;Cdk1;Cdc25b;Aurka;Cdc23;Bub1;Hsp90aa1;Mapk9"
"Hepatocellular carcinoma",0.824417083591426,0.822280933509467,0.887353525369929,"Up",142,"Actb;Gadd45g;Fzd6;Cdkn2a;Hmox1;Gadd45b;Bax;Dpf3;Gstp2;Mgst2;Gadd45a;Hras;Ccnd1;Plcg2;Wnt10b;Tgfbr2;Bcl2l1;Fzd10;Igf2;Smarca2;Map2k2;Prkcg;Gsto2"
