"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes"
"T cell receptor signaling pathway",1.391708418244,0.0339448482750663,0.0795582381446867,"Up",96,"Cd8a;Tnf;Zap70;Cd8b1;Csf2;Pdcd1;Mapk13;Icos;Ikbkb;Itk;Il4;Nfkbia;Bcl10;Fos;Prkcq;Ppp3ca;Hras;Card11;Il5;Map2k2;Fyn;Nfkb1;Nfkbib;Pik3cb;Pik3r2;Pak6;Map3k8;Cdc42;Lcp2;Vav1;Rasgrp1;Ppp3cc"
"Chagas disease (American trypanosomiasis)",1.38973461630459,0.0383280978948849,0.088316358641178,"Up",86,"Ifngr2;Tnf;Tlr9;Mapk13;Adcy1;Il1b;Ifngr1;C1qa;Ikbkb;Nfkbia;Fos;C1qc;C3;Il6;Tlr2;Myd88;Ccl3;Irak4;Gna15;Tgfbr2;Gnao1;Nfkb1;Fas;Pik3cb;Cflar;Pik3r2"
"Fc epsilon RI signaling pathway",1.41998466424943,0.038187559668062,0.088316358641178,"Up",61,"Tnf;Alox5;Csf2;Fcer1a;Mapk13;Pla2g4f;Ms4a2;Lyn;Il4;Inpp5d;Hras;Plcg2;Map2k3;Il5;Il13;Map2k2;Gab2;Rac2;Fyn;Pik3cb;Pik3r2;Lcp2;Vav1"
"Sphingolipid metabolism",1.47273562041964,0.038564809939981,0.088316358641178,"Up",34,"Cers5;Plpp2;Smpd1;Sptlc1;Glb1;Cers4;Sgms1;Degs1;Cerk;Gla;Asah1;B4galt6;Cers2;Sgpl1;Acer2;Sptlc2;Neu3;Sgms2;Galc;Sgpp1;Neu1;Kdsr"
"Oxytocin signaling pathway",1.36191599609371,0.0409278490771394,0.0930178388116804,"Up",110,"Actb;Cacna1d;Prkag1;Ryr2;Cacnb3;Adcy4;Cacng4;Pla2g4f;Camk4;Adcy1;Cd38;Fos;Src;Ppp3ca;Hras;Trpm2;Cacna1s;Ccnd1;Prkaa1;Ppp1r12c;Calm1;Gnao1;Map2k2;Prkcg;Mylk3;Kcnj2;Camk2d;Npr1;Myl6;Ppp3cc;Adcy7;Prkab1;Adcy3;Ppp1cc;Mapk3;Nfatc2;Adcy9;Rgs2;Map2k1;Calm2;Cdkn1a;Gnaq;Ryr3;Camk2a;Prkaca;Raf1"
"Acute myeloid leukemia",1.40706554622829,0.0429225300676827,0.0961357308827531,"Up",63,"Itgam;Csf2;Pim1;Dusp6;Bcl2a1b;Ikbkb;Runx1t1;Bcl2a1d;Eif4ebp1;Hras;Flt3;Csf1r;Zbtb16;Ccnd1;Cebpe;Kit;Cebpa;Map2k2;Rara;Nfkb1;Pik3cb;Pim2;Pik3r2"
"Longevity regulating pathway",1.37502591797319,0.0429406264609631,0.0961357308827531,"Up",87,"Prkag1;Irs4;Creb3;Bax;Adcy4;Camk4;Adcy1;Igf1;Creb5;Cryab;Eif4ebp1;Hras;Atf4;Sesn2;Pparg;Adipor1;Prkaa1;Foxo1;Hspa1b;Hspa1a;Atg101;Creb3l1;Sod1;Nfkb1;Pik3cb;Atg5;Pik3r2;Adcy7;Prkab1;Rela;Hdac1;Adcy3;Sesn3;Sesn1;Adcy9;Hspa8;Eif4e2;Stk11;Ehmt2;Prkaca;Irs2"
"Bacterial invasion of epithelial cells",1.41118956567994,0.043735370210669,0.0971897115792644,"Up",58,"Actb;Arpc3;Arpc5;Ptk2;Arpc4;Clta;Src;Ctnna1;Rhog;Hcls1;Arpc5l;Cdh1;Pik3cb;Arpc1b;Pik3r2;Cdc42;Dnm2;Arpc2;Cltb"
"Ether lipid metabolism",1.46197418914626,0.0443740516943062,0.0978839375609695,"Up",31,"Plpp2;Enpp6;Pla2g7;Pla2g2d;Cept1;Pla2g4f;Pld3;Pld1;Lpcat2;Lpcat1;Enpp2;Lpcat4;Pld2"
"Pancreatic secretion",1.39909867241769,0.0477696774990733,0.104605133209649,"Up",56,"Rab27b;Slc4a4;Ryr2;Pla2g2d;Adcy4;Atp2a3;Adcy1;Rap1b;Cd38;Rab11a;Atp2b1;Prkcg;Rap1a;Chrm3;Rab8a;Capzb;Adcy7;Adcy3;Adcy9;Atp1b2;Pla2g3;Rab3d;Car2;Ctrl;Gnaq;Slc9a1;Fxyd2"
"Fat digestion and absorption",1.4727847861263,0.0523817596202746,0.113873390478858,"Up",19,"Plpp2;Pla2g2d;Agpat2;Dgat2;Cd36;Mogat2;Dgat1"
"Amino sugar and nucleotide sugar metabolism",1.39468692289064,0.0608675670845355,0.131368849822738,"Up",43,"Hexa;Uap1l1;Pmm2;Amdhd2;Gpi1;Hk3;Gmppb;Nagk;Cmas;Cyb5r4;Pgm1;Cyb5rl;Galk1;Hexb"
"Thyroid hormone synthesis",1.38147677425885,0.0628008366724629,0.134573221440992,"Up",48,"Gpx1;Creb3;Gpx8;Adcy4;Gpx7;Gpx3;Adcy1;Hsp90b1;Creb5;Atf4;Hspa5;Pdia4;Creb3l1;Prkcg"
"Glycosaminoglycan biosynthesis",1.39499962249582,0.0641910086425769,0.134900387579659,"Up",41,"Hs3st1;Extl1;Chpf;St3gal2;B4galt7;St3gal3;Chst1;B3gat3;Chst3;Chst2"
"Regulation of lipolysis in adipocytes",1.40701524167449,0.0634529089143727,0.134900387579659,"Up",35,"Irs4;Abhd5;Mgll;Adcy4;Adcy1;Adrb1;Ptgs1;Lipe;Pik3cb;Pik3r2;Npr1;Adcy7;Adcy3;Adcy9;Pnpla2;Prkaca;Irs2"
"Tyrosine metabolism",1.44754500144601,0.0643025180796375,0.134900387579659,"Up",15,"Ddc;Fah;Il4i1;Got1"
"cGMP-PKG signaling pathway",1.29243937770075,0.0753867728218583,0.157055776712205,"Up",114,"Cacna1d;Kcnmb4;Adora3;Irs4;Creb3;Prkce;Vasp;Adcy4;Ednrb;Atp2a3;Adcy1;Adrb1;Adra2c;Creb5;Ppp3ca;Atf4;Cacna1s;Calm1;Kcnj8;Atp2b1;Creb3l1;Map2k2;Mylk3;Slc25a4;Cnga1;Npr1;Ppp3cc;Mef2a;Vdac3;Adcy7;Adcy3;Ppp1cc;Mapk3;Nfatc2;Adcy9;Atp1b2;Rgs2;Bad;Map2k1;Calm2;Gnaq;Adra1b;Vdac2;Kcnu1;Irs2;Raf1;Fxyd2"
"Alcoholism",1.32564241714999,0.0772807900666379,0.158796143972544,"Up",71,"Ddc;Creb3;Gng2;Camk4;Gnb5;Creb5;Grin2d;Slc18a2;Hras;Atf4;Calm1;Gnao1;Adora2b;Fosb;Gnb1;Creb3l1;Pkia;Hdac5"
"VEGF signaling pathway",1.3521269944854,0.0769558676028084,0.158796143972544,"Up",50,"Ptk2;Kdr;Mapkapk3;Mapk13;Pla2g4f;Src;Ppp3ca;Hras;Plcg2;Sh2d2a;Map2k2;Prkcg;Rac2;Pik3cb;Pik3r2;Cdc42;Ppp3cc;Mapkapk2;Mapk3;Nfatc2"
"GnRH signaling pathway",1.31899274687906,0.0798135532448906,0.162884802540593,"Up",73,"Cacna1d;Hbegf;Adcy4;Mapk13;Pla2g4f;Egr1;Adcy1;Mmp14;Ptk2b;Src;Pld1;Gnrh1;Hras;Atf4;Cacna1s;Map3k4;Calm1;Map2k3;Map2k2"
"Estrogen signaling pathway",1.30013676083316,0.0838242169237962,0.169913953223911,"Up",87,"Hbegf;Creb3;Adcy4;Adcy1;Ctsd;Hsp90b1;Fos;Creb5;Src;Hras;Atf4;Calm1;Mmp9;Gnao1;Hspa1b;Hspa1a;Bcl2;Krt17;Creb3l1;Ebag9;Map2k2;Rara;Pik3cb;Krt10;Pik3r2;Mmp2;Ncoa3;Gabbr2;Adcy7;Adcy3;Mapk3;Tgfa;Adcy9;Hspa8;Map2k1;Calm2;Gnaq;Gabbr1;Prkaca;Krt18;Raf1"
"Fc gamma R-mediated phagocytosis",1.30304788277256,0.0850656713597279,0.171273163811533,"Up",81,"Gsn;Arpc3;Amph;Plpp2;Arpc5;Prkce;Vasp;Inppl1;Lyn;Arpc4;Inpp5d;Pld1;Hck;Plcg2;Arpc5l;Bin1;Prkcg;Gab2;Rac2;Pik3cb;Arpc1b;Pik3r2;Pld2;Cdc42;Vav1;Asap2;Dnm2;Arpc2;Ncf1;Mapk3;Lat"
"Breast cancer",-1.20679801017511,0.0872689938398357,0.173770024001778,"Down",111,"Heyl;Pgr;Lrp5;Hey2;Wnt5b;Fzd9;Mtor;Sos1;Fgf3;Wnt7b;Myc;Brca2;Notch1;Esr2;Fzd7;Notch3;Esr1;Nfkb2;Lrp6;Wnt8b;Rps6kb1;E2f3;Shc4;Dvl2;Cdk6"
"Vasopressin-regulated water reabsorption",1.36037749711004,0.0874642454142284,0.173770024001778,"Up",35,"Arhgdib;Creb3;Creb5;Aqp3;Dync1li1;Dctn6;Rab11a;Creb3l1;Dctn2;Dctn5;Stx4a;Rab5c;Adcy3;Nsf;Arhgdia;Adcy9"
"Cocaine addiction",1.36713964277505,0.0886277687736359,0.174923227842702,"Up",28,"Ddc;Creb3;Gria2;Creb5;Grin2d;Slc18a2;Atf4;Fosb;Creb3l1;Nfkb1"
"Cysteine and methionine metabolism",-1.31083620662751,0.0921973407977607,0.180779099603452,"Down",38,"Mat2a;Atat1;Bcat1;Dnmt1;Adi1;Mtr;Srm"
"FoxO signaling pathway",1.2633768043985,0.0940201729106628,0.183096846954146,"Up",118,"Gadd45g;Cdkn2b;Plk2;Prkag1;Gabarap;Irs4;Gadd45b;Homer2;Mapk13;Fbxo25;Gabarapl2;Sgk1;Ikbkb;Gadd45a;Igf1;Il6;Cdkn2d;Plk3;Hras;Ccnd1;Prkaa1;Tgfbr2;Foxo1;Rbl2;Bcl2l11;Map2k2;Agap2;Bnip3;Pik3cb;Ccnd2;Pik3r2"
"Fructose and mannose metabolism",1.35484643708424,0.0946000375929755,0.183096846954146,"Up",29,"Aldoa;Pfkp;Tigar;Pmm2;Hk3;Aldoart1;Gmppb;Aldoc"
"Glycerolipid metabolism",1.32404714018402,0.0970617365467151,0.183166468088133,"Up",45,"Gpat3;Plpp2;Agpat4;Mgll;Agpat2;Mboat2;Dgat2;Mogat2;Lpl;Dgat1;Lpin3;Gpat4;Gla"
"Herpes simplex virus 1 infection",-1.11366083468546,0.0970782280867107,0.183166468088133,"Down",348,"Zfp30;Zfp879;Zfp39;Zfp760;Zfp799;Zfp398;Zfp101;Tnfrsf14;Zfp169;Zfp13;Zik1;Zfp114;Zfp109;Pml;Mtor;Zfp26;Zfp975;Zfp266;Zfp763;Zfp128;Zfp282;Zfp940;Ifih1;Gm5141;Zfp111;Zfp189;Zfp81;Zfp729a;Zfp850;Zfp69;Zfp599;Zfp229;Zfp119a;Zfp324;Zfp607a;Zfp729b;Zfp866;Zfp871;Zfp808;Gm12258;Zfp113;Zfp626;Zfp786;Zfp74;Zfp354c;Zfp382;Il12a;Zfp54;Pou2f1;Zfp689;Srsf2;Zfp950;Srsf1;Zfp108;Hcfc1;Zfp455;Zfp40;A430033K04Rik;Zfp386;Zfp874a;Zfp748;Zfp93;Tsc2;Zfp383;Tsc1;Zfp160;Zfp51;Zfp27;Zfp65;Zfp68;Zfp991;Zfp583;Eif2ak2;Zfp317;Zfp551;Zfp248;Zfp558;Zfp473;Zfp772"
"Insulin resistance",1.28003676644285,0.096032189040841,0.183166468088133,"Up",91,"Prkag1;Pygl;Tnf;Creb3;Prkce;Prkcz;Ikbkb;Trib3;Nfkbia;Cd36;Slc2a1;Creb5;Il6;Prkcq;Prkaa1;Rps6ka1;Foxo1;Mgmt;Ppp1r3b;Creb3l1;Ptpn1;Slc27a6;Nfkb1;Pik3cb;Pik3r2;Crtc2;Nr1h3;Pygm;Prkab1;Rela;Ppp1cc;G6pc3"
"Metabolism of xenobiotics by cytochrome P450",1.354529496572,0.0957860615883306,0.183166468088133,"Up",28,"Gstp2;Mgst2;Cbr3;Dhdh;Gstk1;Ephx1;Hpgds;Gsto2;Hsd11b1;Cbr1;Cyp2s1;Mgst1;Gstm5;Ugt1a7c;Gstp1;Gstt2"
"Protein digestion and absorption",1.31361155896178,0.103009288552555,0.193142416036041,"Up",46,"Col4a1;Col4a2;Slc15a1;Slc7a7;Col6a1;Col6a2;Col5a1;Eln;Col18a1"
