"logFC","logCPM","F","PValue","FDR","gene","rank_stat","analysis"
-0.630526363304208,3.95545191089781,1.44858616476711,0.259564559238467,0.99964961525844,"LINC01409",-1.20357225157741,"reference95"
-0.722765338142749,4.16484655525959,1.89573937650808,0.202048586520788,0.99964961525844,"LINC01128",-1.37685851724427,"reference95"
0.440447802374652,5.64290091135106,1.28047214756926,0.287190729576178,0.99964961525844,"NOC2L",1.13157949237747,"reference95"
-0.846937939203088,8.63373831558382,1.51241548595589,0.250061126058073,0.99964961525844,"HES4",-1.22980302729985,"reference95"
-0.207687556145126,6.23408612233635,0.110149511518262,0.747601032379384,0.99964961525844,"ISG15",-0.331887799592366,"reference95"
-0.0188569197432438,4.14241372795002,0.00104689785929728,0.974982754596876,0.99964961525844,"TNFRSF18",-0.0323558010146137,"reference95"
0.239438113229306,5.85419615962032,0.365295985317112,0.560574203463978,0.99964961525844,"TNFRSF4",0.60439720823074,"reference95"
-0.0896709589291549,6.47379287710727,0.0594649697267944,0.812831429692084,0.99964961525844,"SDF4",-0.243854402721777,"reference95"
0.593024117427247,5.05678355490026,1.27901284989234,0.287476145100677,0.99964961525844,"B3GALT6",1.13093450291887,"reference95"
0.704361954738146,5.75035926614957,2.85111623240967,0.125748912517745,0.99964961525844,"UBE2J2",1.68852486875665,"reference95"
-0.0108775325303185,4.71347978860002,0.000596584092511043,0.981049068514492,0.99964961525844,"ACAP3",-0.0244250709827227,"reference95"
0.0469107824865662,5.93563679041454,0.0146574996327726,0.906308184635435,0.99964961525844,"INTS11",0.121068161102631,"reference95"
0.102383001494871,3.91247116497725,0.0360337727553083,0.853644059140494,0.99964961525844,"CPTP",0.189825637771372,"reference95"
0.44184043089268,7.04151108945696,1.41105876978417,0.265387319662644,0.99964961525844,"AURKAIP1",1.18787994754696,"reference95"
-0.701966959429846,6.24680953907727,3.52823993633001,0.0931708500958138,0.99964961525844,"CCNL2",-1.87836097072155,"reference95"
-0.629516898165104,4.18327082648183,1.09836235699534,0.321825940499669,0.99964961525844,"MRPL20-AS1",-1.0480278417081,"reference95"
0.321346085250577,6.34927557638248,0.54439941456344,0.479480620600573,0.99964961525844,"MRPL20",0.73783427310165,"reference95"
0.14845948167908,3.57082489327986,0.0591948192951593,0.813087694234236,0.99964961525844,"ATAD3B",0.243299854696133,"reference95"
0.422181561560508,3.84662237308641,0.336282965138098,0.575448104538266,0.99964961525844,"ATAD3A",0.579899099100954,"reference95"
0.309761766534639,6.8062592910831,0.727452805100815,0.415909618192411,0.99964961525844,"SSU72",0.852908438873022,"reference95"
-1.34923406728134,3.4925438585665,2.09913535194499,0.181322867935134,0.99964961525844,"AL645728.1",-1.44883931198218,"reference95"
-0.727563107723099,3.79262375761451,1.65577987608644,0.23040789375163,0.99964961525844,"AL691432.2",-1.286771104776,"reference95"
-0.118565488830832,5.59851555803661,0.09078483214661,0.770060170131486,0.99964961525844,"MIB2",-0.30130521427053,"reference95"
0.00429571456960373,5.35878421605844,0.00010943753215293,0.991882624048376,0.99964961525844,"CDK11B",0.0104612395132188,"reference95"
-0.64811303716867,4.97504534738426,2.17456243235282,0.17459221469382,0.99964961525844,"SLC35E2B",-1.4746397635873,"reference95"
-0.155452527973551,6.10271875178834,0.131305260827194,0.725476340383006,0.99964961525844,"CDK11A",-0.362360677815893,"reference95"
0.183565586088668,3.94033047513302,0.121421139458746,0.734780188656445,0.99964961525844,"SLC35E2A",0.348455362218385,"reference95"
0.319929616957244,4.07099249722252,0.334827129748669,0.576960679867733,0.99964961525844,"NADK",0.578642488717056,"reference95"
0.450390868612631,7.51948927266953,1.31670058556973,0.280872188874845,0.99964961525844,"GNB1",1.14747574508995,"reference95"
0.0982486559712569,6.71994968096307,0.0719758266308188,0.794553083245979,0.99964961525844,"FAAP20",0.268283109104578,"reference95"
-0.150570082781981,4.6338904589499,0.037916892163916,0.849962322530616,0.99964961525844,"SKI",-0.194722603115088,"reference95"
0.269866621744752,5.49455742361107,0.437120558252224,0.525163023756751,0.99964961525844,"RER1",0.661150934546889,"reference95"
-0.419116618601466,3.86847928967127,0.552311937170196,0.476387096076785,0.99964961525844,"PEX10",-0.743176921849835,"reference95"
0.922335043548242,4.30352668764621,1.05223005579419,0.328509842468393,0.99964961525844,"PLCH2",1.02578265524144,"reference95"
-0.484780415509956,3.49453135497399,0.389082244015837,0.547748559913971,0.99964961525844,"PANK4",-0.623764574191127,"reference95"
0.710077903706954,5.57800295997312,2.42854470132083,0.15374594445285,0.99964961525844,"AL139246.5",1.55837886963371,"reference95"
0.1158855403993,6.34049665184668,0.0843240972971329,0.77812947449357,0.99964961525844,"TNFRSF14",0.290386117604015,"reference95"
-1.58575502485333,3.83324765058385,6.47763948298114,0.0315052909680025,0.99964961525844,"PRXL2B",-2.54512072070877,"reference95"
0.529766376665824,3.44770454404152,0.197798616148332,0.668356964741173,0.99964961525844,"PRDM16",0.444745563382404,"reference95"
0.309288005555898,3.99096105056227,0.290592134951213,0.60298283789902,0.99964961525844,"MEGF6",0.539065983856534,"reference95"
0.373532310307847,3.993002903811,0.361906972453284,0.561998232631814,0.99964961525844,"TPRG1L",0.601587044785112,"reference95"
-0.170654508473208,4.30205613239227,0.103194941404084,0.755411415280589,0.99964961525844,"WRAP73",-0.321239694627055,"reference95"
-0.208563651275922,5.37861527968792,0.260814523380988,0.621905793849564,0.99964961525844,"LRRC47",-0.510700032681601,"reference95"
