"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa04630 JAK-STAT signaling pathway",0.0150569809639014,0.0699357142139107,0.066055924101008,0.380969171289926,1.50063379096302,78,"IL4;MYC;IL2RA;IL10;OSM;IL4R;PIM1;IL10RA;STAT5A;IL27RA;IL21R;STAT3;PDGFA;SOCS3;JAK3;IFNGR2;JAK1;IRF9;IL23A;GRB2;PIK3R3;CDKN1A","within15_symbol_sensitivity","Up",353,"hsa04630","JAK-STAT signaling pathway"
"hsa04640 Hematopoietic cell lineage",0.168053637006839,0.380275217073169,0.0193827274700002,0.352555043986323,1.2297140494056,42,"IL4;IL2RA;IL4R;CD44;FLT3LG;CD7;CD5","within15_symbol_sensitivity","Up",353,"hsa04640","Hematopoietic cell lineage"
"hsa04650 Natural killer cell mediated cytotoxicity",2.07625133846134e-06,6.66287929524411e-05,0.28109192003456,0.542017105401208,2.11138530974837,73,"NCR3;KIR3DL2;FCER1G;HLA-C;CD48;LAT2;TNFSF10;HCST;LCP2;HLA-B;CD247;NFATC2;CD244;PRKCA;HLA-E;HLA-A;RAC1;ICAM2;BID;ITGB2;IFNGR2;PPP3R1;KLRK1;MAP2K1;NFATC1;FAS;GRB2;PIK3R3","within15_symbol_sensitivity","Up",353,"hsa04650","Natural killer cell mediated cytotoxicity"
"hsa04657 IL-17 signaling pathway",0.0970723173911608,0.255720358500595,0.0258108753022706,0.357617063805179,1.31079361738975,53,"IL4;FOS;FOSB;RELA;S100A8;TRAF3;IL1B;TRAF4;S100A9;TRAF5;JUND;NFKB1;HSP90B1;MAPK9;CEBPB;MAP3K7;CHUK;HSP90AB1;ELAVL1;TAB2;HSP90AA1;USP25;MAPK3","within15_symbol_sensitivity","Up",353,"hsa04657","IL-17 signaling pathway"
"hsa04658 Th1 and Th2 cell differentiation",5.10571990583558e-05,0.00120154608450664,0.24975672506943,0.522210430406179,1.96614709767121,61,"MAF;RUNX3;IL4;FOS;IL2RA;IL4R;STAT5A;CD247;NFATC2;GATA3;RELA;MAML3;JAK3;NFATC3;IFNGR2;PPP3R1;CD3D;NFKBIB;JAK1;NFATC1;NFKB1;MAPK9;LAT","within15_symbol_sensitivity","Up",353,"hsa04658","Th1 and Th2 cell differentiation"
"hsa04659 Th17 cell differentiation",0.000437213377966683,0.00734934868677329,0.223389206037189,0.460352101354986,1.80094455844536,75,"IL4;FOS;IL2RA;IL4R;TGFB1;STAT5A;IL27RA;RARA;IL21R;CD247;NFATC2;GATA3;STAT3;RELA;IL1B;JAK3;NFATC3;IFNGR2;PPP3R1;CD3D;NFKBIB;JAK1;NFATC1;NFKB1;IL23A;MAPK9;LAT","within15_symbol_sensitivity","Up",353,"hsa04659","Th17 cell differentiation"
"hsa04660 T cell receptor signaling pathway",0.010850358061816,0.0571668118779263,0.0769002277515096,0.362724019338414,1.49372129426997,102,"IL4;FOS;IL10;MALT1;LCP2;RASGRP1;CD247;NFATC2;RELA;ITK;ICOS;NFATC3;PPP3R1;MAP3K8;BCL10;MAP2K1;CDC42;CD3D;NFKBIB;NFATC1;NFKB1;GRB2;PDCD1;PIK3R3;MAPK9;LAT;PPP2R5A;PTPN6;PPP2R5C;CD3E;MAP3K7;KRAS;CHUK","within15_symbol_sensitivity","Up",353,"hsa04660","T cell receptor signaling pathway"
"hsa04662 B cell receptor signaling pathway",0.00196549030726483,0.0181017145642169,0.193460727359442,0.470397892128924,1.73695782281539,55,"FOS;IFITM1;MALT1;NFATC2;RELA;RAC1;CD81;NFATC3;PPP3R1;BCL10;MAP2K1;NFKBIB;NFATC1;NFKB1;GRB2;PIK3R3;CD79A;PTPN6;RAC2;KRAS;CHUK","within15_symbol_sensitivity","Up",353,"hsa04662","B cell receptor signaling pathway"
"hsa04664 Fc epsilon RI signaling pathway",0.0423960978217293,0.148176460703668,0.0399898003373986,0.405499031205722,1.44362497288364,46,"IL4;FCER1G;ALOX5AP;LCP2;PRKCA;RAC1;MAP2K3;MAP2K1;GRB2;PIK3R3;MAPK9;LAT;RAC2;KRAS","within15_symbol_sensitivity","Up",353,"hsa04664","Fc epsilon RI signaling pathway"
"hsa04666 Fc gamma R-mediated phagosome formation",0.395819176131767,0.638009904906456,0.0113374464422946,0.269577918721843,1.03326657045822,67,"NCF1;PRKCA;BIN1;RAC1;CFL1;ARF6;ARPC2;MARCKSL1;ARPC5L;ACTR3C;MAP2K1;CDC42;ASAP1;PIK3R3;VASP;ACTR3;ARPC3;LAT","within15_symbol_sensitivity","Up",353,"hsa04666","Fc gamma R-mediated phagosome formation"
"hsa04668 TNF signaling pathway",0.172026997053139,0.381691790431338,0.0184875135145551,0.298816705007557,1.18989906050562,83,"JUNB;FOS;IRF1;RIPK1;RELA;MAP2K3;BCL3;CCL5;TRAF3;SOCS3;RPS6KA5;IL1B;MAP3K8;MAP2K1;TRAF5;FAS;NFKB1;TNFRSF1B;PIK3R3;MAPK9","within15_symbol_sensitivity","Up",353,"hsa04668","TNF signaling pathway"
"hsa04670 Leukocyte transendothelial migration",0.0195636553661245,0.0812467099322582,0.0586175283963504,0.399426354615065,1.50385921485514,61,"SIPA1;NCF1;ACTB;PXN;RAP1A;ACTG1;MYL12A;CYBA;RAP1B;PRKCA;RAC1;ACTN1;ACTN4;ITK;MYL12B;ITGB2;ITGB1;CDC42;MYL5;RASSF5;JAM3;PIK3R3;VASP;TXK","within15_symbol_sensitivity","Up",353,"hsa04670","Leukocyte transendothelial migration"
"hsa04672 Intestinal immune network for IgA production",0.00655961000788587,0.0392464802166731,0.106597870718035,0.657762441089616,1.75668410049798,14,"IL4;ITGB7;IL10;TGFB1;CCR9;ICOS","within15_symbol_sensitivity","Up",353,"hsa04672","Intestinal immune network for IgA production"
"hsa04710 Circadian rhythm",0.853222748815166,0.948728797403614,0.00860166198832789,-0.223156179780682,-0.748779903352737,27,"RORC;PER1;CSNK1E;CRY2;PRKAB2;RORA","within15_symbol_sensitivity","Down",353,"hsa04710","Circadian rhythm"
"hsa04713 Circadian entrainment",0.00947482403898213,0.0521163249308385,0.0860530273863314,0.477580848241921,1.6389278807356,39,"FOS;PER2;CALM1;GNG5;GNG4;PRKCA;GNAS;RPS6KA5;ADCY7;GNG10;CALM3;GNB1;GNG2","within15_symbol_sensitivity","Up",353,"hsa04713","Circadian entrainment"
"hsa04714 Thermogenesis",8.47802537049825e-07,3.2683536622157e-05,0.295516142375285,0.425989329016098,1.90527840668205,182,"ACTB;NDUFAB1;ACTG1;COX7A2L;NDUFAF8;COX16;ATP5F1B;COX5A;NDUFA6;UQCRH;SMARCD3;NDUFA4;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;ATP5MG;GNAS;NDUFA12;MAP2K3;COX7A2;COX7B;ATP5PF;PRKAG2;NDUFB9;RPS6;UQCRB;CYC1;NDUFAF6;ATP5F1C;NDUFAF2;UQCR11;COX8A;MT-ND5;ADCY7;COX19;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;COA4;NDUFA9;NDUFB2;NDUFS4;NDUFS3;PRKACA;GRB2;NDUFA1;SDHB;ATP5MC3;NDUFAF4;UQCR10;CPT2;ATP5ME;UQCRHL;ACSL4;ATP5MC1;ATP5MC2;COX6B1;RPS6KA3;NDUFB4;SLC25A20;MT-ND2;SMARCD2;KRAS;COX17;ACSL5;CPT1A;ATP5MF;NDUFS5;COX7C;COX5B;COA1;CREB3L3;NDUFB3;UQCRFS1;NRAS;NDUFA7;RPS6KB1;NDUFS6;ATP5PD;NDUFB6;UQCRQ;PRKAB1;SMARCC1;PNPLA2;NDUFA11;RPS6KB2","within15_symbol_sensitivity","Up",353,"hsa04714","Thermogenesis"
"hsa04720 Long-term potentiation",0.176240692699033,0.381691790431338,0.0188759713093724,0.349798282738152,1.22009845009548,42,"CALM1;RAP1A;RAP1B;PRKCA;PPP1CC;PPP3R1;CALM3;MAP2K1;PRKACA;RPS6KA3;KRAS;CAMK2D;ATF4;PLCB4;NRAS;PPP1CB;MAPK3;PPP1CA","within15_symbol_sensitivity","Up",353,"hsa04720","Long-term potentiation"
"hsa04721 Synaptic vesicle cycle",0.263309847052758,0.491790349257268,0.015168206528925,0.348965357570831,1.14589760402416,32,"CLTB;ATP6V0A4;ATP6V0C;ATP6V1G1;SLC18A2;ATP6V0D1;STXBP1;ATP6V0E1;NAPA;ATP6V1F","within15_symbol_sensitivity","Up",353,"hsa04721","Synaptic vesicle cycle"
"hsa04722 Neurotrophin signaling pathway",0.154575628259839,0.356635273043942,0.0195973056641582,0.301467566694661,1.20540287094234,85,"MATK;CALM1;RAP1A;BEX3;RELA;RAP1B;RAPGEF1;RAC1;ARHGDIA;BAX;RPS6KA5;ARHGDIB;CALM3;MAP2K1;CDC42;NFKBIB;IRAK1;NFKB1;GRB2;PIK3R3;MAP3K3;MAPK9;MAP3K1;RPS6KA3;PRDM4;KRAS;CAMK2D;ATF4","within15_symbol_sensitivity","Up",353,"hsa04722","Neurotrophin signaling pathway"
