"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa04668 TNF signaling pathway",0.546835627944345,0.682074546683269,0.00986795528592354,0.229806592301343,0.952685725518253,80,"JUNB;FOS;IRF1;RELA;RPS6KA5;MAPK9;RIPK1;MAP2K3;AKT1;CREB3L3;MAPK3;TRAF3","reference95","Up",348,"hsa04668","TNF signaling pathway"
"hsa04670 Leukocyte transendothelial migration",0.0710952713377668,0.202796347750351,0.0321604401815235,0.343495173811387,1.34501894187871,59,"ACTB;ACTG1;ITGB1;MYL12A;PRKCA;JAM3;ITGB2;SIPA1;RAP1A;ITK;PXN;GNAI2;CYBA;RAP1B;RASSF5;PIK3R3;ROCK1;ACTN1;MSN;ACTN4;RAC1","reference95","Up",348,"hsa04670","Leukocyte transendothelial migration"
"hsa04672 Intestinal immune network for IgA production",0.292384700622827,0.462499435530653,0.0151787376091393,0.461278016076661,1.1508654443179,10,"TGFB1;IL4;ITGB7","reference95","Up",348,"hsa04672","Intestinal immune network for IgA production"
"hsa04710 Circadian rhythm",0.625704526046114,0.729226915587814,0.0100205823354918,-0.273657268390342,-0.888175863090471,24,"CSNK1E;PER1;RORA;CRY1;RORC;NR1D2;PRKAB2","reference95","Down",348,"hsa04710","Circadian rhythm"
"hsa04713 Circadian entrainment",0.00234192037470726,0.0271662763466042,0.182372054755577,0.507443014945338,1.79352848375673,37,"FOS;PER2;RPS6KA5;CALM1;GNG4;PRKCA;GNG5;ADCY7;MAPK3;CALM3;GNAS;GNAI2;GNB1","reference95","Up",348,"hsa04713","Circadian entrainment"
"hsa04714 Thermogenesis",0.000343331138112572,0.00746745225394843,0.223389206037189,0.355614998150194,1.65666523204999,166,"ACTB;COX5A;NDUFAB1;ATP5F1B;ACTG1;NDUFAF8;UQCRHL;NDUFC2;NDUFA6;NDUFA12;COX6A1;MAP2K3;COX6C;COX8A;CPT1A;ADCY7;CREB3L3;GNAS;COX7A2L;COX7B;UQCRH;ATP5F1A;ATP5PF;ATP5MC1;ATP5PB;PRKAG2;ATP5F1C;COX15;NDUFA9;RPS6;NDUFAF2;CYC1;COX4I1;COX16;NDUFAF6;ACSL5;NDUFB7;NDUFS3;ATP5MC3;NDUFB11;GRB2;SLC25A20;SIRT6;SMARCD2;RPS6KA3;COX7A2;SDHC;RPS6KB1;ATP5MF;NDUFA8;NDUFV2;ATP5MG;NDUFB9;NRAS;UQCR11;ATP5F1E;SMARCC1;NDUFB4;NDUFB6;NDUFA2;ACTL6A;COA1;PRKAB1;PRKACB;RPS6KB2;SMARCD1;KDM3A;PNPLA2;NDUFA13;UQCRQ;UQCRB;ATP5MC2;HRAS;SLC25A29","reference95","Up",348,"hsa04714","Thermogenesis"
"hsa04720 Long-term potentiation",0.123809876634683,0.291120520735606,0.0241092857415498,0.35489202578649,1.28364430232861,41,"CALM1;PPP1CC;PPP3R1;PRKCA;MAPK3;CALM3;RAP1A;RAP1B;ATF4;RPS6KA3;PPP1CA;NRAS;PPP1CB;MAPK1;PPP3CC;BRAF;MAP2K1;PRKACB","reference95","Up",348,"hsa04720","Long-term potentiation"
"hsa04721 Synaptic vesicle cycle",0.775300685675747,0.840512892882118,0.0076787738642018,0.238072243474362,0.800454938695745,30,"ATP6V0D1;ATP6V0E1;ATP6V0C;CLTB;ATP6V1A;ATP6V0A4;CLTC","reference95","Up",348,"hsa04721","Synaptic vesicle cycle"
"hsa04722 Neurotrophin signaling pathway",0.148026555774422,0.316032155886496,0.0217103975004075,0.287159474695392,1.20328964552772,85,"RELA;MATK;BAX;RPS6KA5;CALM1;MAPK9;AKT1;RAPGEF1;BEX3;MAPK3;CALM3;RAP1A;RAP1B;MAP3K3;ARHGDIA;MAP3K1;PIK3R3;ARHGDIB;GRB2;ATF4;RPS6KA3;RAC1;NFKB1","reference95","Up",348,"hsa04722","Neurotrophin signaling pathway"
"hsa04723 Retrograde endocannabinoid signaling",0.00769202458503552,0.0608369217180082,0.0997042573898714,0.398320348528101,1.59243523046669,66,"NDUFAB1;GNG4;NDUFC2;MAPK9;NDUFA6;NDUFA12;PRKCA;NAPEPLD;GNG5;ADCY7;MAPK3;GNAI2;NDUFA9;GNB1;NDUFB7;NDUFS3;NDUFB11;NDUFA8;NDUFV2;NDUFB9;MAPK1;NDUFB4;NDUFB6;NDUFA2;GNG2;GNB2;PRKACB","reference95","Up",348,"hsa04723","Retrograde endocannabinoid signaling"
