"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa00010 Glycolysis / Gluconeogenesis",0.0544174586413235,0.1822471492233,0.0361261891732643,0.420397637446074,1.43001718219235,37,"LDHA;PGAM1;PGK1;ALDOA;PKM;ALDOC;HK1;ENO1;LDHB;GAPDH;PFKP","within25","Up",355,"hsa00010","Glycolysis / Gluconeogenesis"
"hsa00020 Citrate cycle (TCA cycle)",0.999052132701422,0.999052132701422,0.0072394808992451,-0.135096120688541,-0.444289596137062,26,"IDH1;SUCLA2;ACO1;PCK2;IDH3G;SDHD","within25","Down",355,"hsa00020","Citrate cycle (TCA cycle)"
"hsa00030 Pentose phosphate pathway",0.573157475179361,0.762010876752972,0.00948469852380356,0.302837744669359,0.921597298683244,23,"TKTL1;ALDOA;ALDOC;PFKP;PRPS1;PGD;RPIA","within25","Up",355,"hsa00030","Pentose phosphate pathway"
"hsa00040 Pentose and glucuronate interconversions",0.108989105429923,0.263204982500835,0.0280613353730512,-0.509029103303139,-1.38254079849776,13,"XYLB;FGGY;CRYL1;UGP2;CRPPA;RPE;AKR1A1","within25","Down",355,"hsa00040","Pentose and glucuronate interconversions"
"hsa00051 Fructose and mannose metabolism",0.438436951334804,0.662319649888746,0.0131186456991326,-0.309466124047257,-1.00673990558121,25,"PFKFB2;HKDC1;GMPPA","within25","Down",355,"hsa00051","Fructose and mannose metabolism"
"hsa00052 Galactose metabolism",0.730358572826764,0.864257644511671,0.00922812121133425,-0.26373743951858,-0.819936322976655,21,"HKDC1;UGP2;PFKM;HK2;GALE;GALT;PFKL;LCT","within25","Down",355,"hsa00052","Galactose metabolism"
"hsa00053 Ascorbate and aldarate metabolism",0.53960333766615,0.742477460742182,0.0109596723989893,-0.4365382960695,-0.935351321642688,6,"ALDH2","within25","Down",355,"hsa00053","Ascorbate and aldarate metabolism"
"hsa00061 Fatty acid biosynthesis",0.0916127897259973,0.239136326123008,0.0309488272974296,-0.486398449085363,-1.40400797138061,16,"ACACB;OXSM;ACSBG1;CBR4;ACSF3;ACSL6","within25","Down",355,"hsa00061","Fatty acid biosynthesis"
"hsa00062 Fatty acid elongation",0.122207287390562,0.285418335681905,0.0240246434257541,0.44134887681116,1.32852572671818,22,"ACAA2;HACD3;HACD4;PPT1;ACOT7","within25","Up",355,"hsa00062","Fatty acid elongation"
"hsa00071 Fatty acid degradation",0.904624586136922,0.952265752549107,0.00634713010335678,0.212540908735218,0.699099684761187,32,"ACAA2","within25","Up",355,"hsa00071","Fatty acid degradation"
"hsa00100 Steroid biosynthesis",0.813871662928267,0.908567422451367,0.00841736943795761,-0.258967676964547,-0.747520234638603,16,"LSS;SC5D;MSMO1;HSD17B7;TM7SF2;LBR;FDFT1","within25","Down",355,"hsa00100","Steroid biosynthesis"
"hsa00120 Primary bile acid biosynthesis",0.453603924692859,0.67944891673403,0.0122792758364521,-0.47212678039174,-1.01160519477543,6,"CYP46A1;HSD17B4;AMACR","within25","Down",355,"hsa00120","Primary bile acid biosynthesis"
"hsa00130 Ubiquinone and other terpenoid-quinone biosynthesis",0.577411058722675,0.762010876752972,0.0106247897125007,-0.372707850807902,-0.905216164909907,9,"COQ5;COQ6;NQO1;COQ4","within25","Down",355,"hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"hsa00140 Steroid hormone biosynthesis",0.683671187956476,0.834031861596389,0.00847471401662928,0.32475880136759,0.831947147034672,12,"AKR1C1;STS;HSD17B12;AKR1C3","within25","Up",355,"hsa00140","Steroid hormone biosynthesis"
"hsa00190 Oxidative phosphorylation",8.40503649737818e-06,0.000271253450597205,0.2658863377706,0.470889820972173,1.95854668945367,105,"ATP6V0A4;NDUFA6;COX7A2L;NDUFAB1;ATP5F1B;UQCRH;COX5A;COX6C;NDUFC2;NDUFV2;COX4I1;NDUFB7;CYC1;NDUFB9;COX6A1;ATP6V0C;ATP5MG;UQCRHL;ATP6V0D1;PPA1;COX7A2;ATP5F1C;ATP5PF;ATP5F1E;NDUFA12;UQCRB;ATP6V0E1;ATP5PB;ATP5F1A;COX7B;ATP6V1G1;UQCR11;COX8A;SDHB;ATP5MC3;NDUFA1;NDUFA9;NDUFB2;ATP6V1D;ATP5ME;NDUFB6;NDUFB11;NDUFA2;NDUFB4;UQCRFS1;ATP5MC1;ATP5MC2;ATP6V0A2;COX17;UQCRQ;COX11;NDUFA13;ATP5MF;NDUFS4;COX7C;NDUFS3","within25","Up",355,"hsa00190","Oxidative phosphorylation"
"hsa00220 Arginine biosynthesis",0.276057188124788,0.492463828061807,0.0155823683943586,0.516437863049475,1.17896472411353,8,"GLUD1;ACY1;GLS;GOT2;GLUL","within25","Up",355,"hsa00220","Arginine biosynthesis"
"hsa00230 Purine metabolism",0.896881847294792,0.952265752549107,0.0060501086996769,0.194753625022511,0.755237699514202,70,"NME1;NT5E;PDE4B;AK6;NME2;PAICS;ADCY7;GUK1;HPRT1;PDE4D;PRPS1;APRT;ADK;GART;PDE6B;GMPS;PNP;ADSL;PDE6G;HDDC2","within25","Up",355,"hsa00230","Purine metabolism"
"hsa00240 Pyrimidine metabolism",0.65861686646802,0.816217085628146,0.00823831214993063,0.248319146703648,0.881436376103517,45,"UPP1;CTPS1;NME1;NT5E;NME2;TYMP;CMPK2;DCTD;TYMS;CMPK1;UCK2;HDDC2;DTYMK;NT5C3A;DCTPP1","within25","Up",355,"hsa00240","Pyrimidine metabolism"
"hsa00250 Alanine, aspartate and glutamate metabolism",0.686080911175209,0.834105217353422,0.00840006526808941,0.312196005956741,0.835311005522358,14,"GLUD1;ADSL;PPAT;GLS;ALDH5A1;GOT2;GLUL;GFPT1","within25","Up",355,"hsa00250","Alanine, aspartate and glutamate metabolism"
"hsa00260 Glycine, serine and threonine metabolism",0.863847070769502,0.932323232323232,0.00804656103347364,-0.238648966094883,-0.712340753561278,18,"SARDH;AMT;GCAT;ALAS1;GRHPR;PSAT1","within25","Down",355,"hsa00260","Glycine, serine and threonine metabolism"
"hsa00270 Cysteine and methionine metabolism",0.267936148373624,0.482829099861099,0.0152754988517699,0.339179055412724,1.13940666414594,35,"LDHA;SRM;GCLM;CISD1;SMS;MDH2;LDHB","within25","Up",355,"hsa00270","Cysteine and methionine metabolism"
"hsa00280 Valine, leucine and isoleucine degradation",0.750343273597859,0.871679690990923,0.00748579726847099,0.23944992794261,0.823176412686736,39,"ACAA2","within25","Up",355,"hsa00280","Valine, leucine and isoleucine degradation"
"hsa00310 Lysine degradation",0.0698286589451517,0.213683667689602,0.0372214230267792,-0.353215333848641,-1.35016554945732,50,"SETD7;EZH1;ALDH2;PLOD3;CAMKMT;DHTKD1;KMT2B;TMLHE;GCDH;KMT2D;EHMT2;ASH1L;NSD1;SETDB2;SUV39H2;PHYKPL;NSD3","within25","Down",355,"hsa00310","Lysine degradation"
