"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa04973 Carbohydrate digestion and absorption",0.322896281800391,0.561489593475557,0.0160852899159422,-0.340929915442872,-1.09492444838545,23,"HKDC1;AMY2B;AKT3;PLCB1","within15","Down",353,"hsa04973","Carbohydrate digestion and absorption"
"hsa04974 Protein digestion and absorption",0.21146042835468,0.418684145735919,0.0174843366260134,0.407556196957804,1.21101031968408,21,"SLC1A5;SLC36A1;COL6A2;ATP1B3;FXYD2;ATP1A1;SLC3A2","within15","Up",353,"hsa04974","Protein digestion and absorption"
"hsa04975 Fat digestion and absorption",0.596342212744425,0.78256059888023,0.00919391537153691,0.341617105007,0.898205698011044,13,"ABCA1;ACAT2;ACAT1;PLPP1","within15","Up",353,"hsa04975","Fat digestion and absorption"
"hsa04976 Bile secretion",0.611802788844621,0.788650277483056,0.00891029826642559,0.314675467288602,0.888890898342852,17,"GNAS;ATP1B3;FXYD2;ADCY7;ATP1A1;PRKACA","within15","Up",353,"hsa04976","Bile secretion"
"hsa04977 Vitamin digestion and absorption",0.00644002453342679,0.0390808103173841,0.119019387800157,-0.707655907106846,-1.79208957734816,10,"CUBN;ABCD4;LMBRD1;SLC19A2;ABCC1;APOA1;BTD;AMN;SLC5A6","within15","Down",353,"hsa04977","Vitamin digestion and absorption"
"hsa04978 Mineral absorption",0.00303447302494619,0.024344749495591,0.155889680221781,0.613067073497438,1.82166424705544,21,"FTL;SLC39A4;FTH1;ATP1B3;FXYD2;ATP1A1;ATOX1;ATP7A;SLC31A1;MT1X;ATP2B1;MT2A;HMOX2","within15","Up",353,"hsa04978","Mineral absorption"
"hsa04979 Cholesterol metabolism",0.201157333897886,0.405763079234022,0.017985923952223,0.411154230056793,1.22170149613034,21,"ABCA1;STARD3NL;VDAC1;VDAC2;MYLIP;SOAT1;LRPAP1;NPC1","within15","Up",353,"hsa04979","Cholesterol metabolism"
"hsa04980 Cobalamin transport and metabolism",0.200251436781609,0.405763079234022,0.0206179537725325,-0.443115226698399,-1.23952476189236,14,"HCFC1;ABCD4;LMBRD1;MTR;MMUT;ZNF76","within15","Down",353,"hsa04980","Cobalamin transport and metabolism"
"hsa04981 Folate transport and metabolism",0.189425941571435,0.400403337573153,0.0211427210772662,-0.470443868540845,-1.25825462955134,12,"ABCC5;MTR;ABCC1;MTHFS;MTHFD1","within15","Down",353,"hsa04981","Folate transport and metabolism"
"hsa05010 Alzheimer disease",4.06191522389069e-06,0.000110296621079493,0.273594784418286,0.374781971205719,1.74575692402636,260,"CALM1;NDUFAB1;TUBA4A;SLC39A4;COX7A2L;ADRM1;ATP5F1B;COX5A;NDUFA6;VDAC1;RELA;UQCRH;PSMB1;COX4I1;APH1A;FRAT2;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;PSMB3;TUBB2A;GAPDH;UQCRB;IL1B;BID;CYC1;PSMA7;PSMD12;VDAC2;ATP5F1C;UQCR11;COX8A;SLC39A3;PPP3R1;KIF5B;CALM3;PSMD7;PSMB7;SLC25A6;ATP5PB;MAP2K1;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;PSMD8;AGER;ATP2A2;NDUFB2;PSMC3;NDUFS4;CAPN2;NDUFS3;FAS;NFKB1;PSMC4;PIK3R3;NDUFA1;SDHB;NRBF2;ATP5MC3;MAPK9;SLC39A13;PSMC5;UQCR10;SEM1;FZD6;PSMA4;XBP1;UQCRHL;BECN1;ATP5MC1;ATP5MC2;COX6B1;AXIN1;NDUFB4;SLC39A8;CSNK2B;IRS2;KRAS;CHUK;PSMC1;ATG101;TUBA1B;NDUFS5;ATF4;PSMD6;CSNK2A1;COX7C;NAE1;PSMA3;CASP7;COX5B;ULK2;NDUFB3;PLCB4;UQCRFS1;NRAS;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ","within15","Up",353,"hsa05010","Alzheimer disease"
