"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","analysis"
"hsa03082 ATP-dependent chromatin remodeling",0.0330942288881643,0.169308156485826,0.0502316069814835,0.33432422160556,1.39025811007775,85,"DPF3;CHRAC1;BPTF;ACTB;ACTG1;POLE3;MBD2;ACTR5;MRGBP;BAZ1A;HDAC2;SMARCC1;SMARCD3;BICRAL;ACTL6A;SMARCD2;BCL7B;MTA2;BAZ1B;HDAC1","hsa03082","ATP-dependent chromatin remodeling","historical_rank_high_precision"
"hsa03083 Polycomb repressive complex",0.0855938044844504,0.25824455541035,0.0307338594857521,0.315299651118129,1.28447225376172,76,"TFDP1;SUZ12;PHF19;FOXK2;CBX2;RING1;EZH2;UBE2D3;HDAC2;UBE2D2;CBX3;PHC2;ASXL1;SKP1;FOXK1;RNF2;HDAC1;L3MBTL1;SCML2;CBX4;UBE2D1;JARID2;SCMH1;YAF2;RBBP7;BCOR;FBRS;TEX10;PHF1;UBE2D4","hsa03083","Polycomb repressive complex","historical_rank_high_precision"
"hsa03250 Viral life cycle - HIV-1",0.237386138613861,0.44251768649549,0.0174826793228821,-0.299078267553665,-1.14088776146206,56,"CXCR4;CD4;MAP1A;MLLT3;BICD1;SERINC5;APOBEC3D;TRIM5;TNPO3","hsa03250","Viral life cycle - HIV-1","historical_rank_high_precision"
"hsa03266 Virion - Herpesvirus",0.210968936101722,0.420745957310214,0.0188518285339223,-0.628657882240566,-1.26183231347701,5,"ITGA5;IDE;PILRB","hsa03266","Virion - Herpesvirus","historical_rank_high_precision"
"hsa03272 Virion - Hepatitis viruses",0.404251084663456,0.594585970359166,0.0127797872918553,0.339324007891921,1.03652140210911,21,"CD63;EPCAM;LAMP1;VPS4A;CHMP1A;CD81","hsa03272","Virion - Hepatitis viruses","historical_rank_high_precision"
"hsa03273 Virion - Lassa virus and SFTS virus",0.586579742407378,0.742464006521042,0.00997146932174557,0.404136286508303,0.899888071379313,7,"MYH10;TFRC;LAMP1","hsa03273","Virion - Lassa virus and SFTS virus","historical_rank_high_precision"
"hsa03320 PPAR signaling pathway",0.600271652285075,0.742464006521042,0.00984355019859033,-0.268539335490154,-0.912058889682215,33,"SCD;ACSBG1;APOA1;RXRB;ACSL1;ACSL3;ACSL6;PPARA;ILK","hsa03320","PPAR signaling pathway","historical_rank_high_precision"
"hsa03410 Base excision repair",0.199726786933987,0.407535004553164,0.0194195114081002,0.330936791604174,1.18807210565232,41,"FEN1;PCNA;POLE3;POLD3;RFC2;POLG;RFC3;RFC5;RFC4","hsa03410","Base excision repair","historical_rank_high_precision"
"hsa03420 Nucleotide excision repair",0.180145867098865,0.391628714422832,0.0206535676980324,0.305893286600831,1.18596215843594,59,"POLR2D;PCNA;POLE3;POLD3;RFC2;POLR2C;GTF2H3;DDB2;ERCC2;RFC3;RFC5;RFC4;CUL4A;POLR2H;RPA2;POLE;POLR2L;ERCC3;POLR2I;RBX1","hsa03420","Nucleotide excision repair","historical_rank_high_precision"
"hsa03430 Mismatch repair",0.097530913283766,0.271089861332043,0.0284085443533318,0.442686725797054,1.36961009975673,22,"PCNA;POLD3;RFC2;RFC3;RFC5;RFC4;RPA2;SSBP1;PMS2","hsa03430","Mismatch repair","historical_rank_high_precision"
"hsa03440 Homologous recombination",0.18489593816674,0.393182326342526,0.0202875203646943,0.344385837657988,1.20735287794559,37,"RBBP8;RAD51C;BRCA2;POLD3;BRIP1;TOPBP1;PALB2;RPA2;SSBP1;MUS81;SEM1","hsa03440","Homologous recombination","historical_rank_high_precision"
"hsa03450 Non-homologous end-joining",0.5978992944195,0.742464006521042,0.00989625082992332,-0.334198464763797,-0.892906656099875,13,"DNTT;XRCC4","hsa03450","Non-homologous end-joining","historical_rank_high_precision"
"hsa03460 Fanconi anemia pathway",0.24239371347975,0.443293490594062,0.0174479671574169,0.312565939673605,1.14484799745075,45,"RAD51C;BRCA2;USP1;BRIP1;REV1;ATRIP;PALB2;RPA2;FANCA;FAAP24;WDR48;MUS81;PMS2;FANCI;REV3L","hsa03460","Fanconi anemia pathway","historical_rank_high_precision"
"hsa04010 MAPK signaling pathway",0.0739064236039669,0.243822126469162,0.0334303326723578,0.266808345001992,1.23769449088127,169,"MYC;GADD45B;FOS;TGFB1;PTPN7;RELA;NFATC3;DUSP6;MAPK9;RASGRP1;FLT1;MAP2K3;PRKCA;TGFBR1;FLT3LG;PPP3R1;RPS6KA5;NFKB2;ELK1;RAP1A;RASA2;GRB2;RELB;FGF9;NFKB1;ATF4;AKT1;IKBKG;ARRB1;MYD88;RRAS2;NRAS;MAPK3;RAP1B;MAP2K1;MAP3K7;MAP4K4;RPS6KA3;IL1B;RAC1;MAP3K3;MAPKAPK3;MAP3K2;FLNA","hsa04010","MAPK signaling pathway","historical_rank_high_precision"
"hsa04012 ErbB signaling pathway",0.375466342254663,0.563998377939984,0.0135343755118683,0.267726473279427,1.04140010322123,60,"MYC;STAT5A;MAPK9;PRKCA;PIK3R3;ELK1;GRB2;RPS6KB1;AKT1","hsa04012","ErbB signaling pathway","historical_rank_high_precision"
"hsa04014 Ras signaling pathway",0.0537096972428203,0.208346407985885,0.0393268108294301,0.294862931424078,1.30090321468354,120,"RELA;RALA;MAPK9;GNG4;RASGRP1;FLT1;PRKCA;CALM1;FLT3LG;PIK3R3;ELK1;RAP1A;RASA2;GRB2;GNB1;REL;FGF9;GNG5;NFKB1;AKT1;ARF6;IKBKG;RRAS2;NRAS;RASSF5;MAPK3;RAP1B;MAP2K1;ETS1;ETS2;RAC1;CALM3;GNG2;GNG10;PIK3CB;PDGFA;TIAM1;LAT;MAPK1;PTPN11;PLA2G12A","hsa04014","Ras signaling pathway","historical_rank_high_precision"
"hsa04015 Rap1 signaling pathway",0.00946100917431193,0.0776682846170258,0.0948059029026434,0.343453668018058,1.48678364451166,107,"SIPA1;SIPA1L1;ID1;SKAP1;RALA;ACTB;RAPGEF1;LCP2;ACTG1;ITGB1;FLT1;MAP2K3;PRKCA;CALM1;PIK3R3;FARP2;RAP1GAP;RAP1A;PRKD2;FGF9;AKT1;GNAS;ITGB2;NRAS;ADCY7;RASSF5;MAPK3;RAP1B;MAP2K1;RAC1;CALM3;GNAI2;PIK3CB;PDGFA;TIAM1;PARD6B;LAT;MAPK1","hsa04015","Rap1 signaling pathway","historical_rank_high_precision"
"hsa04020 Calcium signaling pathway",0.457553489505095,0.659056534311603,0.011960914785782,0.245304168805483,0.996359405486261,75,"NFATC3;ORAI1;FLT1;PRKCA;STIM2;CALM1;VDAC1;PPP3R1;ASPH;SLC25A5;ATP2A2;NFATC2;FGF9;ATP2B1;CD38;GNAS","hsa04020","Calcium signaling pathway","historical_rank_high_precision"
"hsa04022 cGMP-PKG signaling pathway",0.338646066273633,0.531298050642633,0.0144319874383913,0.256841345657605,1.05907716454349,81,"NFATC3;ATP1B3;ATP1A1;PPP1CC;CALM1;VDAC1;PPP3R1;SLC25A5;ATP2A2;NFATC2;ATP2B1;ATF4;AKT1;CREB3L3;ADCY7;ROCK1;GNA13;MAPK3;MAP2K1;GUCY1B1;SLC25A6;VDAC2;CALM3;GNAI2;PPP1CB;PPIF;MAPK1;ITPR3","hsa04022","cGMP-PKG signaling pathway","historical_rank_high_precision"
"hsa04024 cAMP signaling pathway",0.218807171606293,0.423967144896203,0.0185778567007521,0.269166337196726,1.13416886494729,91,"FOS;RELA;ATP1B3;ORAI1;MAPK9;ATP1A1;PPP1CC;CALM1;PIK3R3;ATP2A2;RAP1A;ATP2B1;NFKB1;AKT1;GNAS;CREB3L3;RRAS2;ADCY7;ROCK1;MAPK3;RAP1B;MAP2K1;RAC1;CALM3;GNAI2;PDE4B;PIK3CB;PPP1CB;TIAM1;MAPK1","hsa04024","cAMP signaling pathway","historical_rank_high_precision"
"hsa04060 Cytokine-cytokine receptor interaction",0.0946832348747199,0.270500514409454,0.0292260742669758,0.308158262451033,1.2671075346563,80,"OSM;TGFB1;IL27RA;IL4R;XCL1;IFNGR2;CXCR3;XCL2;IL32;CD70;IL4;IL21R;LTB;TGFBR1;CCR9;TNFSF10;CCL5;IL2RA;ACVR1B","hsa04060","Cytokine-cytokine receptor interaction","historical_rank_high_precision"
"hsa04061 Viral protein interaction with cytokine and cytokine receptor",0.189455156412513,0.397838563633903,0.0199473728900352,-0.358290342382979,-1.20828637772632,32,"CXCR4;TNF;CXCL2;CSF1R;CXCL3;IL6R;IL6ST;CXCL8","hsa04061","Viral protein interaction with cytokine and cytokine receptor","historical_rank_high_precision"
"hsa04062 Chemokine signaling pathway",0.0912965087690542,0.266593129583732,0.0298792548416773,0.286943440029494,1.24561873197246,109,"RELA;XCL1;CXCR3;STAT3;XCL2;GNG4;GRK6;CCR9;JAK3;PIK3R3;RAP1A;CCL5;PXN;GRB2;GNB1;GNG5;NFKB1;AKT1;IKBKG;ARRB1;ITK;NRAS;ADCY7;ROCK1;MAPK3;RAP1B;MAP2K1;RAC1;GNG2;GRK2;GNAI2;GNG10;PIK3CB;NCF1;TIAM1;MAPK1","hsa04062","Chemokine signaling pathway","historical_rank_high_precision"
"hsa04064 NF-kappa B signaling pathway",0.318226081311369,0.519622997728547,0.0149589152281626,0.268158689795152,1.07511630188989,70,"GADD45B;MALT1;PLAU;RELA;TRAF3;LTB;RIPK1;NFKB2;RELB;NFKB1;IKBKG;MYD88;TNFRSF13C;TNFSF14;MAP3K7;CSNK2A2;IL1B;TRIM25;LAT;CSNK2A1;BCL2A1;TRAF5","hsa04064","NF-kappa B signaling pathway","historical_rank_high_precision"
"hsa04066 HIF-1 signaling pathway",0.0241892933966476,0.133419071390884,0.0587667783030053,0.357055867145973,1.44708940493427,74,"LDHA;RELA;IFNGR2;STAT3;ENO1;PGK1;FLT1;HK1;PRKCA;ALDOA;TFRC;PIK3R3;PFKP;EIF4E2;NFKB1;RPS6KB1;AKT1;EGLN2;LDHB;GAPDH;PDHA1;MAPK3;MAP2K1;ELOC;RPS6","hsa04066","HIF-1 signaling pathway","historical_rank_high_precision"
"hsa04068 FoxO signaling pathway",0.32881813717466,0.524506411561164,0.0147454056835417,0.247280809139607,1.06188737410729,102,"HOMER3;GADD45B;TGFB1;STAT3;PLK4;MAPK9;SOD2;TGFBR1;KLF2;PIK3R3;MDM2;TNFSF10;GRB2;AKT1;FOXO1;PLK3;NRAS;MAPK3;PRKAB1;MAP2K1;CDKN2D;PRKAG2;SKP2;S1PR1;PIK3CB","hsa04068","FoxO signaling pathway","historical_rank_high_precision"
"hsa04070 Phosphatidylinositol signaling system",0.167474675810965,0.377075264287655,0.0211726195958416,-0.294899726740519,-1.18868011623362,75,"INPP4B;INPP1;IP6K2;PIK3C3;PLCG2;PLCD1;PIP4K2B;PIP4P2;DGKA;PIP4K2A;INPP5F;ITPR1;IP6K1;CALML4;DGKE;PLCB1;IPPK;PIP5K1C","hsa04070","Phosphatidylinositol signaling system","historical_rank_high_precision"
"hsa04071 Sphingolipid signaling pathway",0.189413343090621,0.397838563633903,0.0201286501132827,0.274827901614503,1.15802463441836,91,"RELA;MAPK9;SGMS1;BID;PRKCA;CERS4;BAX;PIK3R3;SPTLC1;NFKB1;AKT1;NSMAF;ORMDL1;NRAS;ROCK1;GNA13;MAPK3;MAP2K1;SPTSSA;DEGS1;PPP2R5C;RAC1;GNAI2;S1PR1;PIK3CB;SMPD2","hsa04071","Sphingolipid signaling pathway","historical_rank_high_precision"
"hsa04072 Phospholipase D signaling pathway",0.780014973009181,0.855109582211928,0.00796972887828531,-0.208035827869011,-0.844174103799124,78,"PIK3R5;INSR;AKT3;PLCG2;TSC1;DGKA;PLPP3;CXCL8;CYTH3;DGKE;PLCB1;PTK2B;SYK;PIP5K1C;SOS1;PIP5K1A;CYTH4;GAB1;AGPAT2;TSC2;AGPAT5;LPAR2;DGKH;PIK3R6;MTOR","hsa04072","Phospholipase D signaling pathway","historical_rank_high_precision"
"hsa04080 Neuroactive ligand-receptor interaction",0.280587275693312,0.484729667129905,0.0159229355772256,-0.309025522385852,-1.11582342388031,43,"GABBR1;PTGER4;HRH2;NR3C1;TSHR;TSPO;THRA;P2RX1","hsa04080","Neuroactive ligand-receptor interaction","historical_rank_high_precision"
"hsa04081 Hormone signaling",0.401017277571452,0.592715899481436,0.0129577509969688,0.273758879983394,1.02961969587381,51,"STAT5A;STAT3;GNG4;SLC40A1;PIK3R3;GNB1;GNG5;GNAS;ADCY7;GNA13;ADIPOR1;GNG2;GNAI2;GNG10;PIK3CB;GNA15","hsa04081","Hormone signaling","historical_rank_high_precision"
"hsa04082 Neuroactive ligand signaling",0.0674324270051006,0.233369085615691,0.0346177738450602,0.400074964769378,1.38448230782582,35,"P2RY11;SLC18A2;GNG4;PRKCA;OGFRL1;OGFR;GNB1;SLC32A1;GNG5;GNAS;ADCY7;GNG2;GNAI2;GNG10","hsa04082","Neuroactive ligand signaling","historical_rank_high_precision"
"hsa04110 Cell cycle",0.0127513487003433,0.0937755435671081,0.0814869908455577,0.316672945853445,1.42704401960443,138,"MYC;GADD45B;MCM4;TGFB1;CDC7;TFDP1;ANAPC13;YWHAB;PCNA;CDC6;CDK4;MCM6;MDM2;RAD21;YWHAZ;E2F5;CUL1;E2F1;CDC45;HDAC2;MAD2L2;CDC26;YWHAQ;ANAPC11;E2F3;SKP1;WAPL;MCM2;CDKN2D;HDAC1;PPP2R5C;RBL1;CDCA5;SKP2","hsa04110","Cell cycle","historical_rank_high_precision"
"hsa04114 Oocyte meiosis",0.0549700939903161,0.210917860636757,0.0387241133932319,0.320477137103444,1.33093512592611,84,"ANAPC13;YWHAB;PPP1CC;CALM1;FBXW11;PPP3R1;YWHAZ;CUL1;MAD2L2;CDC26;YWHAQ;ADCY7;SLK;ANAPC11;CPEB2;MAPK3;SKP1;MAP2K1;RPS6KA3;PPP2R5C;CALM3;PPP1CB;MAPK1;ITPR3;MAD2L1;RBX1;PPP3CC;FBXO5;PPP1CA;PTTG1;CDK2;CALM2;YWHAH;CDC27;PRKACA;PPP2R5A","hsa04114","Oocyte meiosis","historical_rank_high_precision"
"hsa04115 p53 signaling pathway",0.571086780210868,0.738438217635298,0.0103039456273845,0.241524487830718,0.939479848505121,60,"GADD45B;CD82;CDK4;BID;BAX;MDM2;EI24;DDB2;SIVA1;SESN3;PPM1D;ZMAT3","hsa04115","p53 signaling pathway","historical_rank_high_precision"
"hsa04120 Ubiquitin mediated proteolysis",0.233062109007646,0.437611300423931,0.0179877047521071,0.248215565532592,1.10857867275273,130,"UBE2Z;ANAPC13;RHOBTB1;UBE2E3;NEDD4L;FBXW11;UBA2;MDM2;KEAP1;UBE2M;UBE2K;CUL1;UBE2D3;DDB2;UBE2L6;CDC26;UBE2D2;UBE2S;UBE4A;UBR5;ANAPC11;UBE2A;SKP1;SMURF2;CUL4A;PRPF19;ELOC;UBE2J2;UBA52;UBC;SKP2;SOCS3;CDC34;UBE2D1;WWP2;VHL;RCHY1;RPS27A;RBX1","hsa04120","Ubiquitin mediated proteolysis","historical_rank_high_precision"
"hsa04122 Sulfur relay system",0.607489266974082,0.744078954397608,0.00972496341624084,0.39700273644604,0.884003834249605,7,"MOCS2;NFS1;URM1;CTU2","hsa04122","Sulfur relay system","historical_rank_high_precision"
"hsa04130 SNARE interactions in vesicular transport",0.0409711684370258,0.193186925985954,0.0445868445194896,-0.451056282555225,-1.4875854986537,29,"VAMP2;STX2;BET1;STX7;GOSR2;BNIP1;STX8;BET1L","hsa04130","SNARE interactions in vesicular transport","historical_rank_high_precision"
"hsa04136 Autophagy - other",0.103849382419954,0.283192237945411,0.0275621123247708,-0.400190963787103,-1.32994008538834,30,"ATG9B;PIK3C3;GABARAP;GABARAPL1;ATG10;PIK3R4;ATG5;ATG2B;MTOR;ATG3;ATG7;ATG4C;MLST8","hsa04136","Autophagy - other","historical_rank_high_precision"
"hsa04137 Mitophagy - animal",0.0217993643549833,0.126156710107704,0.0620678701813423,0.341306709259687,1.43218748568361,89,"MTX1;RELA;TOMM40;MAPK9;OPTN;TFE3;TOMM70;MUL1;E2F1;AMFR;ATF4;BCL2L13;RRAS2;NRAS;BECN1;SMURF2;RAB7A;FUNDC1;CSNK2A2;UBA52;TOMM20;MFN2;UBC;MTX2;EIF2S1;CSNK2A1;RPS27A;CCZ1B;PGAM5;BNIP3;HUWE1","hsa04137","Mitophagy - animal","historical_rank_high_precision"
"hsa04140 Autophagy - animal",0.641066687490239,0.772343142266397,0.00922728437326082,-0.205016546442848,-0.925609379133464,149,"SMCR8;DDIT4;ATG9B;AKT3;RAB33B;PIK3C3;STX7;GABARAP;EPG5;UVRAG;EIF2AK4;TSC1;PRKCD;VPS39;GABARAPL1;ATG10;ITPR1;RRAGB;PRKCQ;ERN1;RRAGA;TRAF6;LAMP2;AMBRA1;VPS11;MTMR4;MAPK10;VPS33A;C9orf72;PIK3R4;PTEN;DAPK1;TSC2;RAB39B;BAD;ATG5;ATG14;AKT1S1;ATG16L2;ATG2B;STX17;WDR45","hsa04140","Autophagy - animal","historical_rank_high_precision"
"hsa04141 Protein processing in endoplasmic reticulum",0.488927236123095,0.678105433718747,0.0115449271193687,0.215611143118756,0.983722933033932,151,"CALR;UBQLN4;MAPK9;BCAP31;PDIA6;RRBP1;ERO1A;BAX;PPP1R15A;HSP90B1;DERL1;CUL1;AMFR;UBE2D3;ATF4;DNAJB1;UFD1;STT3B;UBE2D2;ERLEC1;STT3A;P4HB;RPN2;DDOST;DNAJA2;SKP1;PRKCSH;DNAJB11;PDIA3;TRAM1;UBE2J2;SSR1;CKAP4;LMAN2;KRTCAP2;UBE2D1;UBXN2A;MAGT1;EIF2S1;HSP90AB1;CAPN2;RBX1;OSTC;DNAJC3;BCL2;SYVN1;HSP90AA1;UBE2D4;SAR1A;SELENOS;LMAN1","hsa04141","Protein processing in endoplasmic reticulum","historical_rank_high_precision"
"hsa04142 Lysosome biogenesis",0.0950200107274003,0.270500514409454,0.0293655153527714,0.251068342350489,1.1930530675286,204,"LGMN;LAPTM4B;CTSW;CTSG;CTSC;ARSG;SGSH;CD63;AP3S1;TFE3;IDUA;RRAGC;VPS18;LAMP1;CLTB;NPC1;CTSA;ABCA5;CD164;GGA3;OSBPL2;AP5Z1;GLA;CLN6;LAPTM5;BLOC1S6;CLTC;NEU1;RAB7A;PLA2G15;SNAP29;GALNS;ARL8A;ATP6V0A4;ATP6V0D1;PPT1;ATP6V0C;SLC2A6;ATP6V1A;GNS;IDS;BLOC1S2","hsa04142","Lysosome biogenesis","historical_rank_high_precision"
"hsa04144 Endocytosis",0.674259305108525,0.788124287097051,0.00926043719793069,0.195430624029931,0.922994408928462,194,"SH3KBP1;ARFGAP1;SNF8;NEDD4L;GRK6;TGFBR1;EHD4;BIN1;TFRC;HLA-C;MDM2;SH3GL1;CLTB;HLA-E;AGAP1;VPS4A;ARPC2;HLA-B;IL2RA;RAB8A;CHMP1A;ARF6;ARRB1;ACTR3C;ARFGAP3;HLA-A;ACTR3B;VPS25;ACTR3;STAM2;ARF4;CYTH1;ARF5;CLTC;SNX5;SMURF2;RAB7A;ARPC5L","hsa04144","Endocytosis","historical_rank_high_precision"
"hsa04145 Phagocytosis",0.534935304990758,0.702429739064423,0.0108720612692627,0.21167366293213,0.966872570728302,152,"CTSG;CALR;CD63;ACTB;ACTG1;TUBA1C;MRC2;ITGB1;PRTN3;RAB27B;TAP1;PIK3R3;VPS18;LAMP1;HLA-C;TAP2;HLA-E;CYBA;HLA-B;DYNLL2;HLA-A;RAB27A;OSBPL2;ITGB2;TUBA1B;BECN1;RAB7A;ATP6V0A4;ATP6V0D1;ATP6V0C;DCTN5;RAC1;ATP6V1A;TUBA4A;ATP6V0E1;PIK3CB;NCF1","hsa04145","Phagocytosis","historical_rank_high_precision"
"hsa04146 Peroxisome",0.666443058953516,0.783301372850154,0.00903409249686936,-0.229898974993417,-0.88985253801685,60,"IDH1;PEX5L;CRAT;HMGCL;GNPAT;ABCD4;CROT;ECI2;ACSL1;PEX10;HSD17B4;ACSL3;PEX26;MVK;MPV17;ACSL6;PEX5;PXMP4;DHRS4","hsa04146","Peroxisome","historical_rank_high_precision"
"hsa04148 Efferocytosis",0.0970088596277331,0.271089861332043,0.0288186728182261,0.296736834401953,1.25288604727045,92,"ODC1;SLC16A1;TGFB1;CALR;BSG;NFATC3;PTPN6;CPT1A;ATP8A1;CASP1;ADAM9;VPS18;ATP2A2;NFATC2;SIRPG;ABCA1;NR1H2;ATP11C;PANX1;MAPK3;RAB7A;PLA2G15;MAP2K1","hsa04148","Efferocytosis","historical_rank_high_precision"
"hsa04150 mTOR signaling pathway",0.718152616734566,0.821066110653801,0.0084798239617373,-0.205328268179436,-0.886609389676921,111,"TNF;ATP6V1E2;LRP6;INSR;DDIT4;AKT3;PRR5;ATP6V1C1;DVL2;MAPKAP1;TSC1;PRR5L;RRAGB;GSK3B;MIOS;FNIP1;RRAGA;ATP6V1B2;STRADB;SOS1;EIF4B;RPS6KA1;PTEN;TSC2;SESN2;SEC13;IKBKB;AKT1S1","hsa04150","mTOR signaling pathway","historical_rank_high_precision"
"hsa04151 PI3K-Akt signaling pathway",0.181597465124892,0.391628714422832,0.0207381625817681,0.244272705868608,1.13315414599937,169,"MYC;OSM;ITGB7;IL4R;RELA;YWHAB;IL4;GNG4;CDK4;ITGB1;FLT1;PRKCA;FLT3LG;JAK3;PIK3R3;HSP90B1;MDM2;YWHAZ;GRB2;GNB1;FGF9;EIF4E2;GNG5;NFKB1;IL2RA;RPS6KB1;ATF4;AKT1;COL6A2;IKBKG;CREB3L3","hsa04151","PI3K-Akt signaling pathway","historical_rank_high_precision"
"hsa04152 AMPK signaling pathway",0.118617439120189,0.305634715397274,0.0254496008064023,-0.296012167956498,-1.23116704068014,89,"PFKFB2;CFTR;CREB5;ACACB;SCD;CREB3;INSR;AKT3;PPP2R3B;SREBF1","hsa04152","AMPK signaling pathway","historical_rank_high_precision"
"hsa04156 Integrated stress response (ISR) signaling pathway",0.85088638195004,0.891897402004774,0.00754517753648351,0.210884976080234,0.776100467604762,46,"ATF5;HSPD1;PPP1CC;PPP1R15A;ATF4;HSPA9;CHCHD2;BBC3;PPP1CB;TRIB3;EIF2S1;HSP90AB1;EIF2AK2;PPP1CA;HSP90AA1;LONP1;EIF2S2","hsa04156","Integrated stress response (ISR) signaling pathway","historical_rank_high_precision"
"hsa04210 Apoptosis",0.0402467925145052,0.193186925985954,0.045524839118624,0.308029934486696,1.34217046770516,111,"GADD45B;CTSW;FOS;CTSC;RELA;ACTB;ACTG1;TUBA1C;MAPK9;BID;BAX;RIPK1;PIK3R3;LMNB1;TNFSF10;NFKB1;HTRA2;ATF4;AKT1;IKBKG;TUBA1B;NRAS;MAPK3;MAP2K1;BBC3;TUBA4A;PIK3CB;DIABLO;MAPK1;ITPR3;EIF2S1;BCL2A1;CAPN2","hsa04210","Apoptosis","historical_rank_high_precision"
"hsa04211 Longevity regulating pathway",0.582789245305973,0.742464006521042,0.0101591959457183,0.234882579154644,0.936719571742171,68,"RELA;SOD2;BAX;PIK3R3;EIF4E2;NFKB1;RPS6KB1;ATF4;AKT1;FOXO1;CREB3L3;SESN3;NRAS;ADCY7;CAMKK2;PRKAB1;EHMT1;PRKAG2;ADIPOR1","hsa04211","Longevity regulating pathway","historical_rank_high_precision"
"hsa04213 Longevity regulating pathway - multiple species",0.514859050146781,0.701719091512794,0.0109976468046952,0.266669399935321,0.962626711386168,42,"SOD2;PIK3R3;RPS6KB1;HDAC2;AKT1;FOXO1;NRAS;ADCY7;PRKAB1;HDAC1;PRKAG2;PIK3CB;EIF4EBP2;SOD1;PIK3R2;PRKACA;RPS6KB2;AKT2;KRAS;IRS2;PIK3R1;PIK3CD","hsa04213","Longevity regulating pathway - multiple species","historical_rank_high_precision"
"hsa04215 Apoptosis - multiple species",0.662952312485023,0.782682830458907,0.00915248824317352,0.266638490477684,0.868348718499012,27,"MAPK9;BID;BAX;HTRA2;BECN1;BBC3;DIABLO;CASP7;BCL2","hsa04215","Apoptosis - multiple species","historical_rank_high_precision"
"hsa04216 Ferroptosis",0.0649865779879002,0.23044003868472,0.0352417385797484,0.417371460827309,1.4058644929215,31,"SLC3A2;SLC40A1;FTL;GCLM;TFRC;GPX4;NCOA4;PRNP;SLC39A8;VDAC2;ACSL5;FTH1","hsa04216","Ferroptosis","historical_rank_high_precision"
"hsa04217 Necroptosis",0.216123917550921,0.423967144896203,0.0187066570554232,0.269572994884519,1.13588237226396,91,"STAT5A;IFNGR2;STAT3;MAPK9;FTL;BID;CASP1;VDAC1;BAX;JAK3;RIPK1;SLC25A5;TNFSF10;VPS4A;CHMP1A;GLUD1;PPIA;SLC25A6;VDAC2;IL1B;SPATA2L;FTH1;HSP90AB1;CAPN2;TRAF5;PGAM5;STAT1;EIF2AK2;SMPD1;BCL2;HSP90AA1","hsa04217","Necroptosis","historical_rank_high_precision"
"hsa04218 Cellular senescence",0.000214334205479946,0.00687817950312917,0.232510857427675,0.384106408265094,1.70967791832857,127,"MYC;GADD45B;TGFB1;RELA;NFATC3;CDK4;MAP2K3;PPP1CC;TGFBR1;CALM1;VDAC1;FBXW11;PPP3R1;SLC25A5;PIK3R3;HLA-C;MDM2;HLA-E;NFATC2;E2F5;E2F1;HLA-B;NFKB1;AKT1;FOXO1;HLA-A;RRAS2;NRAS;E2F3;RASSF5;RAD1;MAPK3;MAP2K1;ETS1;SLC25A6;VDAC2;RBL1;CALM3;HIPK2;ZFP36L1;PIK3CB;PPP1CB;MAPK1;E2F4;ITPR3","hsa04218","Cellular senescence","historical_rank_high_precision"
"hsa04260 Cardiac muscle contraction",0.00318022623887927,0.0400935665115851,0.162703008683229,0.50003704034542,1.75303712790883,37,"COX5A;ATP1B3;UQCRHL;ATP1A1;TPM3;CYC1;ASPH;UQCRH;ATP2A2;COX6A1;COX7A2L;COX8A;COX6C;COX4I1;TPM4","hsa04260","Cardiac muscle contraction","historical_rank_high_precision"
"hsa04261 Adrenergic signaling in cardiomyocytes",0.58683655250771,0.742464006521042,0.0101142409594883,0.232453986954486,0.935059625797254,71,"ATP1B3;ATP1A1;TPM3;CREM;PRKCA;PPP1CC;CALM1;RPS6KA5;ATP2A2;ATP2B1;ATF4;AKT1;GNAS;CREB3L3;ADCY7;MAPK3;TPM4;PPP2R5C;CALM3;GNAI2;PPP1CB","hsa04261","Adrenergic signaling in cardiomyocytes","historical_rank_high_precision"
"hsa04270 Vascular smooth muscle contraction",0.505046019699661,0.696411113101486,0.0111688318295944,0.258477419557164,0.972145422756109,51,"PRKCH;PRKCA;PPP1CC;CALM1;MYH10;GNAS;ADCY7;ROCK1;GNA13;MAPK3;MAP2K1;GUCY1B1;CALM3;PPP1CB;MAPK1;ITPR3;PLA2G12A","hsa04270","Vascular smooth muscle contraction","historical_rank_high_precision"
"hsa04310 Wnt signaling pathway",0.517703622214073,0.702429739064423,0.0110539320517628,0.231790406286063,0.96868827952409,87,"MYC;MCC;NFATC3;MAPK9;NKD2;PRKCA;FBXW11;PPP3R1;NFATC2;CUL1;CACYBP;DAAM1;SKP1;TLE3;MAP3K7;FRAT2;CSNK2A2;AXIN1;RAC1","hsa04310","Wnt signaling pathway","historical_rank_high_precision"
"hsa04330 Notch signaling pathway",0.811609163457339,0.873756229013734,0.00775846585963827,-0.218657698663512,-0.797423886387127,45,"HES1;DVL2;NCOR2;NOTCH3;NRARP;TLE1;APH1B;MAML2;ITCH;MFNG;MAML1;DTX2;PTCRA;NCSTN;PSENEN;CTBP1","hsa04330","Notch signaling pathway","historical_rank_high_precision"
