"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","analysis"
"hsa00590 Arachidonic acid metabolism",0.20251019008031,0.410839638496261,0.019318254443938,-0.419825199538883,-1.22541673724228,18,"ALOX5;PRXL2B;PLA2G6","hsa00590","Arachidonic acid metabolism","historical_rank_high_precision"
"hsa00592 alpha-Linolenic acid metabolism",0.414175815369821,0.604149019940276,0.0126385969820346,-0.448444569566216,-1.04013873570822,8,"PLA2G6;PLAAT3;ACAA1;ACOX3;ACOX1","hsa00592","alpha-Linolenic acid metabolism","historical_rank_high_precision"
"hsa00600 Sphingolipid metabolism",0.320900321543408,0.519622997728547,0.0148014144900782,0.308062517359045,1.08671545991354,38,"KDSR;SGMS1;CERS4;B4GALT5;B4GALT6;SPTLC1;GLA;NEU1;SAMD8;DEGS1;SMPD2","hsa00600","Sphingolipid metabolism","historical_rank_high_precision"
"hsa00601 Glycosphingolipid biosynthesis - lacto and neolacto series",0.240798652874669,0.443293490594062,0.017462822518457,-0.473716737020628,-1.20610293466858,11,"ST3GAL6;ABO","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","historical_rank_high_precision"
"hsa00603 Glycosphingolipid biosynthesis - globo and isoglobo series",0.283396105457168,0.484729667129905,0.0158953909709164,-0.503038170588392,-1.16676513058216,8,"ABO","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","historical_rank_high_precision"
"hsa00604 Glycosphingolipid biosynthesis - ganglio series",0.656643412717505,0.777835988890198,0.00924446519045647,-0.332936504868896,-0.847670483644305,11,"SLC33A1","hsa00604","Glycosphingolipid biosynthesis - ganglio series","historical_rank_high_precision"
"hsa00620 Pyruvate metabolism",0.267840704422654,0.475438818393243,0.016414010304373,0.3403402462707,1.1378319079844,30,"LDHA;FH;PKM;ALDH9A1;ACAT2;MDH2;LDHB;ME2;PDHA1","hsa00620","Pyruvate metabolism","historical_rank_high_precision"
"hsa00630 Glyoxylate and dicarboxylate metabolism",0.401300566504428,0.592715899481436,0.0128568820195699,0.327630073629253,1.03569058728921,24,"GCSH;PCCB;ACAT2;MDH2;AFMID","hsa00630","Glyoxylate and dicarboxylate metabolism","historical_rank_high_precision"
"hsa00640 Propanoate metabolism",0.905642218390344,0.924773144242089,0.00710888856168947,-0.215909574506817,-0.693076930541383,26,"ACACB;HIBCH;BCKDHA;BCKDHB;ACSS2;SUCLA2;ACADS;ECHS1;ACSS1;MMUT;ACOX3;MLYCD;ACOX1;DBT","hsa00640","Propanoate metabolism","historical_rank_high_precision"
"hsa00650 Butanoate metabolism",0.880895798928586,0.911895064580032,0.00731746280656848,-0.250147058561442,-0.681387396997284,14,"AACS;HMGCL","hsa00650","Butanoate metabolism","historical_rank_high_precision"
"hsa00670 One carbon pool by folate",0.177519503263811,0.391628714422832,0.0206179537725325,0.397313015118258,1.2433494458715,23,"GCSH;TYMS;GART;MTHFD2;MTHFD1L;AHCY;MTHFD1;ATIC;MAT2A;DLD;MAT2B;DHFR","hsa00670","One carbon pool by folate","historical_rank_high_precision"
"hsa00730 Thiamine metabolism",0.603646373573765,0.742464006521042,0.00979459987249815,0.417626976312375,0.885460265217169,6,"ACP1;NFS1","hsa00730","Thiamine metabolism","historical_rank_high_precision"
"hsa00740 Riboflavin metabolism",0.480318091451292,0.678105433718747,0.011431488316248,0.499172790112528,1.00033314400362,5,"ACP1;RFK;ACP2","hsa00740","Riboflavin metabolism","historical_rank_high_precision"
"hsa00750 Vitamin B6 metabolism",0.628882987284726,0.762483702357693,0.00956821924740685,-0.431322811648826,-0.865744432152014,5,"PSAT1;PDXK;PHOSPHO2","hsa00750","Vitamin B6 metabolism","historical_rank_high_precision"
"hsa00760 Nicotinate and nicotinamide metabolism",0.718723592611967,0.821066110653801,0.0086549287127597,-0.269163876353234,-0.828923086014806,22,"SARM1;SIRT3;NADSYN1;NAPRT;SIRT2;NT5C","hsa00760","Nicotinate and nicotinamide metabolism","historical_rank_high_precision"
"hsa00770 Pantothenate and CoA biosynthesis",0.370522700954359,0.560007029366865,0.0135164620322838,0.408423647902902,1.06869580821503,12,"PANK2;PANK1;AASDHPPT","hsa00770","Pantothenate and CoA biosynthesis","historical_rank_high_precision"
"hsa00785 Lipoic acid metabolism",0.806792452830189,0.873756229013734,0.00780067450347165,0.272808025709447,0.747098195808113,14,"GCSH;DLST;PDHA1;OGDH","hsa00785","Lipoic acid metabolism","historical_rank_high_precision"
"hsa00790 Folate biosynthesis",0.122979145978153,0.314227533324619,0.0251149043961116,0.493658938870152,1.35190928351661,14,"GGH;GCH1;MOCS2;GPHN","hsa00790","Folate biosynthesis","historical_rank_high_precision"
"hsa00830 Retinol metabolism",0.753672226424107,0.844294782968956,0.00826494619675685,0.321475148936507,0.77320891342382,9,"RDH13;ALDH1A2","hsa00830","Retinol metabolism","historical_rank_high_precision"
"hsa00860 Porphyrin metabolism",0.956744722299527,0.959462747078787,0.00669808173382501,0.203159345669082,0.604072536118148,19,"FTL;FXN;FTH1;MMAB;BLVRA;HMBS;COX15","hsa00860","Porphyrin metabolism","historical_rank_high_precision"
"hsa00900 Terpenoid backbone biosynthesis",0.238182324176043,0.44251768649549,0.0174876524206265,0.397374856485204,1.18155153806017,19,"ZMPSTE24;NUS1;ACAT2;PCYOX1;ICMT;IDI1;RCE1","hsa00900","Terpenoid backbone biosynthesis","historical_rank_high_precision"
"hsa00920 Sulfur metabolism",0.0830893852508321,0.252849594771929,0.0310344516386952,-0.680957165042138,-1.44657208954165,6,"TST;SQOR;BPNT1;MPST;ETHE1","hsa00920","Sulfur metabolism","historical_rank_high_precision"
"hsa00970 Aminoacyl-tRNA biosynthesis",0.888795316008983,0.914707715892627,0.00723097743392225,-0.223843008224229,-0.705083407987475,24,"FARS2;QRSL1;GATB;CARS2;YARS2;DARS2;VARS2;NARS2;HARS2","hsa00970","Aminoacyl-tRNA biosynthesis","historical_rank_high_precision"
"hsa00980 Metabolism of xenobiotics by cytochrome P450",0.856524700508834,0.891897402004774,0.00746563035583923,-0.266047207852062,-0.69515404375,12,"GSTM2;MGST2","hsa00980","Metabolism of xenobiotics by cytochrome P450","historical_rank_high_precision"
"hsa00982 Drug metabolism - cytochrome P450",0.522808568787428,0.702429739064423,0.0108805343442387,-0.395123945540305,-0.94826526815213,9,"GSTM2;MGST2;FMO5;GSTP1","hsa00982","Drug metabolism - cytochrome P450","historical_rank_high_precision"
"hsa00983 Drug metabolism - other enzymes",0.707836865253898,0.816556906649105,0.00871480911175048,-0.248685470556208,-0.850271339741262,34,"NME3;CDADC1;GSTM2;NME7;RRM2B","hsa00983","Drug metabolism - other enzymes","historical_rank_high_precision"
"hsa01040 Biosynthesis of unsaturated fatty acids",0.775200286978357,0.852478820259689,0.00808656594134171,0.260589813616981,0.785706085985815,20,"ACOT7;HACD3","hsa01040","Biosynthesis of unsaturated fatty acids","historical_rank_high_precision"
"hsa01100 Metabolic pathways",0.0625705601389492,0.230077163844261,0.0374601976131477,0.205768753610794,1.12671584674228,948,"ACAA2;ODC1;LDHA;PANK2;CTPS1;PDXP;UXS1;SRM;NME1;KDSR;GALNT12;FUT7;SGSH;ACOT7;PAICS;PGAM1;FH;GALNT4;EBP;COX5A;LAP3;CHSY1;ENO1;GCSH;HACD3;GCH1;PKM;GALNT3;NDUFC2;ALG3;ATP5F1B;HPRT1;GPX7;UQCRHL;CHKA;ISYNA1;SGMS1;PGK1;PCCB;NDUFA6;PPAT;PANK1;AKR1C1;GCLM;NDUFAB1;PDHX;HK1;NDUFA9;SMS;GLCE;TYMS;AMPD2;NDUFA12;FAHD1;TXNDC12;CHPT1;IDUA;ALDOA;RDH13;LIPC;NME2;CERS4;CYC1;ALDH18A1;UAP1;B4GALT5;DOLPP1;PFKP;UQCRH;B3GNT2;GPX4;ST3GAL5;PLCH2;TKTL1;CISD1;B4GALT6;DLST;GGCT;MGAT1;NT5E;IMPA2;UPP1;ALDH9A1;DGKD;ZNF408;ACY1;EZH2;AASDHPPT;DSEL;GNPDA2;SPTLC1;CYP51A1;ALDH1A2;PTDSS2;GART;MOCS2;FAH;CD38;MIF;COX6A1;CAD;FASN;ACAT2;STT3B;PGAP1;COX7A2L;COX8A;EPHX2;DCTD;MTHFD2;COX6C;GYG1;MTHFD1L;NDUFV2;STT3A;MDH2;UCK2;GOT2;KMT5A;ACOT8;HDDC2;GLA;SIRT6;LDHB;MTMR2;AHCY;UGDH;ALDH5A1;GPI;PI4K2B;SRD5A3;DCTPP1;AFMID;GPAA1;CHST10;RPN2;GPHN;ITPK1;IMPDH1;DDOST;ATP5PF;SACM1L;PGD;GLUD1;LPIN2;ADCY7;NAMPT;ST3GAL4;COX4I1;CRLS1;PHGDH;GAPDH;PDHA1;NEU1;ADSL;NUDT9;PMM2;CA8;DGKQ;GALNT6;MTMR14;HLCS;ADO;GUCY1B1;GALNS;PRPS1;ATP6V0A4;ACSL5;ATP6V0D1;PTGES3;PPT1;GALNT1;ATP5MC1;IDI1;ATP6V0C;NDUFB7;OGDH;SQLE;KMT5C;DEGS1;GNPNAT1;SEPHS1;PIGH;EHMT1;ATP6V1A;VKORC1;GNS;MTHFD1;NDUFB6;ACP1;GALNT7;ATP5F1C;IDS;COLGALT1;ATP5MG;B3GALT6;PTGES2;TPI1;NDUFB9;PTDSS1;AZIN2;SUCLG2;ATP5MC3;RFK;PDE4B;NT5C3A;DHCR7;ATP5F1A;PGM2;ATP6V0E1;DTYMK;DHCR24;ALG12;ADK;NFS1;ALG1;PIK3CB;DUT;SMPD2;NDUFS3;CMPK2;ATIC;SCLY;PGAP2;CYP2U1;COX7B;L2HGDH;PGM1;AK6;TIGAR;GSTO1;GUK1;C11orf54;B3GALNT2;SDHB;COX17;PLA2G12A;PDE6G;DNMT3A;GFPT1;SMYD2;DNMT1;RXYLT1;ATP5F1E;PNPO;ACACA","hsa01100","Metabolic pathways","historical_rank_high_precision"
"hsa01200 Carbon metabolism",0.0322423256759504,0.167375602406037,0.0508400018414447,0.340395216668867,1.40360890872461,81,"PGAM1;FH;ENO1;GCSH;PKM;PGK1;PCCB;HK1;ALDOA;PFKP;TKTL1;DLST;ACAT2;MDH2;GOT2;GPI;ME2;PGD;GLUD1;PHGDH;GAPDH;PDHA1;PRPS1;OGDH;TPI1;SUCLG2","hsa01200","Carbon metabolism","historical_rank_high_precision"
"hsa01210 2-Oxocarboxylic acid metabolism",0.951000884315459,0.956419692773097,0.00680797786433185,-0.200212110687647,-0.623388382116055,23,"IDH1;BCKDHA;BCKDHB;DHTKD1;IDH3G","hsa01210","2-Oxocarboxylic acid metabolism","historical_rank_high_precision"
"hsa01212 Fatty acid metabolism",0.854618378206656,0.891897402004774,0.00742217481435129,-0.209109032926847,-0.773165471453872,48,"SCD;ACSBG1;ACADVL;CBR4;ELOVL4;OXSM;ACSF3;ACSL1;HSD17B4;ACADSB;ACSL3","hsa01212","Fatty acid metabolism","historical_rank_high_precision"
"hsa01230 Biosynthesis of amino acids",0.0652804642166344,0.23044003868472,0.03526422163332,0.376195852626308,1.37139750864062,44,"PGAM1;ENO1;PKM;PGK1;ALDOA;ALDH18A1;PFKP;TKTL1;ACY1;GOT2;PHGDH;GAPDH;PRPS1;TPI1;PYCR1;IDH3B;BCAT1;RPIA;MAT2A;IDH2;PRPS2;MAT2B;ACO2","hsa01230","Biosynthesis of amino acids","historical_rank_high_precision"
"hsa01232 Nucleotide metabolism",0.0410453808752026,0.193186925985954,0.0448781231471238,0.363484883523724,1.40924739412526,59,"CTPS1;NME1;HPRT1;TYMS;AMPD2;NME2;NT5E;UPP1;DCTD;UCK2;HDDC2;DCTPP1;IMPDH1;ADSL;NT5C3A;DTYMK;ADK;DUT;CMPK2;AK6;GUK1;APRT;TK2;ASMTL;TK1","hsa01232","Nucleotide metabolism","historical_rank_high_precision"
"hsa01240 Biosynthesis of cofactors",0.477068712257222,0.678105433718747,0.0116789192567201,0.231365239278578,0.98898949077981,99,"GGH;PANK2;CTPS1;PDXP;NME1;GCH1;PANK1;GCLM;RDH13;NME2;MOCS2;CAD;MTHFD2;MTHFD1L;UGDH;AFMID;GPHN;ADSL;PMM2","hsa01240","Biosynthesis of cofactors","historical_rank_high_precision"
"hsa01250 Biosynthesis of nucleotide sugars",0.535279319570339,0.702429739064423,0.0106605316808151,-0.283512658491569,-0.94910177696694,31,"HKDC1;NAGK;NANP;GMPPA;UGP2;FCSK;PMM1;GALT;GALK2","hsa01250","Biosynthesis of nucleotide sugars","historical_rank_high_precision"
"hsa01521 EGFR tyrosine kinase inhibitor resistance",0.276925561117391,0.483934272645737,0.0161802876644359,0.295229564709725,1.11037192527901,51,"STAT3;PRKCA;BAX;PIK3R3;GRB2;EIF4E2;RPS6KB1;AKT1;NRAS;MAPK3;MAP2K1;RPS6;PIK3CB;PDGFA;MAPK1;BCL2;ARAF;JAK1;BRAF;PIK3R2;RPS6KB2;AKT2;KRAS;VEGFA;PIK3R1;SOS2;PIK3CD","hsa01521","EGFR tyrosine kinase inhibitor resistance","historical_rank_high_precision"
"hsa01522 Endocrine resistance",0.018247435221605,0.117115356967755,0.0677405375558311,0.383196982869526,1.49546813781827,61,"FOS;MAPK9;CDK4;BAX;PIK3R3;MDM2;CARM1;E2F1;GRB2;BIK;RPS6KB1;AKT1;GNAS;NRAS;ADCY7;E2F3;MAPK3;MAP2K1;PIK3CB;NOTCH1;MAPK1;BCL2;ARAF;BRAF;PIK3R2;SP1;PRKACA;RPS6KB2;AKT2;KRAS;RB1;PIK3R1;SOS2;PIK3CD","hsa01522","Endocrine resistance","historical_rank_high_precision"
"hsa01523 Antifolate resistance",0.113951731541489,0.300186277866759,0.0261672999286148,0.433254376656859,1.34042774597465,22,"GGH;RELA;SLC19A1;TYMS;NFKB1;GART;IKBKG","hsa01523","Antifolate resistance","historical_rank_high_precision"
"hsa01524 Platinum drug resistance",0.949220454635617,0.956419692773097,0.00673521725014305,-0.183351068972417,-0.696905534730282,55,"BIRC3;MAP3K5;GSTM2;AKT3;CASP8","hsa01524","Platinum drug resistance","historical_rank_high_precision"
"hsa02010 ABC transporters",0.595838866755201,0.742464006521042,0.00994755412104282,-0.305292444531164,-0.904853617237532,19,"CFTR;ABCB7;ABCB8;ABCD4;ABCC5","hsa02010","ABC transporters","historical_rank_high_precision"
"hsa03008 Ribosome biogenesis in eukaryotes",2.06140964720668e-05,0.00145535521092792,0.257947636479256,0.506617066370909,2.02040578384398,68,"DKC1;UTP4;EIF6;NXT1;NOP56;RRP7A;WDR36;NOP10;GTPBP4;GNL3L;RIOK1;POP1;WDR43;POP7;IMP3;IMP4;MDN1;UTP18;NHP2;GNL2;NOP58;RAN;RCL1;HEATR1;CSNK2A2;LSG1;SNU13;POP4;GNL3;GAR1;AK6;FBL;CSNK2A1","hsa03008","Ribosome biogenesis in eukaryotes","historical_rank_high_precision"
