"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa01232 Nucleotide metabolism",0.214327175880083,0.422700819096831,0.0170289762992213,0.311077611596879,1.1667554810668,59,"UPP1;CTPS1;NME1;NT5E;AK6;NME2;TYMP;CMPK2;GUK1;HPRT1;DCTD;APRT;ADK;GMPS;PNP;ADSL;TYMS;CMPK1;UCK2;HDDC2;DTYMK;NT5C3A;DCTPP1","within25","Up",355,"hsa01232","Nucleotide metabolism"
"hsa01240 Biosynthesis of cofactors",0.928432439563339,0.966549900425177,0.00568420888863348,0.182611844087222,0.75114329372492,98,"MTHFD2;GCH1;PANK2;CTPS1;NME1;PDXP;AK6;GCLM;NME2;GGH;CMPK2;PANK1;RFK","within25","Up",355,"hsa01240","Biosynthesis of cofactors"
"hsa01250 Biosynthesis of nucleotide sugars",0.549034819513531,0.752538073078392,0.0114621430702741,-0.271079958426167,-0.939966760761511,32,"HKDC1;GMPPA;NAGK;NANP;PMM1","within25","Down",355,"hsa01250","Biosynthesis of nucleotide sugars"
"hsa01521 EGFR tyrosine kinase inhibitor resistance",0.403379236924345,0.627451403766937,0.0116438261819558,0.280534811349893,1.02961475325999,53,"STAT3;PRKCA;BAX;PIK3R3;RPS6;EIF4E2;PDGFA;GRB2;RPS6KB1;MAP2K1;JAK1;NRAS;KRAS;BCL2;AKT1;FOXO3;SHC1;IGF1;MAPK3;BCL2L11","within25","Up",355,"hsa01521","EGFR tyrosine kinase inhibitor resistance"
"hsa01522 Endocrine resistance",0.497090748239137,0.708703677208408,0.0100423905099281,0.25619152501908,0.975265752861419,64,"FOS;BIK;MAPK9;BAX;GNAS;PIK3R3;ADCY7;MDM2;GRB2;RPS6KB1;MAP2K1;CDKN2A;NRAS;KRAS;E2F1;BCL2;NOTCH2;AKT1;MED1;CARM1;SHC1;IGF1;MAPK3;RB1;CDK4","within25","Up",355,"hsa01522","Endocrine resistance"
"hsa01523 Antifolate resistance",0.655719838703818,0.816217085628146,0.00858414420984967,0.287815126141214,0.866366314059626,22,"RELA;IL1B;GGH;ABCC4;NFKB1;GART;TYMS;SLC19A1","within25","Up",355,"hsa01523","Antifolate resistance"
"hsa01524 Platinum drug resistance",0.969897486885864,0.986224965584617,0.00565239261958742,0.176352795650767,0.652321809292463,55,"BID;GSTO1;BAX;PIK3R3;BBC3;MDM2;PMAIP1;SLC31A1;CDKN2A;ATP7A;ERCC1;BCL2;AKT1;REV3L;BIRC2;MAPK3;XPA;CYCS;BIRC5","within25","Up",355,"hsa01524","Platinum drug resistance"
"hsa02010 ABC transporters",0.299412987202392,0.515978691538102,0.0145548289441562,0.387990649193835,1.12575502031642,19,"ABCA1;TAP1;ABCD3;TAP2;ABCA2","within25","Up",355,"hsa02010","ABC transporters"
"hsa03008 Ribosome biogenesis in eukaryotes",0.000233534717662087,0.00436341183000215,0.232510857427675,0.477866018162688,1.84739468611659,69,"GTPBP4;UTP4;IMP3;AK6;DKC1;NXT1;POP7;EIF6;WDR36;NOP10;GAR1;POP4;WDR3;GNL2;SNU13;NOP58;NXT2;WDR43;RAN;IMP4;RRP7A;NHP2;UTP18;SBDS;NOP56;RCL1;FBL;RIOK1;XPO1;CSNK2A2;EMG1;NAT10;HEATR1;RPP38;XRN2","within25","Up",355,"hsa03008","Ribosome biogenesis in eukaryotes"
"hsa03010 Ribosome",1.87268472966411e-16,3.32401539515379e-14,0.469471784812291,0.570991066666481,2.54761136211609,169,"RPL39L;MRPL15;RPL26L1;AURKAIP1;RPL30;MRPS18A;MRPL33;RPS16;RPL8;RPL21;MRPL54;MRPS2;RPLP1;UBA52;RPS13;RPL23A;RPL7;RPL37;RPLP2;RPS20;RPS27;MRPS23;MRPL20;RPL38;RPS7;RPS15A;MRPL58;RPS27A;RPS6;RPL18A;RPL36;RPL19;RPL35A;RPS28;RPL27A;MRPL40;RPS19;RPS4Y1;RPS17;MRPS6;RPS24;MRPS15;RPL22;RPL13A;RPS25;RPS3A;MRPS7;RPS4X;MRPL37;RPL39;RPS21;RPL11;RPL23;RPS27L;RPL17;MRPL3;RPS29;RPS3;RPL5;MRPL43;MRPL50;RPS12;RPL24;RPL27;RPL35;RPS2;RPL4;MRPS30;RPL14;RPL12;RPLP0;RPL3;RPL36AL;RPS9;MRPL53;RPL18;RPS14;RPL9;FAU;RPL32;RPL34;MRPS17;RPS23;RPS18;RPL15;RPL31;MRPL14;RPL10A;RPL37A;MRPL39;MRPL11;MRPL21;RPL29;MRPS12;RPL13;RPL36A;MRPL2;RPS15;RPS8;RPS5;MRPL36;RPL7A;RPL6;MRPL47;RPL10;RPS26;MRPL13;RPS11;MRPS10;MRPL27;MRPL41;RSL24D1;RPL41;RPL28","within25","Up",355,"hsa03010","Ribosome"
"hsa03013 Nucleocytoplasmic transport",0.863493948088783,0.932323232323232,0.00615392026861828,0.194305267388716,0.799242235704875,98,"EIF4A3;ALYREF;MAGOH;SUMO1;NUP153;NXT1;SUMO2;THOC7;EEF1A1;NXT2;RAN;SUMO3;RAE1;KPNA4;TNPO1;SRRM1;PYM1;NUP35;SEH1L;RNPS1;KPNA1;PHAX;SAP18;XPO1;NUP155;NUP37;KPNA2;NUP58;CASC3;NMD3;XPOT;RBM8A","within25","Up",355,"hsa03013","Nucleocytoplasmic transport"
"hsa03015 mRNA surveillance pathway",0.989032667937272,0.994174552993479,0.00536103235364476,0.160480524023976,0.639180235466207,81,"EIF4A3;ALYREF;MAGOH;GSPT1;NXT1;PABPC1;PPP1CC;PABPC4;NXT2;ETF1;DAZAP1;PPP2R5C","within25","Up",355,"hsa03015","mRNA surveillance pathway"
"hsa03018 RNA degradation",0.527123640429641,0.733838793539304,0.00960037525430875,0.249888697283877,0.960293082642239,67,"EXOSC4;PNPT1;TOB2;TENT4B;PABPC1;LSM5;EXOSC6;ENO1;HSPA9;PFKP;PABPC4;HSPD1;TENT4A;DCP2;LSM2;CNOT9;DHX36;CNOT6L;LSM3;CNOT2","within25","Up",355,"hsa03018","RNA degradation"
"hsa03020 RNA polymerase",0.874888959954518,0.935498737300765,0.00655039311222259,0.222464187998161,0.722189400095962,30,"POLR2D;POLR1B;POLR3H;POLR2C;POLR2H;POLR2K;POLR2G;POLR2L;POLR3C;POLR2I;POLR3F;POLR3K;POLR1D;POLR2E","within25","Up",355,"hsa03020","RNA polymerase"
"hsa03022 Basal transcription factors",0.778931802978559,0.880674808561629,0.0072424159775851,0.234307628052763,0.8054983118301,39,"TAF4B;TAF5L;GTF2E1;TBPL1;GTF2H3;TAF10;ERCC3;CDK7","within25","Up",355,"hsa03022","Basal transcription factors"
"hsa03030 DNA replication",0.942731745301384,0.969147874300226,0.00604306516259258,0.196710307843935,0.66081036575459,35,"MCM4;POLE3;RFC5;SSBP1;DNA2;POLA1;RPA2;POLE2;PCNA","within25","Up",355,"hsa03030","DNA replication"
"hsa03040 Spliceosome",0.0020271310747301,0.0175519885738826,0.193460727359442,0.36496045955056,1.58363056866912,138,"EIF4A3;ALYREF;MAGOH;TXNL4A;PUF60;SF3B6;SRSF6;RP9;SNRPB;SNRPD1;PPIL1;SRSF3;SNRPB2;LSM5;HNRNPA1;SNRPF;PPIH;HNRNPC;SNRPE;SNRPA1;SF3B4;THOC7;SNU13;RBM17;SRSF9;CHERP;SNRPC;PHF5A;DDX5;SRSF2;PQBP1;SNRPD2;BUD31;SRSF7;LSM2;TCERG1;XAB2;PRPF40B;LSM3;SF3B5;SF3A2;PRPF6;SRSF5;HNRNPA3;SF1;PRPF38B;CCDC12;CWC25;SNIP1;HNRNPM;CASC3;SLU7;HNRNPK;RBM8A;LSM6;SNRPG;TRA2B;HNRNPU;SMNDC1;ZMAT2;RBM22","within25","Up",355,"hsa03040","Spliceosome"
"hsa03050 Proteasome",0.0111218903748874,0.0572213200447105,0.0803274470787244,0.452931833775999,1.60773182207287,45,"ADRM1;PSMB1;POMP;PSMC4;IFNG;PSMD12;PSMB9;PSMB3;PSMA7;PSMD7;PSMB7;SEM1;PSMD11;PSME2;PSMD8;PSMC3;PSMC1;PSMA4;PSMB2;PSMF1;PSMC5;PSME4;PSMD6;PSMD1;PSME1;PSMD2;PSMB10;PSME3","within25","Up",355,"hsa03050","Proteasome"
"hsa03060 Protein export",0.224745052055573,0.426655045346142,0.0169549180505644,0.365089920259757,1.18519781932567,30,"GET4;SPCS1;SEC11A;SRPRA;SRP72;SRPRB;GET3;SPCS3;SGTA;GET1;SRP19;SRP9;SEC61B;IMMP1L;SRP68;SPCS2","within25","Up",355,"hsa03060","Protein export"
