"logFC","logCPM","F","PValue","FDR","gene","rank_stat","analysis"
-0.790319500889782,3.88930577269339,1.542437812859,0.243445917315295,0.999875881051378,"LINC01409",-1.24194919898481,"within15"
-0.68809474984272,4.0316225902915,1.31292905678078,0.279357430649179,0.999875881051378,"LINC01128",-1.14583116416896,"within15"
0.479968443732733,5.60942212566823,1.09520060913805,0.320664281660683,0.999875881051378,"NOC2L",1.04651832718689,"within15"
-1.06222901325666,8.66433038713011,1.67634033693344,0.224380235383162,0.999875881051378,"HES4",-1.29473562433936,"within15"
0.43288373950721,5.95130955870812,0.402470367849928,0.540458943124883,0.999875881051378,"ISG15",0.634405523186808,"within15"
-0.590512774470462,2.80664168314876,0.419349141361849,0.531814073889585,0.999875881051378,"C1orf159",-0.647571726808582,"within15"
1.11712078838074,4.24448808621062,1.68279118887433,0.219164069181675,0.999875881051378,"TNFRSF18",1.29722441731349,"within15"
0.00315965652842594,5.953434673221,3.79337958356088e-05,0.995210592915075,0.999875881051378,"TNFRSF4",0.00615904179524777,"within15"
-0.00840847302221371,6.50805898491687,0.000353508201201184,0.985379423879715,0.999875881051378,"SDF4",-0.0188018137742396,"within15"
0.730394505267963,5.03245407071531,2.1771603294183,0.171720746875359,0.999875881051378,"B3GALT6",1.4755203588627,"within15"
0.596498811389722,5.78606928589729,1.39556092866464,0.265576800980182,0.999875881051378,"UBE2J2",1.18133861727476,"within15"
-0.0720188296808437,4.62847853180493,0.0195009214661841,0.891794908105281,0.999875881051378,"ACAP3",-0.139645699776914,"within15"
0.50027391627485,3.21518516338445,0.406356957937045,0.538243308322287,0.999875881051378,"PUSL1",0.637461338386137,"within15"
-0.0922961683805106,6.06915068615031,0.0342130126431402,0.857056464197797,0.999875881051378,"INTS11",-0.184967598900835,"within15"
0.600509704527329,3.75341693557184,0.864418969896506,0.37497170048883,0.999875881051378,"CPTP",0.929741345695945,"within15"
0.826727460856925,6.93243251958684,3.50419595863302,0.0915617960126022,0.999875881051378,"AURKAIP1",1.87194977460214,"within15"
-0.617243153061123,6.20749818649432,1.48103145070451,0.252326411944859,0.999875881051378,"CCNL2",-1.2169763558527,"within15"
-0.276378910811348,3.78179879595839,0.158226830801657,0.69940191944677,0.999875881051378,"MRPL20-AS1",-0.397777363360029,"within15"
0.352286115030205,6.25454147444422,0.590471079913448,0.460497006234086,0.999875881051378,"MRPL20",0.768421160506039,"within15"
-0.625435452517991,3.76123063077503,1.02649074756958,0.335589616604034,0.999875881051378,"ATAD3B",-1.01315879681794,"within15"
0.390029008226168,3.76364533419622,0.334575158125389,0.57609710531081,0.999875881051378,"ATAD3A",0.578424721226011,"within15"
0.451323156315083,6.8605106673675,0.955095088448656,0.352113229735477,0.999875881051378,"SSU72",0.977289664556346,"within15"
-0.568579661678104,3.26916416245998,0.423387682823972,0.529994569606286,0.999875881051378,"AL645728.1",-0.650682474655628,"within15"
-0.847718008013076,3.6880860044672,1.62211727709255,0.232492402877015,0.999875881051378,"AL691432.2",-1.27362367954296,"within15"
0.103040835392924,5.66809828781333,0.0512751761943941,0.825549957505962,0.999875881051378,"MIB2",0.226440226537588,"within15"
0.332513830156311,5.26024338312301,0.465824757258675,0.510861163221886,0.999875881051378,"CDK11B",0.682513558296592,"within15"
-0.556971748152504,4.99936224500496,1.2500892667773,0.29042281082262,0.999875881051378,"SLC35E2B",-1.11807390935362,"within15"
-0.11709176681393,6.10559331035935,0.0511425154488499,0.825771269268964,0.999875881051378,"CDK11A",-0.226147110193453,"within15"
-0.283917995552503,3.80257499992985,0.195949912660507,0.667722204267615,0.999875881051378,"SLC35E2A",-0.44266230092533,"within15"
0.849250951675726,4.011211927833,1.57463766734204,0.238548209621023,0.999875881051378,"NADK",1.25484567471145,"within15"
0.513034174477667,7.50628650560819,1.25870876323602,0.288833148259452,0.999875881051378,"GNB1",1.12192190603269,"within15"
0.199300654581656,6.68758118166269,0.169383370828994,0.689584599871013,0.999875881051378,"FAAP20",0.411562110536179,"within15"
-0.37376075757829,4.68173711859081,0.0971028540531104,0.761930525907197,0.999875881051378,"SKI",-0.311613308530156,"within15"
0.499831753689861,5.40027096080128,0.985971448303644,0.344819893099874,0.999875881051378,"RER1",0.99296095003965,"within15"
-0.554103438344499,3.9321015247809,0.871732414476146,0.373072838168392,0.999875881051378,"PEX10",-0.933666115094762,"within15"
1.61305863736129,4.39425158075148,2.19578529859774,0.169703982164352,0.999875881051378,"PLCH2",1.48181824074268,"within15"
-0.0528669324959562,3.37431961523294,0.00514928667810377,0.94424948968722,0.999875881051378,"PANK4",-0.0717585303507797,"within15"
1.18446416345988,5.61863238545789,4.27906928896958,0.0662615648904463,0.999875881051378,"AL139246.5",2.0685911362494,"within15"
0.365048444034657,6.23580037392993,0.656218004874547,0.437275408145119,0.999875881051378,"TNFRSF14",0.810072839240118,"within15"
-0.815368050833709,3.75057954776429,1.34933565848586,0.273203840160832,0.999875881051378,"PRXL2B",-1.16160908161303,"within15"
-0.0302549811714903,3.60059066099366,0.000553234381548039,0.981764478300004,0.999875881051378,"PRDM16",-0.0235209349633053,"within15"
0.145586098734183,4.00261119538636,0.0513012682264427,0.825430988563171,0.999875881051378,"MEGF6",0.226497832719085,"within15"
0.0203404030376051,3.93730370773609,0.00095421254380604,0.975983771516956,0.999875881051378,"TPRG1L",0.0308903309112421,"within15"
-0.0246698865341045,4.34945596134758,0.00194924015537004,0.965677994511807,0.999875881051378,"WRAP73",-0.0441501999471128,"within15"
-0.235154996053943,5.47807887253742,0.26303529983404,0.619498950841367,0.999875881051378,"LRRC47",-0.512869671392294,"within15"
-0.73089726427577,5.13151947807882,2.38251960145036,0.154618101404985,0.999875881051378,"CEP104",-1.54354125356284,"within15"
-0.167029961654732,3.74712025366328,0.0285737477124092,0.869240017120415,0.999875881051378,"DFFB",-0.169037710918035,"within15"
0.238896026303327,5.11207879781475,0.215044123308886,0.653061019374611,0.999875881051378,"C1orf174",0.463728501721521,"within15"
-0.691190085398787,6.50165809394356,1.11647931825817,0.316242193043106,0.999875881051378,"AJAP1",-1.05663584940989,"within15"
-0.723898886210288,6.33755541265525,2.14006896238873,0.175054786318084,0.999875881051378,"KCNAB2",-1.4628974545021,"within15"
0.626196884582132,10.1085356542719,1.29415603560711,0.282533282335062,0.999875881051378,"RPL22",1.13760979057281,"within15"
-0.223886231567101,4.13374721442807,0.117179456749459,0.739417295927846,0.999875881051378,"ICMT",-0.342314850319789,"within15"
0.166798807798053,4.49926321347412,0.0634783547214821,0.806266871240626,0.999875881051378,"ACOT7",0.251949111372678,"within15"
0.617888027007966,4.89332381600296,0.754438521621244,0.405957787449212,0.999875881051378,"TNFRSF25",0.868584205256603,"within15"
-0.438879839305698,5.44646143472893,0.662448862258314,0.435189344813954,0.999875881051378,"NOL9",-0.813909615533761,"within15"
-0.480899892895153,4.11061969720684,0.715961950894989,0.417860117640897,0.999875881051378,"ZBTB48",-0.846145348563111,"within15"
1.03485014798046,2.75863489582625,1.12775470426494,0.312029822039767,0.999875881051378,"PHF13",1.0619579578613,"within15"
-1.17408342196333,3.95022636878414,2.64970549510493,0.13560301322453,0.999875881051378,"THAP3",-1.62779160063717,"within15"
0.101173700047599,4.83711092153569,0.0423788901396941,0.841152175961989,0.999875881051378,"DNAJC11",0.205861337165807,"within15"
0.3478437198855,6.05927230064066,0.59417884984288,0.459142282353854,0.999875881051378,"CAMTA1",0.770829974665542,"within15"
0.431383073011267,5.04710612992098,0.520712489344488,0.487455249225031,0.999875881051378,"VAMP3",0.721604108458708,"within15"
0.623361073987021,7.4043795053995,1.26508582934161,0.287687796224301,0.999875881051378,"PARK7",1.12476034306941,"within15"
-0.632279665375414,5.31259934174364,1.80324136704067,0.209844776177306,0.999875881051378,"RERE",-1.34284822933966,"within15"
0.563596177047686,8.66172700600126,1.5173027696286,0.246980459660496,0.999875881051378,"ENO1",1.2317884435359,"within15"
-0.451854894467628,5.26916989722984,0.615560912326417,0.451407733060574,0.999875881051378,"H6PD",-0.784576900199348,"within15"
2.03952823727036,5.33140605571311,4.48780711354854,0.0609146944037968,0.999875881051378,"SPSB1",2.11844450329683,"within15"
0.935400098608381,5.33521246180749,3.12669854141569,0.10827179023971,0.999875881051378,"SLC25A33",1.7682473077643,"within15"
1.13639504767933,3.32995297876138,1.93473925958001,0.19281237516025,0.999875881051378,"TMEM201",1.39094904995834,"within15"
-0.0251023225651011,4.98325252704324,0.00270458873571085,0.959578278478137,0.999875881051378,"PIK3CD",-0.0520056606121954,"within15"
-0.353473056321398,3.26612758475547,0.136485052663948,0.71904501711423,0.999875881051378,"PIK3CD-AS2",-0.369438834807534,"within15"
-0.0777135146043779,5.66697897792248,0.0293479691256823,0.86749292873665,0.999875881051378,"CLSTN1",-0.171312489695534,"within15"
