"cluster","gene","descriptive_log2_ratio","pct_in","pct_other"
"0","SOCS2",1.71420904790387,97.0669110907424,21.391555517798
"0","PMAIP1",1.69686320399491,98.3043079743355,34.9248152238552
"0","TASP1",1.45758575583471,98.166819431714,49.3500976977317
"0","CCND2",1.42844197384681,92.2089825847846,21.8927873587631
"0","CFTR",1.36451329109875,83.2263978001833,12.3438960156316
"0","TRBV7-9",1.26245508823644,84.4179651695692,11.307450513975
"0","H1F0",1.23915907791081,81.8515123739688,32.3167105598505
"0","PTCRA",1.22280653382458,88.2676443629698,28.1199558236344
"0","MEST",1.21037682679804,75.8478460128323,16.7785234899329
"0","JUN",1.1979364337356,99.9083409715857,79.0417126837142
"0","DUSP6",1.19788801111904,85.3345554537122,30.0993968226999
"0","TSC22D3",1.14619445977589,99.8625114573786,66.7233030328774
"0","SAP30",0.996427755151217,69.3858845096242,21.3066009684819
"0","HES1",0.992229854397676,66.8194317140238,17.5940871633676
"0","ITM2C",0.988421102539713,95.3712190650779,53.8781751762807
"0","GADD45A",0.98731433079334,84.6012832263978,39.9286381785745
"0","KLF6",0.96569064934124,99.9541704857928,87.6730948942316
"0","ITPR2",0.951392185990621,86.6636113657195,41.5852518902387
"0","CLDN5",0.926103764091915,84.1888175985335,35.3920652450939
"0","TXNIP",0.924135036642236,99.4958753437214,81.0211536827797
"0","REPIN1",0.913692656679951,86.1594867094409,38.2720244669102
"0","DPEP1",0.908094568647231,72.3189734188818,16.6850734856852
"0","AC109466.1",0.87975288397037,58.1576535288726,5.91283663240166
"0","CCDC138",0.866355792969186,75.0229147571036,26.2339648288166
"0","GAS2",0.858113199422431,61.7323556370302,13.7286551694843
"0","TSC22D1",0.849845583636084,92.4381301558203,47.9823294537423
"0","GALNT2",0.847549210722732,83.730522456462,40.6422563928298
"0","SMIM3",0.841618924271108,77.6351970669111,30.3457650157166
"0","XG",0.836016547529857,78.230980751604,24.2800101945459
"0","PAXIP1-AS1",0.833254474129327,67.0485792850596,19.8283918103814
"1","TRBV5-4",3.96007159729976,98.7629886194953,5.55648675829702
"1","IFITM1",2.04923700567157,99.8515586343394,71.9158565202816
"1","TLX3",1.91729865038167,96.4868876793666,29.0479383171304
"1","STK17B",1.77538948023182,98.9609104403761,76.0643647334898
"1","CDKN2D",1.75675307327896,95.6952003958436,46.1699631243714
"1","RBM17",1.75435218127192,93.2211776348342,56.3694267515924
"1","SH3BP5",1.6450341837596,93.5675408213756,39.5574924572578
"1","MIR4435-2HG",1.64354972642785,83.6219693221178,34.4368085819645
"1","ANKRD12",1.6061745688649,92.1820880752103,57.4505531344284
"1","KHDRBS3",1.59965092798527,61.4052449282533,4.69326181696279
"1","ARID5A",1.58968185400417,88.1246907471549,24.4049614482065
"1","ETS2",1.52895033378113,90.5987135081643,41.6526986255448
"1","BHLHE40",1.51320900779889,79.5645719940623,20.465973851827
"1","IFIT3",1.49535172966027,54.1810984661059,5.53972510895072
"1","MX1",1.49344888535079,80.5541810984661,25.2765672142139
"1","PRKX",1.48577376649469,74.4186046511628,16.9711699631244
"1","EMP3",1.45756128280839,96.9816922315685,72.0750921890714
"1","YWHAZ",1.45111152142259,99.8020781791192,93.3791485082132
"1","RHOU",1.4340608694241,75.1113310242454,28.2685216225277
"1","MT2A",1.42111808459746,55.517070757051,41.8454575930271
"1","GNA15",1.36653665965921,96.9322117763483,73.2484076433121
"1","METRNL",1.35746314172401,54.3295398317664,6.5705665437479
"1","RBM3",1.28530304290616,98.2187036120732,84.9899430103922
"1","PIK3R1",1.26912636038027,89.4111825828798,55.8498156218572
"1","CYTOR",1.26854542628801,83.9188520534389,47.1421387864566
"1","SYAP1",1.26194198401461,74.5175655616032,34.1686221924237
"1","RELB",1.25340145721391,54.3295398317664,10.8028830036876
"1","TPM4",1.22752959960535,90.7471548738248,63.8032182366745
"1","YBX3",1.21306951981172,92.8748144482929,58.3724438484747
"1","PRNP",1.20663579065096,77.5853537852548,34.922896413007
"2","TRBV27",3.57730416482166,98.0572045331894,4.46280991735537
"2","TRBV12-3",2.19003574099549,99.7301672962763,18.2561983471074
"2","DDIT4",2.18263480260542,96.6001079330815,70.4876033057851
"2","CD69",1.98496356954862,95.1969778737183,46.2561983471074
"2","SOX4",1.80974799719677,99.8920669185105,88.5867768595041
"2","TSC22D3",1.74946925455134,99.0286022665947,67.7520661157025
"2","HERPUD1",1.72610335365889,95.8985429033999,56.5371900826446
"2","SIX6",1.67219507740955,79.7085806799784,14.8677685950413
"2","RNF168",1.61441757863951,73.8262277388019,39.0826446280992
"2","HIST1H1C",1.59108828585499,86.5083648138154,56.4462809917355
"2","MIR181A1HG",1.57173697968823,89.8003237992445,46.0578512396694
"2","HIST1H2BC",1.57140542399824,61.4139233675121,15.7933884297521
"2","MYO7B",1.54182584588385,91.743119266055,36.3553719008264
"2","HIST1H2AC",1.52498815832657,78.0895844576363,34.6198347107438
"2","ZFP36L2",1.52359283445166,94.7652455477604,85.2396694214876
"2","VIPR2",1.51765488427266,73.2865623313546,16.4793388429752
"2","SPRY1",1.4447463851946,79.9244468429574,39.9834710743802
"2","SAT1",1.42013452480854,92.0129519697787,70.4380165289256
"2","DUSP2",1.37509094069519,70.5882352941177,43.5537190082645
"2","RNF130",1.37314740315311,84.5116028062601,39.495867768595
"2","RPS4Y1",1.37165049195092,95.7366432811657,43
"2","TRAV17",1.3701107074689,58.76956287102,2.02479338842975
"2","BHLHE23",1.3512632459891,69.4009713977334,15.2148760330579
"2","TSPYL2",1.27988113652049,77.2261198057204,40.2727272727273
"2","AREG",1.27713089006927,32.4338909875877,7.37190082644628
"2","HSPA5",1.26154290077457,81.1117107393416,70.0909090909091
"2","BTG1",1.21163943410383,99.3524015110631,90.0661157024793
"2","MARCKS",1.18192408492867,69.2390717754992,17.702479338843
"2","AC093390.2",1.17134566449423,49.8650836481382,11
"2","FTH1",1.15885250230558,100,99.4297520661157
"3","TRAV21",2.33736115470373,84.3276036400405,5.23758099352052
"3","TRBV12-3",2.19623961985433,99.7977755308392,23.6809626658439
"3","CHI3L2",1.77060193929806,99.2922143579373,46.0891700092564
"3","MYO7B",1.58159783767435,99.4944388270981,39.4554149953718
"3","HES4",1.55695146107935,98.8877654196158,46.3977167540882
"3","TRBC2",1.53409037682668,99.3933265925177,79.9676025917927
"3","SELENOW",1.51500215009508,99.2922143579373,80.5075593952484
"3","ALDH1A2",1.50474870292598,94.5399393326592,21.2742980561555
"3","TRDV3",1.48676146362567,77.5530839231547,5.38414069731564
"3","FXYD2",1.41093583139851,97.5733063700708,56.6646096883678
"3","IGFBP5",1.29497378276796,72.2952477249747,16.2218451095341
"3","FOS",1.26248162349967,84.4287158746208,40.242209194693
"3","MAL",1.20431492158321,99.6966632962588,85.2437519284172
"3","SERPINB1",1.18016337777653,92.9221435793731,61.2542425177414
"3","DNTT",1.09105041780419,97.8766430738119,59.341252699784
"3","SIX6",1.07322046713453,87.9676440849343,18.5590867016353
"3","GAPDH",1.06262541542545,100,97.9404504782475
"3","RGCC",1.03470349616893,71.6885743174924,30.5384140697316
"3","GALNT6",1.03095693427095,89.2821031344793,39.941376118482
"3","XG",1.02088227780168,83.0131445904954,28.8799753162604
"3","CD3D",1.01632433330379,99.7977755308392,86.8790496760259
"3","ITGAE",0.987855781366749,93.6299292214358,53.594569577291
"3","SLC25A6",0.927542272849901,99.5955510616785,92.8108608454181
"3","PRMT7",0.923549215619764,93.8321536905966,58.9401419315026
"3","AC019197.1",0.923503176731504,85.8442871587462,23.1332921937674
"3","CD7",0.916065777586136,99.4944388270981,87.8046899105214
"3","PNOC",0.902838880039195,35.2881698685541,3.24745448935514
"3","HIST3H2A",0.894665141558088,72.8008088978766,14.5788336933045
"3","VIPR2",0.884219171726849,84.0242669362993,19.4461585930268
"3","CD1E",0.876781621797312,63.0940343781598,12.4575748225856
"4","PCLAF",1.53775316893842,95.2275249722531,24.1878639288998
"4","TYMS",1.49352909001079,99.2230854605993,41.4342629482072
"4","DUT",1.46607784959016,99.4450610432852,59.6000612932884
"4","MCM5",1.28698106112779,97.8912319644839,33.7649402390438
"4","MCM3",1.26562467828856,97.780244173141,30.8458473797119
"4","MCM7",1.19732100208584,98.0022197558269,39.5878026356114
"4","STMN1",1.17572043614897,100,83.6500153233221
"4","UHRF1",1.09894741720013,92.1198668146504,27.0992951271836
"4","GINS2",1.07697461381249,92.3418423973363,15.8749616916948
"4","NASP",1.07142038946145,99.4450610432852,55.4474410052099
"4","TUBA1B",1.06673963031077,99.7780244173141,83.5887220349372
"4","TK1",1.05258655562137,69.9223085460599,12.1513944223108
"4","TPI1",1.00303279526154,99.4450610432852,70.280416794361
"4","UNG",0.998310142173851,87.0144284128746,17.8746552252528
"4","GSTP1",0.952736660567735,100,85.4964756359179
"4","MCM6",0.951335234270644,93.118756936737,27.9037695372357
"4","PCNA",0.949998299905138,87.2364039955605,24.800796812749
"4","MCM2",0.946301651603951,89.4561598224195,21.2457860864235
"4","DHFR",0.941836578517511,83.3518312985572,18.5182347532945
"4","H2AFZ",0.916823677101436,99.889012208657,78.1029727244867
"4","RANBP1",0.908164172781791,98.0022197558269,53.7618755746246
"4","HSPD1",0.899535430098859,98.1132075471698,62.2203493717438
"4","CDCA7",0.888276013990335,95.2275249722531,39.426907753601
"4","MIF",0.887168353500841,100,94.2307692307692
"4","HELLS",0.886992880559005,88.1243063263041,22.7934416181428
"4","DEK",0.886802012410235,98.6681465038846,56.4434569414649
"4","MCM4",0.884402219544862,87.7913429522753,22.0349371743794
"4","CENPU",0.876039790857498,85.2386237513873,31.0680355501073
"4","FEN1",0.869849550800594,84.4617092119867,18.8783328225559
