"cluster","cell_type","panel","gene","mean_log_expression","pct_expressing"
"13","Myeloid","pDC","TCF4",0.0848059100114113,15.1408450704225
"13","Myeloid","Erythroid","HBB",0.0452594895073091,3.52112676056338
"13","Myeloid","Erythroid","ALAS2",0,0
"13","Myeloid","Erythroid","AHSP",0,0
"13","Myeloid","Cytotoxic","NKG7",0.252836103110379,32.0422535211268
"13","Myeloid","Cytotoxic","GNLY",0.0178918129595936,1.40845070422535
"13","Myeloid","Cytotoxic","KLRD1",0.00500460152373673,1.05633802816901
"13","Myeloid","Cell cycle","MKI67",0.0486310230738345,6.33802816901408
"13","Myeloid","Cell cycle","TOP2A",0.0286724716612797,3.52112676056338
"13","Myeloid","Cell cycle","UBE2C",0.0246187311266562,2.8169014084507
"14","Cytotoxic T/NK","T lineage","CD3D",0.844893047069673,47.2868217054264
"14","Cytotoxic T/NK","T lineage","CD3E",1.27434564029888,60.077519379845
"14","Cytotoxic T/NK","T lineage","TRAC",0.176214053666608,14.3410852713178
"14","Cytotoxic T/NK","T lineage","CD5",0.0813746867277649,8.52713178294574
"14","Cytotoxic T/NK","T lineage","CD7",2.11363676574192,93.0232558139535
"14","Cytotoxic T/NK","Immaturity","DNTT",0.100019829723115,8.52713178294574
"14","Cytotoxic T/NK","Immaturity","PTCRA",0.0303375744186871,3.10077519379845
"14","Cytotoxic T/NK","Immaturity","CD34",0.00284236883092627,0.387596899224806
"14","Cytotoxic T/NK","Immaturity","SOX4",0.291762011093993,20.1550387596899
"14","Cytotoxic T/NK","B cell","MS4A1",0,0
"14","Cytotoxic T/NK","B cell","CD79A",0.0562335650872056,5.03875968992248
"14","Cytotoxic T/NK","B cell","CD79B",0.122996386667465,12.015503875969
"14","Cytotoxic T/NK","Myeloid","LYZ",0,0
"14","Cytotoxic T/NK","Myeloid","LST1",0.0748378612687468,7.75193798449612
"14","Cytotoxic T/NK","Myeloid","FCN1",0,0
"14","Cytotoxic T/NK","pDC","CLEC4C",0,0
"14","Cytotoxic T/NK","pDC","LILRA4",0,0
"14","Cytotoxic T/NK","pDC","TCF4",0.0111859474247707,1.16279069767442
"14","Cytotoxic T/NK","Erythroid","HBB",0.0794095697637065,6.58914728682171
"14","Cytotoxic T/NK","Erythroid","ALAS2",0,0
"14","Cytotoxic T/NK","Erythroid","AHSP",0,0
"14","Cytotoxic T/NK","Cytotoxic","NKG7",3.95411915224349,100
"14","Cytotoxic T/NK","Cytotoxic","GNLY",3.34677302339911,84.4961240310078
"14","Cytotoxic T/NK","Cytotoxic","KLRD1",1.66952173353785,92.2480620155039
"14","Cytotoxic T/NK","Cell cycle","MKI67",0.0199575061628967,2.32558139534884
"14","Cytotoxic T/NK","Cell cycle","TOP2A",0.0246578985755346,2.32558139534884
"14","Cytotoxic T/NK","Cell cycle","UBE2C",0.0052248366596585,0.775193798449612
"15","T-lineage candidate","T lineage","CD3D",1.75045236358287,81.3084112149533
"15","T-lineage candidate","T lineage","CD3E",1.68163042813972,78.5046728971963
"15","T-lineage candidate","T lineage","TRAC",0.249607445875615,28.9719626168224
"15","T-lineage candidate","T lineage","CD5",0.19261368761645,20.5607476635514
"15","T-lineage candidate","T lineage","CD7",1.09433316047135,71.0280373831776
"15","T-lineage candidate","Immaturity","DNTT",0.848853005648314,58.8785046728972
"15","T-lineage candidate","Immaturity","PTCRA",0.0149810650136621,1.86915887850467
"15","T-lineage candidate","Immaturity","CD34",0.0476544853044314,3.73831775700935
"15","T-lineage candidate","Immaturity","SOX4",2.49811149433101,86.9158878504673
"15","T-lineage candidate","B cell","MS4A1",0.0172801457230278,2.80373831775701
"15","T-lineage candidate","B cell","CD79A",0.304991834199667,21.4953271028037
"15","T-lineage candidate","B cell","CD79B",0.0941183785516215,14.018691588785
"15","T-lineage candidate","Myeloid","LYZ",0,0
"15","T-lineage candidate","Myeloid","LST1",0.156711451911539,16.8224299065421
"15","T-lineage candidate","Myeloid","FCN1",0,0
"15","T-lineage candidate","pDC","CLEC4C",0,0
"15","T-lineage candidate","pDC","LILRA4",0,0
"15","T-lineage candidate","pDC","TCF4",0.101189914978625,14.9532710280374
"15","T-lineage candidate","Erythroid","HBB",0.13301060435685,13.0841121495327
"15","T-lineage candidate","Erythroid","ALAS2",0,0
"15","T-lineage candidate","Erythroid","AHSP",0.00789749484163387,0.934579439252336
"15","T-lineage candidate","Cytotoxic","NKG7",0.039425153435831,2.80373831775701
"15","T-lineage candidate","Cytotoxic","GNLY",0,0
"15","T-lineage candidate","Cytotoxic","KLRD1",0,0
"15","T-lineage candidate","Cell cycle","MKI67",0.11481522958803,13.0841121495327
"15","T-lineage candidate","Cell cycle","TOP2A",0.0845433624568017,7.47663551401869
"15","T-lineage candidate","Cell cycle","UBE2C",0.0701793472914089,8.41121495327103
"16","Erythroid","T lineage","CD3D",0.241673726068298,21.6494845360825
"16","Erythroid","T lineage","CD3E",0.25138028854625,25.7731958762887
"16","Erythroid","T lineage","TRAC",0.0338297399972468,5.15463917525773
"16","Erythroid","T lineage","CD5",0.0481967275011881,11.340206185567
"16","Erythroid","T lineage","CD7",0.301503758743686,28.8659793814433
"16","Erythroid","Immaturity","DNTT",0.151720673230983,17.5257731958763
"16","Erythroid","Immaturity","PTCRA",0.180282448091393,15.4639175257732
"16","Erythroid","Immaturity","CD34",0.270789832667563,29.8969072164948
"16","Erythroid","Immaturity","SOX4",0.727214738722163,64.9484536082474
"16","Erythroid","B cell","MS4A1",0.0271183169059278,1.03092783505155
"16","Erythroid","B cell","CD79A",0.101357776067304,14.4329896907216
"16","Erythroid","B cell","CD79B",0.0811347795972587,18.5567010309278
"16","Erythroid","Myeloid","LYZ",0.0644800187336996,8.24742268041237
"16","Erythroid","Myeloid","LST1",0.258646377462812,41.2371134020619
"16","Erythroid","Myeloid","FCN1",0.00844199686039283,1.03092783505155
"16","Erythroid","pDC","CLEC4C",0,0
"16","Erythroid","pDC","LILRA4",0,0
"16","Erythroid","pDC","TCF4",0.248617773508846,49.4845360824742
"16","Erythroid","Erythroid","HBB",3.26224560086388,58.7628865979381
"16","Erythroid","Erythroid","ALAS2",0.822098193390826,47.4226804123711
"16","Erythroid","Erythroid","AHSP",1.55432176370788,49.4845360824742
"16","Erythroid","Cytotoxic","NKG7",0.10792833065102,14.4329896907216
"16","Erythroid","Cytotoxic","GNLY",0.00419445193738111,2.06185567010309
"16","Erythroid","Cytotoxic","KLRD1",0,0
"16","Erythroid","Cell cycle","MKI67",0.53597030452206,48.4536082474227
"16","Erythroid","Cell cycle","TOP2A",0.37571600769422,45.360824742268
"16","Erythroid","Cell cycle","UBE2C",0.424344766830667,48.4536082474227
"17","T-lineage candidate","T lineage","CD3D",1.95561538024739,100
"17","T-lineage candidate","T lineage","CD3E",1.99140333630437,100
"17","T-lineage candidate","T lineage","TRAC",0.0970019698451817,17.6470588235294
"17","T-lineage candidate","T lineage","CD5",0.174611330642267,27.4509803921569
"17","T-lineage candidate","T lineage","CD7",1.25140766492893,96.078431372549
"17","T-lineage candidate","Immaturity","DNTT",1.47324322453245,94.1176470588235
"17","T-lineage candidate","Immaturity","PTCRA",0.0282819033983361,5.88235294117647
"17","T-lineage candidate","Immaturity","CD34",0.0337137169687126,5.88235294117647
"17","T-lineage candidate","Immaturity","SOX4",2.54409414418743,100
"17","T-lineage candidate","B cell","MS4A1",0,0
"17","T-lineage candidate","B cell","CD79A",0.0718683939710753,13.7254901960784
"17","T-lineage candidate","B cell","CD79B",0.0192868394828776,3.92156862745098
"17","T-lineage candidate","Myeloid","LYZ",0,0
"17","T-lineage candidate","Myeloid","LST1",0.43335968495558,62.7450980392157
"17","T-lineage candidate","Myeloid","FCN1",0,0
"17","T-lineage candidate","pDC","CLEC4C",0,0
"17","T-lineage candidate","pDC","LILRA4",0,0
"17","T-lineage candidate","pDC","TCF4",0.0287857968798392,3.92156862745098
"17","T-lineage candidate","Erythroid","HBB",0.105511717617376,15.6862745098039
"17","T-lineage candidate","Erythroid","ALAS2",0,0
"17","T-lineage candidate","Erythroid","AHSP",0,0
"17","T-lineage candidate","Cytotoxic","NKG7",0.0367283303777746,3.92156862745098
"17","T-lineage candidate","Cytotoxic","GNLY",0,0
"17","T-lineage candidate","Cytotoxic","KLRD1",0,0
"17","T-lineage candidate","Cell cycle","MKI67",0.372698703476909,47.0588235294118
"17","T-lineage candidate","Cell cycle","TOP2A",0.0256182018159786,3.92156862745098
"17","T-lineage candidate","Cell cycle","UBE2C",0.1499196009301,25.4901960784314
"18","T-lineage candidate","T lineage","CD3D",1.07495515488284,85.7142857142857
"18","T-lineage candidate","T lineage","CD3E",1.15328559344064,90.4761904761905
"18","T-lineage candidate","T lineage","TRAC",0.147495277362203,11.9047619047619
"18","T-lineage candidate","T lineage","CD5",0.238965238335445,35.7142857142857
"18","T-lineage candidate","T lineage","CD7",1.5443425192588,85.7142857142857
"18","T-lineage candidate","Immaturity","DNTT",1.4899433836432,85.7142857142857
"18","T-lineage candidate","Immaturity","PTCRA",0.300977547855246,33.3333333333333
"18","T-lineage candidate","Immaturity","CD34",0,0
"18","T-lineage candidate","Immaturity","SOX4",1.93592003526077,92.8571428571429
"18","T-lineage candidate","B cell","MS4A1",0,0
"18","T-lineage candidate","B cell","CD79A",0.349023594870192,54.7619047619048
"18","T-lineage candidate","B cell","CD79B",0.205306945955807,33.3333333333333
"18","T-lineage candidate","Myeloid","LYZ",0.150602389497506,7.14285714285714
"18","T-lineage candidate","Myeloid","LST1",0.720771335745888,71.4285714285714
"18","T-lineage candidate","Myeloid","FCN1",0.010103626498743,2.38095238095238
"18","T-lineage candidate","pDC","CLEC4C",0,0
"18","T-lineage candidate","pDC","LILRA4",0,0
"18","T-lineage candidate","pDC","TCF4",0.0502738292238284,11.9047619047619
"18","T-lineage candidate","Erythroid","HBB",0,0
"18","T-lineage candidate","Erythroid","ALAS2",0,0
"18","T-lineage candidate","Erythroid","AHSP",0,0
"18","T-lineage candidate","Cytotoxic","NKG7",0.246544132107498,30.952380952381
"18","T-lineage candidate","Cytotoxic","GNLY",0.0100665042971325,2.38095238095238
"18","T-lineage candidate","Cytotoxic","KLRD1",0,0
"18","T-lineage candidate","Cell cycle","MKI67",0.0434825302142765,7.14285714285714
"18","T-lineage candidate","Cell cycle","TOP2A",0.0749648268288485,4.76190476190476
"18","T-lineage candidate","Cell cycle","UBE2C",0.094018540338415,7.14285714285714
"19","pDC","T lineage","CD3D",0.0420220353062368,7.40740740740741
"19","pDC","T lineage","CD3E",0.172318196204147,22.2222222222222
"19","pDC","T lineage","TRAC",0,0
"19","pDC","T lineage","CD5",0.0212916054573221,3.7037037037037
"19","pDC","T lineage","CD7",0.284423592904454,29.6296296296296
"19","pDC","Immaturity","DNTT",0,0
"19","pDC","Immaturity","PTCRA",0.748180461820803,66.6666666666667
"19","pDC","Immaturity","CD34",0,0
"19","pDC","Immaturity","SOX4",0.780398612160526,77.7777777777778
"19","pDC","B cell","MS4A1",0,0
"19","pDC","B cell","CD79A",0.113437633129773,18.5185185185185
"19","pDC","B cell","CD79B",0.0323492316343885,7.40740740740741
"19","pDC","Myeloid","LYZ",0.0714572549698013,7.40740740740741
"19","pDC","Myeloid","LST1",0.349455105624357,48.1481481481481
"19","pDC","Myeloid","FCN1",0.0179282029495022,3.7037037037037
"19","pDC","pDC","CLEC4C",1.66534560508628,96.2962962962963
"19","pDC","pDC","LILRA4",2.29691316799388,100
"19","pDC","pDC","TCF4",1.86656446095212,100
"19","pDC","Erythroid","HBB",0.200537057551352,7.40740740740741
"19","pDC","Erythroid","ALAS2",0.0392262457444809,3.7037037037037
"19","pDC","Erythroid","AHSP",0.103920850752625,3.7037037037037
"19","pDC","Cytotoxic","NKG7",0.212453723593719,37.037037037037
"19","pDC","Cytotoxic","GNLY",0,0
"19","pDC","Cytotoxic","KLRD1",0,0
"19","pDC","Cell cycle","MKI67",0.238652817826007,14.8148148148148
"19","pDC","Cell cycle","TOP2A",0.186633090717053,18.5185185185185
"19","pDC","Cell cycle","UBE2C",0.230813077402981,18.5185185185185
