"cluster","cell_type","panel","gene","mean_log_expression","pct_expressing"
"3","T-lineage candidate","T lineage","CD5",0.34671850107734,47.7249747219414
"3","T-lineage candidate","T lineage","CD7",2.42228511795679,99.4944388270981
"3","T-lineage candidate","Immaturity","DNTT",1.89788972874194,97.8766430738119
"3","T-lineage candidate","Immaturity","PTCRA",0.923200662988291,72.2952477249747
"3","T-lineage candidate","Immaturity","CD34",0.0311695468330401,4.34782608695652
"3","T-lineage candidate","Immaturity","SOX4",2.09038166079559,99.1911021233569
"3","T-lineage candidate","B cell","MS4A1",0,0
"3","T-lineage candidate","B cell","CD79A",0.0588277593969511,9.20121334681496
"3","T-lineage candidate","B cell","CD79B",0.0102310343896168,1.61779575328615
"3","T-lineage candidate","Myeloid","LYZ",0.00488358685961477,0.910010111223458
"3","T-lineage candidate","Myeloid","LST1",0.930861591602741,84.3276036400405
"3","T-lineage candidate","Myeloid","FCN1",0.00110923194982187,0.202224469160768
"3","T-lineage candidate","pDC","CLEC4C",0,0
"3","T-lineage candidate","pDC","LILRA4",0,0
"3","T-lineage candidate","pDC","TCF4",0.0899319883784617,13.6501516683519
"3","T-lineage candidate","Erythroid","HBB",0.118332864431551,17.0879676440849
"3","T-lineage candidate","Erythroid","ALAS2",0,0
"3","T-lineage candidate","Erythroid","AHSP",0.00708351448065698,1.01112234580384
"3","T-lineage candidate","Cytotoxic","NKG7",0.0187633639784601,2.52780586450961
"3","T-lineage candidate","Cytotoxic","GNLY",0.0044423438836204,0.606673407482305
"3","T-lineage candidate","Cytotoxic","KLRD1",0.000848666498507659,0.101112234580384
"3","T-lineage candidate","Cell cycle","MKI67",0.0620011815956857,8.89787664307381
"3","T-lineage candidate","Cell cycle","TOP2A",0.0253108237838185,4.24671385237614
"3","T-lineage candidate","Cell cycle","UBE2C",0.0194947594023732,3.53892821031345
"4","T-lineage candidate","T lineage","CD3D",1.63320425025068,98.1132075471698
"4","T-lineage candidate","T lineage","CD3E",1.61969048283093,99.1120976692564
"4","T-lineage candidate","T lineage","TRAC",0.301487379414464,31.7425083240844
"4","T-lineage candidate","T lineage","CD5",0.219525722565751,39.7336293007769
"4","T-lineage candidate","T lineage","CD7",1.66524899506897,98.3351831298557
"4","T-lineage candidate","Immaturity","DNTT",1.37001028588085,84.5726970033296
"4","T-lineage candidate","Immaturity","PTCRA",0.783580340851543,64.8168701442841
"4","T-lineage candidate","Immaturity","CD34",0.018157816910109,3.32963374028857
"4","T-lineage candidate","Immaturity","SOX4",1.74502781976193,99.5560488346282
"4","T-lineage candidate","B cell","MS4A1",0.00370507705038933,0.221975582685905
"4","T-lineage candidate","B cell","CD79A",0.304421205650068,42.6193118756937
"4","T-lineage candidate","B cell","CD79B",0.100337647087397,19.6448390677026
"4","T-lineage candidate","Myeloid","LYZ",0.00735749253811113,1.66481687014428
"4","T-lineage candidate","Myeloid","LST1",0.761923876377188,85.4605993340733
"4","T-lineage candidate","Myeloid","FCN1",0.00382234592616798,0.887902330743618
"4","T-lineage candidate","pDC","CLEC4C",0,0
"4","T-lineage candidate","pDC","LILRA4",0,0
"4","T-lineage candidate","pDC","TCF4",0.0545233167413644,11.4317425083241
"4","T-lineage candidate","Erythroid","HBB",0.0396232502522646,7.10321864594895
"4","T-lineage candidate","Erythroid","ALAS2",0.000362532259560279,0.110987791342952
"4","T-lineage candidate","Erythroid","AHSP",0.00452342726029669,0.665926748057714
"4","T-lineage candidate","Cytotoxic","NKG7",0.384918066304591,48.0577136514983
"4","T-lineage candidate","Cytotoxic","GNLY",0.00572063733778989,0.998890122086571
"4","T-lineage candidate","Cytotoxic","KLRD1",0.00380664894834749,0.776914539400666
"4","T-lineage candidate","Cell cycle","MKI67",0.346380644526758,50.8324084350721
"4","T-lineage candidate","Cell cycle","TOP2A",0.142609262783373,25.8601553829079
"4","T-lineage candidate","Cell cycle","UBE2C",0.113000283332973,22.5305216426193
"5","T-lineage candidate","T lineage","CD3D",2.14245347844243,99.6511627906977
"5","T-lineage candidate","T lineage","CD3E",2.095180680021,99.3023255813954
"5","T-lineage candidate","T lineage","TRAC",1.19993322133385,91.9767441860465
"5","T-lineage candidate","T lineage","CD5",0.366484241425169,50
"5","T-lineage candidate","T lineage","CD7",1.75245932758835,97.3255813953488
"5","T-lineage candidate","Immaturity","DNTT",0.332383207828913,33.2558139534884
"5","T-lineage candidate","Immaturity","PTCRA",0.00490520299550482,0.697674418604651
"5","T-lineage candidate","Immaturity","CD34",0.000942942111879452,0.116279069767442
"5","T-lineage candidate","Immaturity","SOX4",2.07056335183426,99.4186046511628
"5","T-lineage candidate","B cell","MS4A1",0.00137465261697542,0.116279069767442
"5","T-lineage candidate","B cell","CD79A",0.129154318950115,18.2558139534884
"5","T-lineage candidate","B cell","CD79B",0.0515635233735888,8.95348837209302
"5","T-lineage candidate","Myeloid","LYZ",0.00124652821979524,0.232558139534884
"5","T-lineage candidate","Myeloid","LST1",0.953040369667436,85.3488372093023
"5","T-lineage candidate","Myeloid","FCN1",0.00141605181250022,0.116279069767442
"5","T-lineage candidate","pDC","CLEC4C",0.000781794000668118,0.116279069767442
"5","T-lineage candidate","pDC","LILRA4",0,0
"5","T-lineage candidate","pDC","TCF4",0.0199571669199993,3.02325581395349
"5","T-lineage candidate","Erythroid","HBB",0.0100180294947937,1.62790697674419
"5","T-lineage candidate","Erythroid","ALAS2",0,0
"5","T-lineage candidate","Erythroid","AHSP",0.00067876284333529,0.116279069767442
"5","T-lineage candidate","Cytotoxic","NKG7",0.373945532612426,42.6744186046512
"5","T-lineage candidate","Cytotoxic","GNLY",0.0453350841341222,4.30232558139535
"5","T-lineage candidate","Cytotoxic","KLRD1",0.00261765277820971,0.348837209302326
"5","T-lineage candidate","Cell cycle","MKI67",0.125495606140332,15
"5","T-lineage candidate","Cell cycle","TOP2A",0.0358585460299524,5.58139534883721
"5","T-lineage candidate","Cell cycle","UBE2C",0.0153974685970037,2.32558139534884
"6","T-lineage candidate","T lineage","CD3D",2.21477798682913,99.0014265335235
"6","T-lineage candidate","T lineage","CD3E",2.39882629490094,99.2867332382311
"6","T-lineage candidate","T lineage","TRAC",1.2613582004959,86.1626248216833
"6","T-lineage candidate","T lineage","CD5",0.376521350813407,38.6590584878745
"6","T-lineage candidate","T lineage","CD7",2.31663722641461,98.2881597717546
"6","T-lineage candidate","Immaturity","DNTT",0.164861874651991,14.9786019971469
