"cell_type","panel","gene","mean_log_expression","pct_expressing","cells","z"
"Erythroid","Myeloid","LST1",0.258646377462812,41.2371134020619,97,-0.459386146375287
"Erythroid","Myeloid","LYZ",0.0644800187336996,8.24742268041237,97,-0.377683063414857
"Erythroid","T lineage","CD3D",0.241673726068298,21.6494845360825,97,-0.443296467881762
"Erythroid","T lineage","CD3E",0.25138028854625,25.7731958762887,97,-0.5351171510816
"Erythroid","T lineage","CD5",0.0481967275011881,11.340206185567,97,-0.378585301170044
"Erythroid","T lineage","CD7",0.301503758743686,28.8659793814433,97,-0.574976095283746
"Erythroid","T lineage","TRAC",0.0338297399972468,5.15463917525773,97,-0.676469834030073
"Erythroid","pDC","CLEC4C",0,0,97,-0.413358880458311
"Erythroid","pDC","LILRA4",0,0,97,-0.418771173571388
"Erythroid","pDC","TCF4",0.248617773508846,49.4845360824742,97,-0.348507885621255
"Myeloid","B cell","CD79A",0.0561014747804683,8.45070422535211,284,-0.49357559346094
"Myeloid","B cell","CD79B",0.0953959613166742,13.3802816901408,284,-0.390647334122487
"Myeloid","B cell","MS4A1",0,0,284,-0.415073789592586
"Myeloid","Cell cycle","MKI67",0.0486310230738345,6.33802816901408,284,-0.676605117001005
"Myeloid","Cell cycle","TOP2A",0.0286724716612797,3.52112676056338,284,-0.754703844771095
"Myeloid","Cell cycle","UBE2C",0.0246187311266562,2.8169014084507,284,-0.714465414251402
"Myeloid","Cytotoxic","GNLY",0.0178918129595936,1.40845070422535,284,-0.404990008822417
"Myeloid","Cytotoxic","KLRD1",0.00500460152373673,1.05633802816901,284,-0.407777146143703
"Myeloid","Cytotoxic","NKG7",0.252836103110379,32.0422535211268,284,-0.377926276150262
"Myeloid","Erythroid","AHSP",0,0,284,-0.441845000026889
"Myeloid","Erythroid","ALAS2",0,0,284,-0.431705427113701
"Myeloid","Erythroid","HBB",0.0452594895073091,3.52112676056338,284,-0.438669980031798
"Myeloid","Immaturity","CD34",0,0,284,-0.454744253815997
"Myeloid","Immaturity","DNTT",0.07699195519372,12.3239436619718,284,-0.434676433539962
"Myeloid","Immaturity","PTCRA",0.0423769910872612,7.04225352112676,284,-0.68015611676333
"Myeloid","Immaturity","SOX4",0.541587438374269,54.2253521126761,284,-0.470358027268096
"Myeloid","Myeloid","FCN1",2.52484430734799,95.7746478873239,284,2.04119918915138
"Myeloid","Myeloid","LST1",1.61877632543558,96.1267605633803,284,1.92550052743731
"Myeloid","Myeloid","LYZ",2.66231847355631,96.830985915493,284,2.04045049328016
"Myeloid","T lineage","CD3D",0.154563510764185,14.4366197183099,284,-0.578769030124915
"Myeloid","T lineage","CD3E",0.141981127094623,17.2535211267606,284,-0.693572177435849
"Myeloid","T lineage","CD5",0.0163661227329234,4.92957746478873,284,-0.723589434633317
"Myeloid","T lineage","CD7",0.215288262462807,20.7746478873239,284,-0.672672513380691
"Myeloid","T lineage","TRAC",0.0205102792473238,2.8169014084507,284,-0.791396962216176
"Myeloid","pDC","CLEC4C",0.00318269528399617,0.704225352112676,284,-0.408667939334714
"Myeloid","pDC","LILRA4",0.00121218713913732,0.352112676056338,284,-0.417473138480801
"Myeloid","pDC","TCF4",0.0848059100114113,15.1408450704225,284,-0.576455133444291
"T-lineage candidate","B cell","CD79A",0.424097062668914,41.5887121920798,12828,-0.146276469435234
