"sample_id","patient_pair","condition_simple","cutoff","reference_q95","candidate_cells","top15_cells","above_reference_q95","overlap_cells","percent_candidates_above_q95","percent_top15_above_q95","sample"
"M104","P1","diagnosis",0.0169790350766311,0.026945532400026,2889,434,66,66,2.28452751817238,15.2073732718894,"P1 Dx"
"M127","P1","relapse",0.0303771617412866,0.026945532400026,2991,449,659,449,22.0327649615513,100,"P1 Rel"
"M143","P2","diagnosis",0.0316120724433664,0.026945532400026,2279,342,440,342,19.3067134708205,100,"P2 Dx"
"M148","P2","relapse",0.0216889835546744,0.026945532400026,1965,295,144,144,7.32824427480916,48.8135593220339,"P2 Rel"
"M187","P3","diagnosis",0.0396513933502837,0.026945532400026,713,107,350,107,49.0883590462833,100,"P3 Dx"
"M187r","P3","relapse",0.0273367995876705,0.026945532400026,1991,299,319,299,16.0220994475138,100,"P3 Rel"
