"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes"
"Glutamatergic synapse",1.56692610581757,0.016059742241137,0.109020942521565,"Up",40,"HOMER3;GNG4;PRKCA;PPP3R1;GNB1;GNG5;GNAS;ADCY7;SLC38A1;MAPK3;NCDN;GNG2;GRK2;GNAI2;GNG10;MAPK1;ITPR3"
"Alanine, aspartate and glutamate metabolism",1.66714107975769,0.0174776564051639,0.116174088101503,"Up",14,"PPAT;CAD;GOT2;ALDH5A1;GLUD1;ADSL;GFPT1;GLS"
"Pathways in cancer",1.30217067356096,0.017771673533941,0.116174088101503,"Up",288,"MYC;GADD45B;FOS;STAT5A;TGFB1;IL4R;RARA;RELA;PIM1;FH;IFNGR2;RALA;STAT3;BRCA2;MAPK9;IL4;TRAF3;GNG4;RASGRP1;TPM3;CDK4;ITGB1;BID;PRKCA;TGFBR1;CALM1;FLT3LG;BAX;JAK3;RPS6KA5;PIK3R3;NFKB2;HSP90B1;MDM2;KEAP1;TRAF4;ELK1;CUL1;E2F1;GRB2;GNB1;FGF9;GNG5;NFKB1;IL2RA;RPS6KB1;HDAC2;AKT1;DDB2;GNAS;FOXO1;EGLN2;IKBKG;NCOA4;NRAS;ADCY7;E2F3;RASSF5;ROCK1;GNA13;MAPK3;SKP1;MAP2K1;FRAT2;ETS1;ELOC;HDAC1;KIF7;AXIN1;RAC1;EML4;CALM3;GNG2;BBC3;SKP2;GNAI2;ZBTB16;GNG10;PIK3CB;PDGFA;NOTCH1;MAPK1;GSTO1;HSP90AB1;IL2RB;APPL1;VHL"
"Endocrine resistance",1.49546813781827,0.018247435221605,0.117115356967755,"Up",61,"FOS;MAPK9;CDK4;BAX;PIK3R3;MDM2;CARM1;E2F1;GRB2;BIK;RPS6KB1;AKT1;GNAS;NRAS;ADCY7;E2F3;MAPK3;MAP2K1;PIK3CB;NOTCH1;MAPK1;BCL2;ARAF;BRAF;PIK3R2;SP1;PRKACA;RPS6KB2;AKT2;KRAS;RB1;PIK3R1;SOS2;PIK3CD"
"Chagas disease",1.4852119663946,0.0188832487309645,0.119031907179115,"Up",67,"FOS;TGFB1;CALR;RELA;CD247;IFNGR2;MAPK9;TGFBR1;PIK3R3;CCL5;NFKB1;AKT1;GNAS;IKBKG;MYD88;MAPK3;CD3D;IL1B;GNAI2;PIK3CB;GNA15;MAPK1;TLR9"
"Salmonella infection",1.34631493382357,0.0196830898737311,0.121897030270651,"Up",194,"MYC;FOS;RELA;RALA;ACTB;ACTG1;TUBA1C;MAPK9;CASP1;MAP2K3;BAX;RIPK1;MYL12A;VPS18;HSP90B1;TNFSF10;ARPC2;NFKB1;AKT1;DYNLL2;ARF6;IKBKG;ACTR3C;ACTR3B;MYD88;CYFIP2;SNX18;RHOG;ACTR3;TUBA1B;KPNA1;CYTH1;GAPDH;MAPK3;KPNA4;SKP1;S100A10;FBXO22;RAB7A;ARPC5L;TXN2;MAP2K1;MAP3K7;ARL8A;KIF5B;DCTN5;IL1B;RAC1;TUBA4A;FLNA;PIK3CB;ARPC1A;TUBB4A;MAPK1;MYL12B;HSP90AB1;TLR9"
"C-type lectin receptor signaling pathway",1.47201716520461,0.0202147052866113,0.122489542590178,"Up",73,"MALT1;IRF1;RELA;NFATC3;MAPK9;CASP1;CALM1;PPP3R1;PIK3R3;NFKB2;MDM2;NFATC2;RELB;NFKB1;AKT1;IKBKG;PLK3;RRAS2;NRAS;MAPK3;BCL3;IL1B;CALM3;PIK3CB;MAPK1;ITPR3;PTPN11"
"Thyroid cancer",1.58703432174619,0.0204727564102564,0.122489542590178,"Up",29,"MYC;GADD45B;TPM3;BAX;DDB2;NCOA4;NRAS;MAPK3;MAP2K1"
"Proteasome",1.51586668427521,0.0218004513217279,0.126156710107704,"Up",44,"ADRM1;PSMB1;PSMC5;PSME2;POMP;PSMB9;PSMD8;PSMA7;PSMD11;PSME4;PSMD12;PSMC3;PSMB3;PSMB7;SEM1;PSMD2;PSMD7;PSMC4;PSMA4;PSMA8;PSMC1;PSMB2"
"Mitophagy",1.43218748568361,0.0217993643549833,0.126156710107704,"Up",89,"MTX1;RELA;TOMM40;MAPK9;OPTN;TFE3;TOMM70;MUL1;E2F1;AMFR;ATF4;BCL2L13;RRAS2;NRAS;BECN1;SMURF2;RAB7A;FUNDC1;CSNK2A2;UBA52;TOMM20;MFN2;UBC;MTX2;EIF2S1;CSNK2A1;RPS27A;CCZ1B;PGAM5;BNIP3;HUWE1"
"Glycolysis / Gluconeogenesis",1.54858395003812,0.02265151210892,0.128839463929284,"Up",35,"LDHA;PGAM1;ENO1;PKM;PGK1;HK1;ALDOA;PFKP;ALDH9A1;LDHB;GPI;GAPDH;PDHA1"
"Bladder cancer",1.5732029220375,0.0229940119760479,0.128839463929284,"Up",28,"MYC;CDK4;RPS6KA5;MDM2;E2F1;NRAS;E2F3;MAPK3;MAP2K1;MAPK1;ARAF;DAPK3;BRAF;KRAS;RB1;VEGFA"
"HIF-1 signaling pathway",1.44708940493427,0.0241892933966476,0.133419071390884,"Up",74,"LDHA;RELA;IFNGR2;STAT3;ENO1;PGK1;FLT1;HK1;PRKCA;ALDOA;TFRC;PIK3R3;PFKP;EIF4E2;NFKB1;RPS6KB1;AKT1;EGLN2;LDHB;GAPDH;PDHA1;MAPK3;MAP2K1;ELOC;RPS6"
"Hippo signaling pathway - multiple species",-1.61100490854858,0.0249325331292544,0.135402833763489,"Down",14,"RASSF6;LIMD1;FRMD6;CSNK1E;SAV1;PAK1;MOB1B"
"Pathogenic Escherichia coli infection",1.36344632252238,0.0281136019015614,0.150365173806836,"Up",128,"FOS;RELA;ACTB;MYO1F;TMBIM6;ACTG1;TUBA1C;MAPK9;PTPN6;ITGB1;CASP1;MYH10;BAX;RIPK1;NCL;TNFSF10;ARPC2;NFKB1;ARF6;IKBKG;ACTR3C;ACTR3B;MYD88;CYFIP2;ACTR3;TUBA1B;CYTH1;GAPDH;ROCK1;GNA13;MAPK3;ARPC5L;TMED10;MAP3K7"
"Kaposi sarcoma-associated herpesvirus infection",1.3423386869426,0.031251278275453,0.164652257182611,"Up",140,"MYC;FOS;RELA;STAT3;NFATC3;MAPK9;TRAF3;GNG4;CDK4;BID;CALM1;PPP3R1;BAX;PIK3R3;HLA-C;HLA-E;NFATC2;E2F1;GNB1;HLA-B;GNG5;NFKB1;AKT1;IKBKG;HLA-A;ZFP36;NRAS;E2F3;BECN1;MAPK3;MAP2K1;UBA52;RAC1;UBC;CALM3;GNG2;GNG10;PIK3CB;CLEC2B;MAPK1;ITPR3;IRF7"
"Carbon metabolism",1.40360890872461,0.0322423256759504,0.167375602406037,"Up",81,"PGAM1;FH;ENO1;GCSH;PKM;PGK1;PCCB;HK1;ALDOA;PFKP;TKTL1;DLST;ACAT2;MDH2;GOT2;GPI;ME2;PGD;GLUD1;PHGDH;GAPDH;PDHA1;PRPS1;OGDH;TPI1;SUCLG2"
"ATP-dependent chromatin remodeling",1.39025811007775,0.0330942288881643,0.169308156485826,"Up",85,"DPF3;CHRAC1;BPTF;ACTB;ACTG1;POLE3;MBD2;ACTR5;MRGBP;BAZ1A;HDAC2;SMARCC1;SMARCD3;BICRAL;ACTL6A;SMARCD2;BCL7B;MTA2;BAZ1B;HDAC1"
"Viral carcinogenesis",1.32669633022448,0.0355624591236102,0.179336401009063,"Up",142,"STAT5A;RANBP1;RELA;STAT3;PKM;YWHAB;TRAF3;CDK4;BAX;JAK3;PIK3R3;NFKB2;HLA-C;MDM2;DDX3X;YWHAZ;HLA-E;GTF2H3;RASA2;PXN;GRB2;REL;HLA-B;NFKB1;ATF4;HDAC2;IKBKG;CREB3L3;HLA-A;ACTN4;YWHAQ;NRAS;MAPK3;ATP6V0D1;HDAC1;HDAC3;HDAC9;RAC1;RBL1"
"Arginine biosynthesis",1.55636732570577,0.03941063727839,0.193186925985954,"Up",8,"ACY1;CAD;GOT2;GLUD1"
"Nucleotide metabolism",1.40924739412526,0.0410453808752026,0.193186925985954,"Up",59,"CTPS1;NME1;HPRT1;TYMS;AMPD2;NME2;NT5E;UPP1;DCTD;UCK2;HDDC2;DCTPP1;IMPDH1;ADSL;NT5C3A;DTYMK;ADK;DUT;CMPK2;AK6;GUK1;APRT;TK2;ASMTL;TK1"
"SNARE interactions in vesicular transport",-1.4875854986537,0.0409711684370258,0.193186925985954,"Down",29,"VAMP2;STX2;BET1;STX7;GOSR2;BNIP1;STX8;BET1L"
"Apoptosis",1.34217046770516,0.0402467925145052,0.193186925985954,"Up",111,"GADD45B;CTSW;FOS;CTSC;RELA;ACTB;ACTG1;TUBA1C;MAPK9;BID;BAX;RIPK1;PIK3R3;LMNB1;TNFSF10;NFKB1;HTRA2;ATF4;AKT1;IKBKG;TUBA1B;NRAS;MAPK3;MAP2K1;BBC3;TUBA4A;PIK3CB;DIABLO;MAPK1;ITPR3;EIF2S1;BCL2A1;CAPN2"
"Gap junction",1.45168498067688,0.0400176784925067,0.193186925985954,"Up",41,"TUBA1C;PRKCA;GRB2;GNAS;TUBA1B;NRAS;ADCY7;MAPK3;MAP2K1;GUCY1B1;GNAI2;MAP3K2;TUBA4A;PDGFA;TUBB4A;MAPK1;ITPR3;TUBB2A"
"Arginine and proline metabolism",1.49817173207003,0.0442604680783315,0.194355948957094,"Up",23,"ODC1;SRM;LAP3;SMS;ALDH18A1;ALDH9A1;GOT2"
"Renin-angiotensin system",1.54251020192106,0.0444647904143943,0.194355948957094,"Up",9,"CTSG;CTSA;PRCP;NLN"
"Mineral absorption",1.50121793172795,0.0425277268012447,0.194355948957094,"Up",24,"ATP1B3;ATP1A1;SLC31A1;SLC40A1;FTL;SLC39A4;ATP2B1"
"Influenza A",1.33308560053512,0.0424013778397441,0.194355948957094,"Up",114,"RELA;IFNGR2;ACTB;ACTG1;TRAF3;CDK4;BID;CASP1;PRKCA;NXT1;VDAC1;BAX;SLC25A5;PIK3R3;TNFSF10;CCL5;NFKB1;AKT1;DNAJB1;IKBKG;OAS3;MYD88;KPNA1;MAPK3;MAP2K1;SLC25A6;IL1B;SOCS3;PIK3CB;TRIM25;MAPK1;EIF2S1;IRF7;RAE1;MX1;STAT1;EIF2AK2;DNAJC3;PRSS3"
"Renal cell carcinoma",1.40999970290444,0.0429730056893839,0.194355948957094,"Up",57,"TGFB1;FH;RAPGEF1;TFE3;PIK3R3;RAP1A;GRB2;AKT1;EGLN2;NRAS;MAPK3;PRCC;RAP1B;MAP2K1;ETS1;ELOC;RAC1;PIK3CB;MAPK1;PTPN11;VHL;RBX1;PAK2;ARAF;CDC42;ELOB;BRAF;PIK3R2;AKT2;KRAS;VEGFA;PIK3R1;SOS2;PIK3CD"
"Melanoma",1.43489467866703,0.0445972574094181,0.194355948957094,"Up",42,"GADD45B;CDK4;BAX;PIK3R3;MDM2;E2F1;FGF9;AKT1;DDB2;NRAS;E2F3;MAPK3;MAP2K1;PIK3CB;PDGFA;MAPK1"
"Oxytocin signaling pathway",1.36722167775455,0.0461207421541959,0.198544170493063,"Up",75,"FOS;EEF2K;NFATC3;ACTB;ACTG1;PRKCA;PPP1CC;CALM1;PPP3R1;NFATC2;ELK1;CD38;GNAS;NRAS;ADCY7;ROCK1;CAMKK2;MAPK3;PRKAB1;MAP2K1;GUCY1B1;PRKAG2;CALM3;GNAI2;PPP1CB;MAPK1;ITPR3"
"Staphylococcus aureus infection",-1.52901069571242,0.0475179294042229,0.202094326261334,"Down",12,"HLA-DRB5;CFH;HLA-DMA;HLA-DRA;ITGAL"
"Central carbon metabolism in cancer",1.40626046096021,0.0489524576954069,0.20329667725269,"Up",48,"MYC;LDHA;SLC1A5;PGAM1;SCO2;PKM;HK1;PIK3R3;PFKP;AKT1;SIRT6;LDHB;NRAS;PDHA1;MAPK3;MAP2K1;SLC7A5;PIK3CB;MAPK1;TIGAR"
"Inflammatory bowel disease",1.44415208909228,0.0488185822987585,0.20329667725269,"Up",33,"TGFB1;IL4R;RELA;IFNGR2;GATA3;STAT3;MAF;IL4;IL21R"
"Glutathione metabolism",1.45394597775559,0.0499198717948718,0.204903659809183,"Up",29,"ODC1;SRM;LAP3;GPX7;GCLM;SMS;TXNDC12;GPX4;GGCT"
"Pancreatic secretion",1.42252743973985,0.0511655948553055,0.207602930849688,"Up",38,"ATP1B3;ATP1A1;SLC12A2;PRKCA;RAB27B;ATP2A2;RAP1A;CLCA1;ATP2B1;RAB8A;CD38;GNAS;ADCY7;RAB3D;RAP1B;RAC1"
"Ras signaling pathway",1.30090321468354,0.0537096972428203,0.208346407985885,"Up",120,"RELA;RALA;MAPK9;GNG4;RASGRP1;FLT1;PRKCA;CALM1;FLT3LG;PIK3R3;ELK1;RAP1A;RASA2;GRB2;GNB1;REL;FGF9;GNG5;NFKB1;AKT1;ARF6;IKBKG;RRAS2;NRAS;RASSF5;MAPK3;RAP1B;MAP2K1;ETS1;ETS2;RAC1;CALM3;GNG2;GNG10;PIK3CB;PDGFA;TIAM1;LAT;MAPK1;PTPN11;PLA2G12A"
"Tight junction",1.31469976141248,0.053248397239577,0.208346407985885,"Up",103,"ACTB;ACTG1;TUBA1C;MAPK9;NEDD4L;PCNA;CDK4;ITGB1;MYH10;MYL12A;RAP1A;ARPC2;PATJ;RAB8A;RAB8B;HSPA4;ACTR3C;ACTR3B;ACTN4;ACTR3;TUBA1B;MSN;ROCK1;DLG3;PRKAB1;ARPC5L;F11R;RAC1;PRKAG2;YBX3;TUBA4A;ARPC1A;TIAM1;PARD6B;MYL12B;EZR"
"Hematopoietic cell lineage",-1.39989421294793,0.0528762116637534,0.208346407985885,"Down",49,"CD24;CD4;TNF;DNTT;FLT3;HLA-DRB5;HLA-DMA;CSF1R;IL6R;HLA-DRA;IL11RA;CD2;IL7R;CD8A;MME;CD34;CR2;ITGA4;ITGA5;ITGA6"
"Yersinia infection",1.31115288647869,0.0526896664486593,0.208346407985885,"Up",112,"FOS;RELA;NFATC3;ACTB;LCP2;ACTG1;MAPK9;ITGB1;CASP1;MAP2K3;PIK3R3;NFATC2;PXN;ARPC2;NFKB1;AKT1;ARF6;IKBKG;ACTR3C;ACTR3B;MYD88;RHOG;ACTR3;ROCK1;MAPK3;ARPC5L;MAP2K1;MAP3K7;RPS6KA3;IL1B;RAC1"
"Oocyte meiosis",1.33093512592611,0.0549700939903161,0.210917860636757,"Up",84,"ANAPC13;YWHAB;PPP1CC;CALM1;FBXW11;PPP3R1;YWHAZ;CUL1;MAD2L2;CDC26;YWHAQ;ADCY7;SLK;ANAPC11;CPEB2;MAPK3;SKP1;MAP2K1;RPS6KA3;PPP2R5C;CALM3;PPP1CB;MAPK1;ITPR3;MAD2L1;RBX1;PPP3CC;FBXO5;PPP1CA;PTTG1;CDK2;CALM2;YWHAH;CDC27;PRKACA;PPP2R5A"
"Tyrosine metabolism",1.48915466326453,0.0622903689506469,0.230077163844261,"Up",8,"FAHD1;FAH;MIF;GOT2"
