"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes","Dataset"
"Tuberculosis",1.95849571551782,1.28001753244394e-07,3.81258599088818e-06,"Up",142,"Itgam;Atp6ap1;Irak2;Atp6v0a1;Ifngr2;H2-Oa;Tnf;Tlr9;Il10rb;H2-DMb2;Arhgef12;Mrc2;Il10ra;Bax;Ctss;Mapk13;Tlr1;Cebpb;Cd74;Il23a;Lsp1;Il1b;Ifngr1;Ctsd;Coro1a;Clec7a;Bcl10;Itgb2;H2-Eb1;Vdr;Src;C3;H2-Aa;Il6;Tlr2;Myd88;Plk3;Ppp3ca;Tradd;Irak4;H2-Ab1;Ciita;H2-DMb1;Calm1;Atp6v0d1;Atp6v0d2;Atp6v1h;Atp6v0b;Bcl2;Card9;Lamp1;Ksr1","bulk_STAT5B"
"Alzheimer disease",1.93359210446271,1.94876844375972e-07,4.87192110939931e-06,"Up",137,"Cacna1d;Ndufa1;Tnf;Ndufa13;Cox6a1;Cox7a2;Ndufa6;Cox8a;Atp2a3;Casp12;Il1b;Ndufa10;COX1;Cox6c;CYTB;Cox5a;Ndufb7;Cox4i1;Ndufv3;Nae1;Grin2d;Lpl;Ndufb11;Ppp3ca;Capn1;Ndufb9;Cox7b;Cox4i2;Psen2;Uqcrq;Cacna1s;Uqcrh;Ndufb3;Cox6b1;Ndufa8;Uqcr10;Calm1;Capn2;Bace2;Ndufa3;Ndufa5;Ndufb5;Cox7a2l;Ndufa2;App;Apoe;Fas;Cycs;Ndufs6;Ndufs2;Apbb1;Uqcrfs1;Cyc1;Ndufa7;Ndufb10;Ndufs3;Ppp3cc;Cdk5;Ndufs4;Casp8;Atf6;Ndufa11;Sdhb;Ndufb8;Mapk3;Uqcr11;Ndufa12;Cox5b;Ndufs7;Uqcrb;Ndufs5;Ndufv2;Bad;Calm2;Gnaq;Fadd;Ryr3","bulk_STAT5B"
"NF-kappa B signaling pathway",2.07198515430938,2.43506718733797e-07,5.61938581693378e-06,"Up",84,"Ltb;Lta;Traf1;Tnf;Zap70;Gadd45b;Il1r1;Lyn;Ly96;Relb;Bcl2a1b;Il1b;Tnfsf11;Csnk2b;Ikbkb;Nfkbia;Bcl10;Bcl2a1d;Tnfsf13b;Tnfrsf11a;Blnk;Prkcq;Myd88;Cd40;Tradd;Tnfsf14;Irak4;Plcg2;Traf5;Cxcl2;Card11;Birc3;Icam1;Bcl2l1;Vcam1;Traf2;Bcl2;Plau","bulk_STAT5B"
"Epstein-Barr virus infection",1.82893222116747,6.40854892833002e-07,1.37326048464215e-05,"Up",183,"Gadd45g;H2-Oa;Tnf;H2-Q10;H2-DMb2;Gadd45b;Bax;Cd19;H2-Q6;H2-K1;Mapk13;Lyn;Ccnd3;Relb;Psmc3;H2-M2;Ikbkb;Nfkbia;Gadd45a;H2-Eb1;Psmd8;Blnk;H2-Aa;Psmd13;Il6;Tlr2;Cxcl10;H2-M3;Myd88;Vim;Cd40;Tradd;Sem1;H2-Q7;Irak4;H2-Ab1;Ccnd1;Plcg2;H2-D1;Traf5;Tap1;Psmd4;Pdia3;H2-DMb1;Ikbke;Icam1;Map2k3;B2m;Oas1g;Traf2;Bcl2;H2-Q4;Bcl2l11;Tapbp;Psmd2;Oas3;Nfkb1;Fas;Cycs;Nfkbib;Ifnar2;Pik3cb;Ccnd2;Pik3r2;H2-T22;Cd44;H2-Q2;Runx3;H2-T23;Calr;Rbpj;Psmd6;Psmc2;Casp8;Psmc1;Psmc5;Tap2;Rela;Psmc6;Hdac1;Jak3","bulk_STAT5B"
"Apoptosis",1.91329982883187,7.80534910059122e-07,1.56106982011824e-05,"Up",127,"Actb;Gadd45g;Gzmb;Traf1;Tnf;Tuba8;Gadd45b;Bax;Ctss;Csf2rb2;Ptpn13;Tuba1a;Ctsz;Bcl2a1b;Casp12;Ctsd;Csf2rb;Ikbkb;Bbc3;Nfkbia;Gadd45a;Ctsh;Bcl2a1d;Fos;Tradd;Ctsf;Hras;Atf4;Capn1;Ddit3;Tuba1c;Birc3;Mcl1;Ctsk;Bcl2l1;Capn2;Traf2;Bcl2;Bcl2l11;Map2k2;Becn1;Prf1;Endog;Nfkb1;Map3k5;Fas;Cycs;Il3ra;Pik3cb;Ctsw;Cflar;Pik3r2;Lmna","bulk_STAT5B"
"IL-17 signaling pathway",2.05169608233521,1.3148742049736e-06,2.32036624407107e-05,"Up",68,"Tnf;Csf2;Il17f;Ccl17;Jund;Mapk13;Il17rc;Cebpb;Il1b;Ikbkb;Il4;Nfkbia;Il17re;Hsp90b1;Fos;Il6;Cxcl10;Tradd;Traf5;S100a9;Cxcl2;S100a8;Mmp9;Ikbke;Il5;Il13;Fosb;Traf2","bulk_STAT5B"
"Neuroactive ligand-receptor interaction",1.92059186151255,1.30755840888913e-06,2.32036624407107e-05,"Up",116,"P2rx7;Adora3;Grm6;P2rx4;Gpr83;Gria2;F2rl2;Gzma;F2r;Adm;Htr7;Hc;Tspo;Ednrb;Ltb4r1;Adrb1;Calca;Adra2c;Nmur1;P2rx5;C3;C3ar1;Grin2d;Cnr2;Cysltr1;Ptgir;Gnrh1;Ptger2;Mc1r;Ptafr;F2;Vipr2;P2ry1;Glp1r;C5ar1;Hrh1;Leprot;Nmb;Adora2b;Mgmt;Hrh4;Rln3;P2ry6;Gpr35;Chrna9;Lpar1;Ptger4;Gabre;Chrm3;Chrne;Fpr2;S1pr1;Lpar6;Gabbr2;Htr1b;Pard3;Thrb;Ptrh1;S1pr3","bulk_STAT5B"
"Fluid shear stress and atherosclerosis",1.90976547560063,1.74979238671766e-06,2.91632064452944e-05,"Up",118,"Actb;Sdc4;Cyba;Bmp4;Tnf;Hmox1;Bmpr1a;Ptk2;Kdr;Il1r1;Mapk13;Prkcz;Il1b;Ikbkb;Gstp2;Sdc2;Itgb3;Sumo1;Il1r2;Mgst2;Hsp90b1;Fos;Src;Sdc1;Txn2;Dusp1;Acvr2a;Prkaa1;Calm1;Mmp9;Icam1;Vcam1;Itgav;Bcl2;Sqstm1;Gsto2;Acvr1;Rac2;Itga2b;Nfkb1;Map3k5;Pik3cb;Pik3r2;Nox1","bulk_STAT5B"
"TNF signaling pathway",1.96558332014345,1.86909428336667e-06,2.95120150005264e-05,"Up",97,"Lta;Traf1;Tnf;Csf2;Bcl3;Creb3;Lif;Cx3cl1;Mapk13;Junb;Cebpb;Il1b;Ikbkb;Nfkbia;Mmp14;Fos;Creb5;Il18r1;Il6;Cxcl10;Tradd;Atf4;Jag1;Traf5;Cxcl2;Csf1;Mmp9;Birc3;Icam1;Map2k3;Vcam1;Traf2;Creb3l1;Nfkb1;Map3k5;Fas;Pik3cb;Cflar;Pik3r2;Map3k8","bulk_STAT5B"
"Complement and coagulation cascades",2.0924862287915,2.18221708288836e-06,3.27332562433253e-05,"Up",45,"Itgam;C7;Plaur;Pros1;Procr;F2rl2;F2r;Hc;Vwf;Clu;C1qa;Itgb2;C1qc;C3;C3ar1;Cd55;Zp3r;F2;C5ar1;F5;Plau;C2","bulk_STAT5B"
