"pathway_id","pathway_name","patient_pair","diagnosis_score","relapse_score","paired_delta","leading_edge_genes_n","GSEA_NES","GSEA_nominal_P","GSEA_global_FDR","relapse_higher"
"hsa03050","Proteasome","P1",6.79353548961205,6.92706792830687,0.133532438694821,27,1.88948402848658,0.000333161389806044,0.00586364046058638,TRUE
"hsa03050","Proteasome","P2",6.2576087319753,6.97107179183104,0.713463059855735,27,1.88948402848658,0.000333161389806044,0.00586364046058638,TRUE
"hsa03050","Proteasome","P3",6.30459144064662,6.88307625114854,0.578484810501916,27,1.88948402848658,0.000333161389806044,0.00586364046058638,TRUE
"hsa04137","Mitophagy - animal","P1",6.24646327784876,6.94404829113097,0.697585013282207,40,1.68690391594021,0.00151046630881576,0.0151909754486614,TRUE
"hsa04137","Mitophagy - animal","P2",5.92736302596444,6.12457316890101,0.197210142936576,40,1.68690391594021,0.00151046630881576,0.0151909754486614,TRUE
"hsa04137","Mitophagy - animal","P3",5.5651354722052,6.19378345549218,0.628647983286979,40,1.68690391594021,0.00151046630881576,0.0151909754486614,TRUE
