"cnv_high_percent","total_cells","minimum_cells_per_sample","maximum_cells_per_sample","Mitophagy_NES","Proteasome_NES","Mitophagy_nominal_P","Proteasome_nominal_P","Mitophagy_global_KEGG_FDR","Proteasome_global_KEGG_FDR","pooled_nonT_reference_q95","candidate_cells_above_reference_q95_percent"
10,1286,72,300,1.60438823616457,1.90833728915691,0.0054878221843493,0.000352644556542866,0.0540942472457288,0.0067590206670716,0.026945532400026,15.4193950732772
15,1926,107,449,1.68690391594021,1.88948402848658,0.00151046630881576,0.000333161389806044,0.0151909754486614,0.00586364046058638,0.026945532400026,15.4193950732772
20,2568,143,599,1.49856142598824,1.74666032616933,0.0112435649352443,0.00235725026366195,0.059965679654636,0.0251440028123941,0.026945532400026,15.4193950732772
25,3210,179,748,1.47519421379183,1.59999820056051,0.0174217403312061,0.0135421681140997,0.0811486325953547,0.0675201058083279,0.026945532400026,15.4193950732772
30,3851,214,898,1.41618016976794,1.78881933739795,0.0246366677495281,0.00164014800991073,0.108660113483958,0.0181953919849472,0.026945532400026,15.4193950732772
40,5133,285,1197,1.50052802953369,1.83768774648763,0.0145484041695391,0.000594812108610913,0.0833013464546192,0.00754136780560264,0.026945532400026,15.4193950732772
50,6417,357,1496,1.42199126036488,1.75477274645735,0.0299719077667051,0.0023377042415752,0.172580178592157,0.0309096449719387,0.026945532400026,15.4193950732772
