"analysis_population","compartment","gene_set_source","gene_set_id","pathway_name","pathway","linked_genes_n","linked_genes","ranked_genes_n","gene_set_size_total","tested","untested_reason","pval","padj","log2err","ES","NES","size","leadingEdge","direction"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","custom_mito","mitochondrial_oxphos_core","mitochondrial_oxphos_core","mitochondrial_oxphos_core",67,"MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CYB;MT-CO1;MT-CO2;MT-CO3;MT-ATP6;MT-ATP8;NDUFA1;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFA10;NDUFB1;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFB10;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;UQCRC1;UQCRC2;UQCRB;UQCRQ;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A2;COX7B;COX7C;COX8A;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;SDHA;SDHB;SDHC;SDHD",67,67,TRUE,NA,6.07528468942778e-07,3.64517081365667e-06,0.659444398037935,0.556234918776647,2.19830422457205,67,"COX5A;ATP5F1B;MT-ND5;NDUFA6;NDUFA9;NDUFA4;COX6A1;COX8A;COX6C;MT-CYB;COX4I1;MT-ND4L;MT-ND2;MT-ATP8;MT-ND1;ATP5MC1;NDUFB7;MT-ATP6;NDUFB6;ATP5F1C;NDUFB9;MT-ND6;ATP5MC3;MT-CO2;ATP5F1A;NDUFS3;MT-ND4;COX7B;MT-CO3;SDHB;ATP5F1E;NDUFB2;NDUFS8;MT-ND3;NDUFA8;NDUFA1;MT-CO1;COX7A2","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","custom_mito","mitochondrial_stress_dynamics","mitochondrial_stress_dynamics","mitochondrial_stress_dynamics",27,"MFN1;MFN2;OPA1;DNM1L;FIS1;MFF;MIEF1;MIEF2;PINK1;PRKN;HSPA9;LONP1;CLPP;AFG3L2;SPG7;ATF4;ATF5;DDIT3;HSPD1;HSPE1;HSPA60;SOD1;SOD2;GPX1;GPX4;PRDX3;TXN2",24,24,TRUE,NA,0.0111366855211836,0.0334100565635507,0.380730400722792,0.529559479002785,1.69922365774783,24,"HSPE1;ATF5;HSPD1;SOD2;GPX4;AFG3L2;ATF4;HSPA9;TXN2;MFN2","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","custom_mito","mitophagy_core","mitophagy_core","mitophagy_core",32,"PINK1;PRKN;PARK7;BNIP3;BNIP3L;FUNDC1;BCL2L13;SQSTM1;OPTN;CALCOCO2;TBK1;MFN1;MFN2;VDAC1;TOMM20;TOMM22;TOMM40;MAP1LC3A;MAP1LC3B;GABARAP;GABARAPL1;GABARAPL2;ATG5;ATG7;ATG12;ATG13;ATG14;ULK1;ULK2;BECN1;WIPI1;WIPI2",29,29,TRUE,NA,0.136094674556213,0.208823529411765,0.16823816568964,0.387425412856289,1.2781796883653,29,"TOMM40;OPTN;VDAC1;TOMM22;BCL2L13;BECN1;PARK7;FUNDC1;TOMM20;MFN2;ATG12;BNIP3;ULK2","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","custom_mito","proteasome_core","proteasome_core","proteasome_core",41,"PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMB10;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD2;PSMD3;PSMD4;PSMD5;PSMD6;PSMD7;PSMD8;PSMD9;PSMD10;PSMD11;PSMD12;PSMD13;PSMD14;PSME1;PSME2;PSME3;PSME4",41,41,TRUE,NA,0.13921568627451,0.208823529411765,0.165656695205483,0.353226152344292,1.26587799107735,41,"PSMB1;PSMC5;PSME2;PSMB9;PSMD8;PSMA7;PSMD11;PSME4;PSMD12;PSMC3;PSMB3;PSMB7;PSMD2;PSMD7;PSMC4;PSMA4;PSMC1;PSMB2;PSME3;PSMD10;PSMB5;PSMB10;PSME1;PSMD1","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","custom_mito","mitochondrial_translation","mitochondrial_translation","mitochondrial_translation",82,"TUFM;TSFM;GFM1;GFM2;MTIF2;MTIF3;MTERF1;MRPL1;MRPL2;MRPL3;MRPL4;MRPL9;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL18;MRPL19;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL30;MRPL32;MRPL33;MRPL34;MRPL35;MRPL36;MRPL37;MRPL38;MRPL39;MRPL40;MRPL41;MRPL42;MRPL43;MRPL44;MRPL45;MRPL46;MRPL47;MRPL48;MRPL49;MRPL50;MRPL51;MRPL52;MRPL53;MRPL54;MRPL55;MRPS2;MRPS5;MRPS6;MRPS7;MRPS9;MRPS10;MRPS11;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18A;MRPS18B;MRPS18C;MRPS21;MRPS22;MRPS23;MRPS24;MRPS25;MRPS26;MRPS27;MRPS28;MRPS30;MRPS31;MRPS33;MRPS34;MRPS35;MRPS36",82,82,TRUE,NA,0.207100591715976,0.248520710059172,0.133554954557592,0.285334171395388,1.16440676767933,82,"MRPL15;MRPS2;MRPS18A;MRPL37;MRPS7;MRPS6;MRPL1;MRPL33;MRPL36;MRPL24;MRPL20;MRPL54;MRPL27;MRPL11;MRPL47;MRPL3;MRPL49;MRPL14;MRPS30;MRPS36;MRPL51;MRPS23;MRPS35;MRPL21","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","custom_mito","autophagy_core","autophagy_core","autophagy_core",26,"ULK1;ULK2;ATG13;RB1CC1;BECN1;PIK3C3;PIK3R4;ATG14;WIPI1;WIPI2;ATG2A;ATG2B;ATG5;ATG7;ATG10;ATG12;ATG16L1;MAP1LC3A;MAP1LC3B;GABARAP;GABARAPL1;GABARAPL2;SQSTM1;NBR1;OPTN;CALCOCO2",24,24,TRUE,NA,0.390495867768595,0.390495867768595,0.0946646223153342,-0.321714136433085,-1.03686114999918,24,"PIK3C3;GABARAP;GABARAPL1;ATG10;PIK3R4;ATG5;ATG14;ATG2B","relapse_down"
