"pathway_name","pathway_NES","pathway_FDR","gene","logFC","logCPM","F","PValue","FDR","rank_stat","gene_FDR_significant","gene_nominal_P_0.05"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"MTX1",0.833765767233367,5.13498842724375,5.20909357434004,0.0547034103229935,0.999578157159551,2.28234387731999,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"RELA",0.864033811848241,6.11967381814791,5.05341121365217,0.057588485885473,0.999578157159551,2.24797936237239,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"TOMM40",0.743846004614879,5.90249173845359,4.50154531234601,0.069662520996035,0.999578157159551,2.12168454590828,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"MAPK9",0.76782740184455,4.54885937619682,2.95221372832109,0.127467220729729,0.999578157159551,1.71820072410679,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"OPTN",0.667432422556719,6.32603772854211,2.42971402187772,0.160976056717598,0.999578157159551,1.55875399658757,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"TFE3",0.806778671023731,4.95018057683843,2.34452587122669,0.167575822918768,0.999578157159551,1.53118446675333,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"TOMM70",0.483212898045447,5.42483547016992,1.80541370379046,0.219053602547365,0.999578157159551,1.34365684004156,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"MUL1",0.802358407464511,4.5043790845421,1.62901858497207,0.24071568224107,0.999578157159551,1.27633012382067,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"E2F1",0.996487790623974,3.89259726426924,1.61021172716232,0.243244703082112,0.999578157159551,1.26894118349209,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"AMFR",0.633840747585223,5.57608671537518,1.49771472967391,0.258791516699538,0.999578157159551,1.22381155807335,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"ATF4",0.426973944200007,7.52346600170274,1.4247992120272,0.269696169085494,0.999578157159551,1.19364953484145,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"BCL2L13",0.440074968606161,5.03949392899397,1.09748692859097,0.32803793535929,0.999578157159551,1.04761010332612,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"RRAS2",0.371443807757751,6.22175660957537,1.01227430105787,0.346314022408672,0.999578157159551,1.00611843291825,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"NRAS",0.509245006084397,5.77739990824866,0.999222891589289,0.349253090716552,0.999578157159551,0.999611370278114,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"BECN1",0.339392436196181,5.50640315627683,0.882280665346961,0.377405640877873,0.999578157159551,0.939297964091779,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"SMURF2",0.506039532711952,5.73891728954453,0.834516837190998,0.38994135353401,0.999578157159551,0.913518930942867,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"RAB7A",0.288335252443197,7.00849560389978,0.801506977008921,0.398998557716573,0.999578157159551,0.895269220407426,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"FUNDC1",0.353250384135082,4.41439706577346,0.730450795268947,0.419738587585255,0.999578157159551,0.854664141794276,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"CSNK2A2",0.307463793038798,6.04219081592253,0.716190032812673,0.424079073777955,0.999578157159551,0.846280114863083,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"UBA52",0.326954282183154,10.1721807549662,0.71188796465617,0.425409696062963,0.999578157159551,0.843734534469326,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"TOMM20",0.33205747034,7.74840632627954,0.67554216758859,0.436960070699935,0.999578157159551,0.821913722715827,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"MFN2",0.384621539396419,3.67618116676814,0.671123087988857,0.438471290436435,0.999578157159551,0.819221025114015,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"UBC",0.340544786164034,10.835809064682,0.646589679311859,0.446546146527172,0.999578157159551,0.804108002268264,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"MTX2",0.375692904023366,4.28134962510238,0.508413852869485,0.497852087247404,0.999578157159551,0.713031452931416,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"EIF2S1",0.269140174256933,5.11561842862825,0.493588949177116,0.503969644044863,0.999578157159551,0.7025588581586,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"CSNK2A1",0.264852772851264,5.65300573469476,0.486851093659479,0.506795353109514,0.999578157159551,0.6977471559666,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"RPS27A",0.295653988203572,11.812237250874,0.442778562274468,0.526098221377369,0.999578157159551,0.665416082067805,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"CCZ1B",0.506910442940451,3.13339676236797,0.440473175845705,0.527218043585887,0.999578157159551,0.663681531945635,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"PGAM5",0.28732191411709,3.95844585342711,0.385291222623297,0.553572284350816,0.999578157159551,0.620718311815672,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"BNIP3",0.326325910081928,4.03791405188295,0.384014178577558,0.55263660817919,0.999578157159551,0.619688775578159,FALSE,FALSE
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"HUWE1",0.212043313843358,6.36068776455478,0.378868821381182,0.556773386182015,0.999578157159551,0.61552320945776,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"ADRM1",0.675946473621344,6.5898648067786,3.46587775558578,0.102923273666661,0.999578157159551,1.86168680383833,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMB1",0.469621701177975,7.65868710459204,2.17128272979364,0.182078418724305,0.999578157159551,1.47352730880484,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMC5",0.460831138454068,6.87795164446023,1.67227287411226,0.235096973837679,0.999578157159551,1.29316390071493,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSME2",0.419813107298533,7.51095894310134,1.39017308241213,0.275113544966693,0.999578157159551,1.17905601326321,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"POMP",0.508297494570785,7.52290413084326,1.3718986615083,0.278035165198524,0.999578157159551,1.17128077825443,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMB9",0.580525705270206,6.64741244253856,1.35618217309718,0.280604969363947,0.999578157159551,1.16455234880068,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMD8",0.35920431642923,7.18347846010204,1.19382114187965,0.309057192285895,0.999578157159551,1.09262122525587,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMA7",0.333616149889785,8.16212712227933,1.05400093497136,0.337167332792203,0.999578157159551,1.02664547676954,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMD11",0.33675464232035,6.00040421520069,0.829711545094282,0.39123877172014,0.999578157159551,0.910885033961082,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSME4",0.379674303125955,5.83552938985875,0.772594609027053,0.407221925913779,0.999578157159551,0.878973611109602,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMD12",0.43310963401647,5.80765586073947,0.74265098697315,0.416030637354362,0.999578157159551,0.861772004055104,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMC3",0.337528487959689,6.42305806873854,0.694230780038184,0.430957290657885,0.999578157159551,0.833205124827124,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMB3",0.275572512898443,7.36453912619359,0.690216285014482,0.432234420985406,0.999578157159551,0.830792564371205,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMB7",0.263581635254526,6.81245122034781,0.669337405686452,0.438985414516436,0.999578157159551,0.818130433174596,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"SEM1",0.251086836826122,7.19948653967914,0.492355303779424,0.504474020084712,0.999578157159551,0.701680343019116,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMD2",0.227668953903478,6.52786245242399,0.470107668603991,0.51396665935564,0.999578157159551,0.685643980943456,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMD7",0.284192117933245,7.20056982520838,0.453268201343925,0.521377572307217,0.999578157159551,0.673251959777263,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMC4",0.212619626931123,6.00681772261495,0.381302395767576,0.555540952512591,0.999578157159551,0.617496879156143,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMA4",0.190109809458664,6.97279794322996,0.318362991365554,0.589381760998862,0.999578157159551,0.564236644826932,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMA8",0.543567633588218,2.28344217967669,0.231328058435323,0.644718183229185,0.999578157159551,0.480965755990302,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMC1",0.165081773574631,6.11998024191199,0.222781687243307,0.650615460690796,0.999578157159551,0.471997550039517,FALSE,FALSE
"Proteasome",1.52779981316517,0.108814105599378,"PSMB2",0.169505884083006,6.78362652647109,0.219201828014085,0.653210365867732,0.999578157159551,0.468189948647005,FALSE,FALSE
