"pathway","gene","shared_with_bulk_same_pathway","in_sc_mitophagy_leading_edge","in_sc_proteasome_leading_edge","in_curated_STAT5_target_sets","logFC","PValue","FDR","rank_stat"
"DNA replication","MCM4",TRUE,FALSE,FALSE,FALSE,1.45540849368697,0.0180604642251665,0.999578157159551,3.02950633592669
"DNA replication","FEN1",FALSE,FALSE,FALSE,FALSE,1.0385783882591,0.0666079914947589,0.999578157159551,2.15221260434265
"DNA replication","PCNA",TRUE,FALSE,FALSE,FALSE,0.754617148071132,0.146828635938706,0.999578157159551,1.62179377926697
"DNA replication","POLE3",FALSE,FALSE,FALSE,FALSE,0.61613018518238,0.161841918575401,0.999578157159551,1.55503650110113
"DNA replication","MCM6",TRUE,FALSE,FALSE,FALSE,0.567821962565289,0.177883629155542,0.999578157159551,1.48976621306919
"DNA replication","POLD3",FALSE,FALSE,FALSE,FALSE,0.786679878188846,0.17963663636723,0.999578157159551,1.48299166508486
"DNA replication","RFC2",FALSE,FALSE,FALSE,FALSE,0.541426853628054,0.194536536350495,0.999578157159551,1.42747196252087
"DNA replication","RFC3",FALSE,FALSE,FALSE,FALSE,0.652788671797806,0.287416590834212,0.999578157159551,1.1464541740139
"DNA replication","RFC5",TRUE,FALSE,FALSE,FALSE,0.646391789055527,0.287757138503156,0.999578157159551,1.14608188800882
"DNA replication","RFC4",TRUE,FALSE,FALSE,FALSE,0.595697713283926,0.28890272112342,0.999578157159551,1.14310688304294
"DNA replication","MCM2",TRUE,FALSE,FALSE,FALSE,0.585443334084523,0.403564885771538,0.999578157159551,0.886255554289974
"DNA replication","POLA1",TRUE,FALSE,FALSE,FALSE,0.444643529417429,0.410809530002378,0.999578157159551,0.872005908811711
"DNA replication","RPA2",FALSE,FALSE,FALSE,FALSE,0.385372131404523,0.422482400074462,0.999578157159551,0.849433982677931
"DNA replication","DNA2",FALSE,FALSE,FALSE,FALSE,0.742149612540184,0.439095249577306,0.999578157159551,0.813933565951861
"DNA replication","SSBP1",FALSE,FALSE,FALSE,FALSE,0.250958458863771,0.465568234930849,0.999578157159551,0.769541286103984
"DNA replication","POLA2",TRUE,FALSE,FALSE,FALSE,0.71358739995946,0.479884053021264,0.999578157159551,0.742685130034509
"DNA replication","POLE",TRUE,FALSE,FALSE,FALSE,0.39717821937786,0.490291950615736,0.999578157159551,0.725999911919188
"Ribosome","MRPL15",TRUE,FALSE,FALSE,FALSE,0.819361896813739,0.0619971715518152,0.999578157159551,2.19920131130237
"Ribosome","MRPS2",FALSE,FALSE,FALSE,FALSE,0.843317986400344,0.0682442398028863,0.999578157159551,2.135512882452
"Ribosome","RPL39L",FALSE,FALSE,FALSE,FALSE,1.19989250691142,0.0846663820995955,0.999578157159551,1.94554480109728
"Ribosome","MRPS18A",TRUE,FALSE,FALSE,FALSE,0.847312259670548,0.101660520237752,0.999578157159551,1.87027037158758
"Ribosome","MRPL37",FALSE,FALSE,FALSE,FALSE,0.589266966438116,0.136532786665908,0.999578157159551,1.67138542585867
"Ribosome","MRPS7",FALSE,FALSE,FALSE,FALSE,0.585854944403085,0.186704804253635,0.999578157159551,1.45607457420173
"Ribosome","MRPS6",TRUE,FALSE,FALSE,FALSE,0.590615381841031,0.213108265589431,0.999578157159551,1.36315337852306
"Ribosome","MRPL1",FALSE,FALSE,FALSE,FALSE,0.568430221428715,0.221933429570042,0.999578157159551,1.3345919358266
"Ribosome","RPL26L1",FALSE,FALSE,FALSE,FALSE,0.485666646536123,0.232392420311547,0.999578157159551,1.30158291060303
"Ribosome","MRPL33",TRUE,FALSE,FALSE,FALSE,0.428107234775421,0.25150116488578,0.999578157159551,1.24454771654018
"Ribosome","MRPL36",FALSE,FALSE,FALSE,FALSE,0.489300399546411,0.278220138152714,0.999578157159551,1.17085991771846
"Ribosome","AURKAIP1",FALSE,FALSE,FALSE,FALSE,0.376587670841245,0.290084719438382,0.999578157159551,1.13991731652756
"Ribosome","RPL30",TRUE,FALSE,FALSE,FALSE,0.569462550128333,0.30989990826534,0.999578157159551,1.09057350792756
"Ribosome","MRPL24",TRUE,FALSE,FALSE,FALSE,0.457384005997728,0.323047996785114,0.999578157159551,1.05935115668264
"Ribosome","RPS16",FALSE,FALSE,FALSE,FALSE,0.422240869746737,0.336663782064337,0.999578157159551,1.02778819851109
"Ribosome","RPL8",TRUE,FALSE,FALSE,FALSE,0.397201044943492,0.351871610504088,0.999578157159551,0.993838110178528
"Ribosome","RPLP1",TRUE,FALSE,FALSE,FALSE,0.463030419593239,0.35917774100864,0.999578157159551,0.977928754526127
"Ribosome","RPL23A",FALSE,FALSE,FALSE,FALSE,0.384249804270238,0.377323334521527,0.999578157159551,0.939454013295815
"Ribosome","MRPL20",TRUE,FALSE,FALSE,FALSE,0.332350638288186,0.395191225580438,0.999578157159551,0.902902953952642
"Ribosome","MRPL54",FALSE,FALSE,FALSE,FALSE,0.400620317861558,0.39898570441843,0.999578157159551,0.89529446090741
"Ribosome","MRPL27",TRUE,FALSE,FALSE,FALSE,0.340658383202444,0.410199171976351,0.999578157159551,0.873159456302374
"Ribosome","RPS6",FALSE,FALSE,FALSE,FALSE,0.371413912507726,0.418089336409463,0.999578157159551,0.857782200929824
"Ribosome","RPLP2",TRUE,FALSE,FALSE,FALSE,0.327061485745591,0.423574654392273,0.999578157159551,0.84723969740723
"Ribosome","UBA52",FALSE,TRUE,FALSE,FALSE,0.326954282183154,0.425409696062963,0.999578157159551,0.843734534469326
"Ribosome","MRPL11",FALSE,FALSE,FALSE,FALSE,0.365416201979413,0.43085098880048,0.999578157159551,0.833407941623723
"Ribosome","RPS13",FALSE,FALSE,FALSE,FALSE,0.36263210145081,0.462589352905318,0.999578157159551,0.774889434946591
"Ribosome","MRPL47",FALSE,FALSE,FALSE,FALSE,0.361034683962389,0.465277206467724,0.999578157159551,0.770066416843171
"Ribosome","MRPL58",FALSE,FALSE,FALSE,FALSE,0.325994799531082,0.466860813245183,0.999578157159551,0.767269935617136
"Ribosome","RPL4",TRUE,FALSE,FALSE,FALSE,0.326311859470221,0.469896901693884,0.999578157159551,0.761808790235127
"Ribosome","RPL7",TRUE,FALSE,FALSE,FALSE,0.33676875147235,0.477167380966722,0.999578157159551,0.748929296303564
"Ribosome","RPS7",TRUE,FALSE,FALSE,FALSE,0.320017985323501,0.478217468527926,0.999578157159551,0.747079922953262
"Ribosome","MRPL3",FALSE,FALSE,FALSE,FALSE,0.258440015705257,0.484936777307308,0.999578157159551,0.735315745945181
"Ribosome","MRPL49",FALSE,FALSE,FALSE,FALSE,0.30354190499616,0.487851707531231,0.999578157159551,0.730305505948201
"Ribosome","RPL21",FALSE,FALSE,FALSE,FALSE,0.32142145535383,0.491026582434566,0.999578157159551,0.724733876060917
"Ribosome","RPS17",FALSE,FALSE,FALSE,FALSE,0.280662353691368,0.494459119025775,0.999578157159551,0.718810716415315
"Ribosome","RPL37",TRUE,FALSE,FALSE,FALSE,0.308523007470271,0.496926526264098,0.999578157159551,0.714569444298683
"Ribosome","MRPL14",TRUE,FALSE,FALSE,FALSE,0.385258444707689,0.497108297296166,0.999578157159551,0.714262977724285
"Ribosome","MRPS30",FALSE,FALSE,FALSE,FALSE,0.28304073422377,0.498804013982452,0.999578157159551,0.711355469958966
"Ribosome","RPL18A",TRUE,FALSE,FALSE,FALSE,0.31599523834838,0.503321662985356,0.999578157159551,0.703639719805054
