"pathway","original_sc","original_bulk","in_sc_FDR_lt_0.10","in_bulk_FDR_lt_0.10","sc_NES","sc_FDR","sc_direction","bulk_NES","bulk_FDR","bulk_direction","same_direction","shared_direction"
"Leukocyte transendothelial migration",NA,"Leukocyte transendothelial migration",FALSE,TRUE,NA,NA,NA,1.65803086744382,0.00722586280816298,"up",FALSE,NA
"Longevity regulating pathway",NA,"Longevity regulating pathway",FALSE,TRUE,NA,NA,NA,1.37109065132765,0.0933683807020426,"up",FALSE,NA
"Lysine degradation",NA,"Lysine degradation",FALSE,TRUE,NA,NA,NA,-2.08217472600965,0.00255002295020655,"down",FALSE,NA
"Lysosome",NA,"Lysosome",FALSE,TRUE,NA,NA,NA,1.86275487157943,0.000879507475813544,"up",FALSE,NA
"MAPK signaling pathway",NA,"MAPK signaling pathway",FALSE,TRUE,NA,NA,NA,1.45433168070481,0.0125931367404764,"up",FALSE,NA
"Measles",NA,"Measles",FALSE,TRUE,NA,NA,NA,1.38826738940696,0.065545420291492,"up",FALSE,NA
"Mismatch repair",NA,"Mismatch repair",FALSE,TRUE,NA,NA,NA,-1.68832830372226,0.0345766896103864,"down",FALSE,NA
"Morphine addiction",NA,"Morphine addiction",FALSE,TRUE,NA,NA,NA,1.57155150525838,0.034189962250052,"up",FALSE,NA
"NF-kappa B signaling pathway",NA,"NF-kappa B signaling pathway",FALSE,TRUE,NA,NA,NA,2.06700533307521,0.000879507475813544,"up",FALSE,NA
"NOD-like receptor signaling pathway",NA,"NOD-like receptor signaling pathway",FALSE,TRUE,NA,NA,NA,1.82620278480387,0.000879507475813544,"up",FALSE,NA
"Necroptosis",NA,"Necroptosis",FALSE,TRUE,NA,NA,NA,1.66083170597308,0.00281609756463883,"up",FALSE,NA
"Neuroactive ligand-receptor interaction",NA,"Neuroactive ligand-receptor interaction",FALSE,TRUE,NA,NA,NA,1.91768322956637,0.000879507475813544,"up",FALSE,NA
"Non-alcoholic fatty liver disease","Non-alcoholic fatty liver disease",NA,TRUE,FALSE,1.45028202057212,0.0857853294302532,"up",NA,NA,NA,FALSE,NA
"Non-alcoholic fatty liver disease (NAFLD)",NA,"Non-alcoholic fatty liver disease (NAFLD)",FALSE,TRUE,NA,NA,NA,2.1245939954041,0.000879507475813544,"up",FALSE,NA
"Non-small cell lung cancer","Non-small cell lung cancer",NA,TRUE,FALSE,1.61906282589241,0.0606590453539384,"up",NA,NA,NA,FALSE,NA
"One carbon pool by folate",NA,"One carbon pool by folate",FALSE,TRUE,NA,NA,NA,-1.73905122142827,0.0348892032060349,"down",FALSE,NA
"Other glycan degradation",NA,"Other glycan degradation",FALSE,TRUE,NA,NA,NA,1.64473289818621,0.0382878737601782,"up",FALSE,NA
"Oxytocin signaling pathway",NA,"Oxytocin signaling pathway",FALSE,TRUE,NA,NA,NA,1.35938210832144,0.0908579033579034,"up",FALSE,NA
"PD-L1 expression and PD-1 checkpoint pathway in cancer","PD-L1 expression and PD-1 checkpoint pathway in cancer",NA,TRUE,FALSE,1.76438629713811,0.00895915987839187,"up",NA,NA,NA,FALSE,NA
"PI3K-Akt signaling pathway",NA,"PI3K-Akt signaling pathway",FALSE,TRUE,NA,NA,NA,1.63841708539494,0.000879507475813544,"up",FALSE,NA
"Pancreatic cancer","Pancreatic cancer",NA,TRUE,FALSE,1.77040342171551,0.020131923953669,"up",NA,NA,NA,FALSE,NA
"Parathyroid hormone synthesis, secretion and action",NA,"Parathyroid hormone synthesis, secretion and action",FALSE,TRUE,NA,NA,NA,1.4141920450528,0.0734017672242968,"up",FALSE,NA
"Pathways of neurodegeneration - multiple diseases","Pathways of neurodegeneration - multiple diseases",NA,TRUE,FALSE,1.48731087333668,0.00895915987839187,"up",NA,NA,NA,FALSE,NA
"Pertussis",NA,"Pertussis",FALSE,TRUE,NA,NA,NA,1.75919474464506,0.00296169053295621,"up",FALSE,NA
"Phagosome",NA,"Phagosome",FALSE,TRUE,NA,NA,NA,2.22213840784957,0.000879507475813544,"up",FALSE,NA
"Platelet activation",NA,"Platelet activation",FALSE,TRUE,NA,NA,NA,1.65910547072116,0.00281609756463883,"up",FALSE,NA
"Primary immunodeficiency",NA,"Primary immunodeficiency",FALSE,TRUE,NA,NA,NA,1.65299337466056,0.0229134842383002,"up",FALSE,NA
"Prion disease","Prion disease",NA,TRUE,FALSE,1.7141262132309,0.00202117562892473,"up",NA,NA,NA,FALSE,NA
"Prion diseases",NA,"Prion diseases",FALSE,TRUE,NA,NA,NA,1.85507323413829,0.00426003237624606,"up",FALSE,NA
"Proteasome",NA,"Proteasome",FALSE,TRUE,NA,NA,NA,1.88524157497978,0.00143773872453405,"up",FALSE,NA
"Protein export",NA,"Protein export",FALSE,TRUE,NA,NA,NA,1.54791701543904,0.0632772761566356,"up",FALSE,NA
"Protein processing in endoplasmic reticulum",NA,"Protein processing in endoplasmic reticulum",FALSE,TRUE,NA,NA,NA,1.67894990247498,0.00178369700933468,"up",FALSE,NA
"Regulation of actin cytoskeleton",NA,"Regulation of actin cytoskeleton",FALSE,TRUE,NA,NA,NA,1.36832198459833,0.0523038179508071,"up",FALSE,NA
"Rheumatoid arthritis",NA,"Rheumatoid arthritis",FALSE,TRUE,NA,NA,NA,2.16140976602276,0.000879507475813544,"up",FALSE,NA
"Ribosome biogenesis in eukaryotes","Ribosome biogenesis in eukaryotes",NA,TRUE,FALSE,2.00495379721182,0.00168353396409522,"up",NA,NA,NA,FALSE,NA
"Salmonella infection",NA,"Salmonella infection",FALSE,TRUE,NA,NA,NA,1.96107534534613,0.000879507475813544,"up",FALSE,NA
"Serotonergic synapse",NA,"Serotonergic synapse",FALSE,TRUE,NA,NA,NA,1.53485783739533,0.0377607854243368,"up",FALSE,NA
"Shigellosis","Shigellosis",NA,TRUE,FALSE,1.42160528056909,0.089189337326803,"up",NA,NA,NA,FALSE,NA
"Small cell lung cancer",NA,"Small cell lung cancer",FALSE,TRUE,NA,NA,NA,1.7934127281468,0.000879507475813544,"up",FALSE,NA
"Sphingolipid metabolism",NA,"Sphingolipid metabolism",FALSE,TRUE,NA,NA,NA,1.4715963608698,0.0891924467657694,"up",FALSE,NA
"Sphingolipid signaling pathway",NA,"Sphingolipid signaling pathway",FALSE,TRUE,NA,NA,NA,1.59182556291516,0.00665981656962363,"up",FALSE,NA
"Spliceosome","Spliceosome",NA,TRUE,FALSE,1.59273122926837,0.0174554565579204,"up",NA,NA,NA,FALSE,NA
"Staphylococcus aureus infection",NA,"Staphylococcus aureus infection",FALSE,TRUE,NA,NA,NA,2.02005188592196,0.000879507475813544,"up",FALSE,NA
"Synaptic vesicle cycle",NA,"Synaptic vesicle cycle",FALSE,TRUE,NA,NA,NA,2.05980756953736,0.000879507475813544,"up",FALSE,NA
"Systemic lupus erythematosus",NA,"Systemic lupus erythematosus",FALSE,TRUE,NA,NA,NA,1.72993213403154,0.0110269088538088,"up",FALSE,NA
"TGF-beta signaling pathway","TGF-beta signaling pathway",NA,TRUE,FALSE,1.60381765851019,0.0656494161235192,"up",NA,NA,NA,FALSE,NA
"TNF signaling pathway",NA,"TNF signaling pathway",FALSE,TRUE,NA,NA,NA,1.95971209617564,0.000879507475813544,"up",FALSE,NA
"Taste transduction","Taste transduction",NA,TRUE,FALSE,-1.74239124506053,0.0821853770667468,"down",NA,NA,NA,FALSE,NA
"Taurine and hypotaurine metabolism",NA,"Taurine and hypotaurine metabolism",FALSE,TRUE,NA,NA,NA,1.60006806507326,0.0372336448598131,"up",FALSE,NA
"Tight junction",NA,"Tight junction",FALSE,TRUE,NA,NA,NA,1.59445933563655,0.00874840888313438,"up",FALSE,NA
"Toll-like receptor signaling pathway",NA,"Toll-like receptor signaling pathway",FALSE,TRUE,NA,NA,NA,1.78871551625819,0.000879507475813544,"up",FALSE,NA
"Toxoplasmosis",NA,"Toxoplasmosis",FALSE,TRUE,NA,NA,NA,1.77455376995065,0.00134978268498772,"up",FALSE,NA
"Tuberculosis",NA,"Tuberculosis",FALSE,TRUE,NA,NA,NA,1.95599046046915,0.000879507475813544,"up",FALSE,NA
"Type I diabetes mellitus",NA,"Type I diabetes mellitus",FALSE,TRUE,NA,NA,NA,1.93402148144068,0.000879507475813544,"up",FALSE,NA
"Type II diabetes mellitus",NA,"Type II diabetes mellitus",FALSE,TRUE,NA,NA,NA,1.48702233584194,0.0764097127984722,"up",FALSE,NA
"VEGF signaling pathway","VEGF signaling pathway",NA,TRUE,FALSE,1.59319276738099,0.0821853770667468,"up",NA,NA,NA,FALSE,NA
"Vascular smooth muscle contraction",NA,"Vascular smooth muscle contraction",FALSE,TRUE,NA,NA,NA,1.42115288895466,0.0694736842105263,"up",FALSE,NA
"Viral carcinogenesis",NA,"Viral carcinogenesis",FALSE,TRUE,NA,NA,NA,1.5023648620032,0.0101165425704111,"up",FALSE,NA
"Viral myocarditis",NA,"Viral myocarditis",FALSE,TRUE,NA,NA,NA,1.78207327694946,0.00255002295020655,"up",FALSE,NA
"cAMP signaling pathway",NA,"cAMP signaling pathway",FALSE,TRUE,NA,NA,NA,1.53580824987643,0.0102086651149496,"up",FALSE,NA
"mRNA surveillance pathway",NA,"mRNA surveillance pathway",FALSE,TRUE,NA,NA,NA,-1.37150470722905,0.0673028518899516,"down",FALSE,NA
"p53 signaling pathway",NA,"p53 signaling pathway",FALSE,TRUE,NA,NA,NA,1.60927832808016,0.0191616579135692,"up",FALSE,NA
