"analysis_population","compartment","gene_set_source","gene_set_id","pathway_name","pathway","linked_genes_n","linked_genes","ranked_genes_n","gene_set_size_total","tested","untested_reason","pval","padj","log2err","ES","NES","size","leadingEdge","direction"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903297","regulation of hypoxia-induced intrinsic apoptotic signaling pathway","GO:1903297 regulation of hypoxia-induced intrinsic apoptotic signaling pathway",6,"ENO1;HYOU1;NOL3;PIK3CB;PINK1;TMBIM6",5,6,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903298","negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway","GO:1903298 negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway",6,"ENO1;HYOU1;NOL3;PIK3CB;PINK1;TMBIM6",5,6,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903302","regulation of pyruvate kinase activity","GO:1903302 regulation of pyruvate kinase activity",1,"JMJD8",1,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903377","negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway","GO:1903377 negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway",13,"ATF4;CTNNB1;FBXO7;FGF2;FZD1;HIF1A;IL10;NONO;PARK7;PINK1;PRKN;PYCR1;WNT1",9,13,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903378","positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway","GO:1903378 positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway",3,"FBXW7;MCL1;MMP2",2,3,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903381","regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway","GO:1903381 regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway",4,"APP;FCGR2B;HYOU1;PRKN",1,4,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903382","negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway","GO:1903382 negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway",2,"HYOU1;PRKN",1,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903383","regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway","GO:1903383 regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway",2,"PARK7;PINK1",2,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903384","negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway","GO:1903384 negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway",2,"PARK7;PINK1",2,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903428","positive regulation of reactive oxygen species biosynthetic process","GO:1903428 positive regulation of reactive oxygen species biosynthetic process",15,"ADGRB1;CD36;CLCN3;CYBA;DUOXA1;FOXO3;GRIN1;PARK7;PLCG2;RAB27A;SLC5A3;SOD2;TLR4;TLR6;ZNF205",8,15,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903748","negative regulation of establishment of protein localization to mitochondrion","GO:1903748 negative regulation of establishment of protein localization to mitochondrion",7,"BAG4;C11orf65;DNAJA1;LMAN1;LRRK2;MAPT;SIAH3",3,7,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903750","regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide","GO:1903750 regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide",4,"PARK7;PINK1;RACK1;TRAP1",4,4,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
