"analysis_population","pathway_id","pathway_name","pathway_label","gene","compartment","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","FUNDC1","potential_malignant_T_cells_CNV_high_top25",0.353250384135082,4.41439706577346,0.730450795268947,0.419738587585255,0.999578157159551,0.854664141794276
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","GABARAP","potential_malignant_T_cells_CNV_high_top25",-0.621031556421962,7.99493399010391,2.10829509764912,0.187793134896365,0.999578157159551,-1.45199693444894
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","GABARAPL1","potential_malignant_T_cells_CNV_high_top25",-0.456606837379661,5.29951938622173,1.26255969643641,0.296511437942874,0.999578157159551,-1.12363681696374
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","GABARAPL2","potential_malignant_T_cells_CNV_high_top25",-0.0348575076866595,6.80483641316246,0.00596018192175314,0.940521532090478,0.999578157159551,-0.0772022144873652
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","HIF1A","potential_malignant_T_cells_CNV_high_top25",0.177891357027105,7.09623179172524,0.104242786634429,0.755783766562103,0.999578157159551,0.322866515195412
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","HRAS","potential_malignant_T_cells_CNV_high_top25",0.0734827390066162,4.68225589847526,0.0354710385976534,0.855709795871591,0.999578157159551,0.188337565550937
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","HUWE1","potential_malignant_T_cells_CNV_high_top25",0.212043313843358,6.36068776455478,0.378868821381182,0.556773386182015,0.999578157159551,0.61552320945776
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","JUN","potential_malignant_T_cells_CNV_high_top25",-0.390727398850995,10.9122534789637,0.154558645793025,0.706403443667964,0.999578157159551,-0.39313947371515
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","KRAS","potential_malignant_T_cells_CNV_high_top25",0.275098172282531,7.14041014637226,0.18520947102675,0.679266542607064,0.999578157159551,0.430359699584835
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MAP1LC3B","potential_malignant_T_cells_CNV_high_top25",-0.0170305762780146,7.10832086356835,0.00263153456742544,0.960453464723428,0.999578157159551,-0.0512984850402567
