"analysis_population","compartment","sample_id","gene","pseudobulk_logCPM","raw_counts","n_cells","patient_pair","condition_simple","sample_label","condition_label","pathway_id","pathway_name","pathway_label","z_logCPM"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","AMBRA1",4.11838623990876,10,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.573599984936492
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","AMFR",4.58404981225757,14,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.3508906424827
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","ARIH1",7.46077843735583,106,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.0848089822569024
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","ATF4",7.55261730442091,113,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.383314665577293
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","ATG9A",4.24963077318701,11,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.04089139518092
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","ATG9B",1.31103131785115,1,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.221846319250777
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","BCL2L1",6.54624777954518,56,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.29027761680779
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","BCL2L13",4.77046293648845,16,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.279403803829179
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","BECN1",5.15233357183209,21,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.39919043680294
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","BNIP3",-0.273931182870005,0,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.20264470883839
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","BNIP3L",6.44031433479612,52,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.354956343226008
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","CALCOCO2",7.02068956602162,78,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.230074879380719
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","CCZ1",1.31103131785115,1,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.64926238186477
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","CCZ1B",2.5334237391876,3,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.305106774136234
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","CITED2",7.77591736658056,132,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.21157641890242
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","CSNK2A1",5.21792191345967,22,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.46168849430119
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","CSNK2A2",5.70334874062991,31,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.71506179640284
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","CSNK2A3",-0.273931182870005,0,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.121383600984958
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","CSNK2B",8.04348143089486,159,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.586407564435812
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","E2F1",2.89599381857231,4,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.47338736091721
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","EIF2AK3",4.77046293648845,16,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.99494924944749
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","EIF2S1",5.01147103599224,19,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.00729414335651771
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","FIS1",7.03895177241435,79,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.60007398516678
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","FKBP8",7.81882595804985,136,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.308978774469632
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","FOXO3",5.39849415910149,25,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.38301801856185
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","FUNDC1",5.08362082174808,20,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.23392376513119
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","GABARAP",8.41606678854944,206,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.720177539657341
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","GABARAPL1",5.79215800758777,33,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.2077369126862
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","GABARAPL2",6.86562016952879,70,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.213897633409659
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","HIF1A",6.86562016952879,70,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.228353139449337
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","HRAS",4.48095631929346,13,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.325408374582871
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","HUWE1",6.23386345732869,45,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.331487829737238
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","JUN",12.2216740483208,2887,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.27221816051216
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","KRAS",6.32598165931712,48,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.63052389109977
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MAP1LC3A",1.31103131785115,1,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.732653264312328
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MAP1LC3B",7.28831124135107,94,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.786253596464453
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MAP1LC3B2",2.04799691201736,2,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.57477043216833
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MAPK10",5.15233357183209,21,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.6341638469895
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MAPK8",5.95488750762588,37,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.63265317502971
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MAPK9",2.89599381857231,4,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.36475848125505
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MFN1",3.97399633057358,9,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.909739787219418
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MFN2",3.42650853527109,6,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.418330962668178
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MITF",-0.273931182870005,0,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.980391694221018
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MON1A",2.89599381857231,4,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.235689236783006
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MON1B",4.36992500690472,12,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.0217180734368047
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MRAS",-0.273931182870005,0,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.822443717475204
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MTX1",4.68026512751687,15,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.774551054439004
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MTX2",5.08362082174808,20,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.21553356866738
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MTX3",1.31103131785115,1,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.120803199347171
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","MUL1",3.18550043576729,5,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.18413402954761
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","NBR1",5.15233357183209,21,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.0622663270056252
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","NLRX1",2.89599381857231,4,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.255824659679141
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","NRAS",5.08362082174808,20,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.916138308250195
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","OPA1",5.74843663015845,32,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.642933277849647
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","OPTN",5.50742853065465,27,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.240775421354485
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","PGAM5",3.63295941273851,7,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.413182406839801
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","PHB2",7.78676474881755,133,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.610585916765205
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","PINK1",4.77046293648845,16,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.94483142177041
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","PRKN",-0.273931182870005,0,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.0715974085499398
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RAB5A",6.5964335367134,58,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.604017832103651
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RAB5B",4.93552218275894,18,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.0370207008875097
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RAB5C",6.5964335367134,58,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.569470050935272
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RAB7A",6.92574116196636,73,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.15859101548145
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RAB7B",-0.273931182870005,0,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.5947593276584
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RABGEF1",4.11838623990876,10,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.0178477164038105
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RELA",5.70334874062991,31,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.402678486670407
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RHOT1",4.68026512751687,15,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.47888691472274
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RHOT2",5.70334874062991,31,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.00841429157889108
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RPS27A",11.9031768588337,2315,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.567896778306013
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RRAS",2.5334237391876,3,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.17500640605721
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","RRAS2",6.5964335367134,58,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.780568531251956
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","SAMM50",5.08362082174808,20,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.173948872895784
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","SIAH1",6.10110824847692,41,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.29198509150005
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","SMURF1",4.24963077318701,11,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.0527082303576309
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","SMURF2",5.08362082174808,20,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.39398453619124
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","SP1",4.48095631929346,13,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.354901550237983
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","SQSTM1",5.95488750762588,37,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.0851746433030994
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","SRC",-0.273931182870005,0,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.69335509099891
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TAX1BP1",7.28831124135107,94,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.46780709090682
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TBC1D15",5.08362082174808,20,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.731917564211981
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TBC1D17",5.91589337601001,36,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.61966825541879
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TBK1",3.63295941273851,7,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.708592207951005
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TFE3",4.68026512751687,15,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.309252107669553
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TFEB",2.04799691201736,2,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.724446418721221
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TOMM20",7.53985000834703,112,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.271061289398872
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TOMM20L",-0.273931182870005,0,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.63510801159646
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TOMM40",5.55895883129474,28,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.446136778557823
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TOMM40L",3.42650853527109,6,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.30308435925589
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TOMM7",8.35177766019446,197,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.871139653982273
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TOMM70",4.93552218275894,18,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.39023470690621
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TP53",4.68026512751687,15,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.819332779994186
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","TRAF2",2.5334237391876,3,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.71924487090093
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","UBA52",10.2816165887771,752,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.71004964477507
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","UBB",9.58870617468879,465,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.24091200527406
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","UBC",10.7793159430424,1062,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.216955519994477
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","ULK1",5.50742853065465,27,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.0839210747396267
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","USP15",7.05698569524461,80,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.38085160853728
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","USP30",3.63295941273851,7,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.480869527913801
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","USP8",6.10110824847692,41,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.23588754035135
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","VCP",7.50085587673117,109,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.072508634857341
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","ADRM1",6.0298495653071,39,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-0.943959749749732
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","IFNG",-0.273931182870005,0,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-0.305038131386314
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","POMP",6.82410090009052,68,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-1.41588112014359
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","PSMA1",7.89097574380568,143,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",1.75156172926252
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","PSMA2",7.36269343767364,99,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",0.756883166415553
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","PSMA3",5.70334874062991,31,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-1.67744671645273
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","PSMA4",6.5204846834801,55,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-0.605479550102286
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","PSMA5",6.69185310179208,62,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",0.0869670665583286
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","PSMA6",8.29212285530109,189,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",0.262903601587988
