"pathway","gene","in_sc_leading_edge","in_bulk_leading_edge","shared_leading_edge","STAT5_axis_gene","curated_STAT5_target"
"B cell receptor signaling pathway","RELA",TRUE,TRUE,TRUE,FALSE,FALSE
"B cell receptor signaling pathway","AKT1",TRUE,FALSE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","BCL10",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","BLNK",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","CARD11",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","CD19",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","CD72",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","CD79A",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","DAPP1",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","GRB2",TRUE,FALSE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","HRAS",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","IKBKB",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","IKBKG",TRUE,FALSE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","INPP5D",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","INPPL1",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","LYN",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","MALT1",TRUE,FALSE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","MAP2K1",TRUE,FALSE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","MAP2K2",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","NFATC3",TRUE,FALSE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","NFKBIA",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","NFKBIB",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","NRAS",TRUE,FALSE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","PIK3AP1",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","PIK3CB",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","PIK3R2",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","PIK3R3",TRUE,FALSE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","PIRB",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","PLCG2",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","PPP3CA",FALSE,TRUE,FALSE,FALSE,FALSE
