"gene","P1_delta","P2_delta","P3_delta","n_pairs_up","n_pairs_down","mean_pair_delta","median_pair_delta","logFC","PValue","FDR","rank_stat","pathway_membership","leading_edge_pathways","any_leading_edge","paired_direction_consistency","gene_level_FDR_lt_0.05"
"PPP2R5E",0.049614587218616,0.0489557808817267,-0.0626790452218993,2,1,0.0119637742928145,0.0489557808817267,-0.0391448049292859,0.910776590290904,0.999578157159551,-0.115974915187898,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"GAB2",1.09411375241267,-1.36378434954064,0.212966568720821,2,1,-0.0189013428023837,0.212966568720821,-0.0425991216776836,0.933135080611671,0.999578157159551,-0.0868156384283919,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"SMPD4",0.177369030280405,-0.129897122967394,-0.0686850916704298,1,2,-0.00707106145247316,-0.0686850916704298,-0.0598739276577366,0.868220703977601,0.999578157159551,-0.17180989995224,"Sphingolipid metabolism","",FALSE,"down in 2/3",FALSE
"ST8SIA1",1.01256568875416,-1.33009710234363,0.361785042037446,2,1,0.0147512094826574,0.361785042037446,-0.0719866048485034,0.928313219920511,0.999578157159551,-0.0925985233831891,"Glycosphingolipid biosynthesis - ganglio series; Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"up in 2/3",FALSE
"SPHK2",0.00498483424154905,0.0256295242701299,-0.132147527117863,2,1,-0.0338443895353948,0.00498483424154905,-0.08064047502553,0.865652968452689,0.999578157159551,-0.175206988993566,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PIK3CA",0.527582167681529,-0.541523929161477,-0.0902418415751223,1,2,-0.0347278676850236,-0.0902418415751223,-0.0868683489812579,0.820200449566388,0.999578157159551,-0.235560961832015,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"PPP2CA",0.946403150546128,-1.10426728481976,-0.0019143531180843,1,2,-0.0532594957972391,-0.0019143531180843,-0.105786780461399,0.814023865278845,0.999578157159551,-0.243832650976395,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"PPP2R3C",0.319515433032044,-0.293644698085069,-0.20871089940665,1,2,-0.0609467214865583,-0.20871089940665,-0.119482040980147,0.750390820329002,0.999578157159551,-0.330295269941425,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"PDPK1",0.157471849360943,-0.0183591344332239,-0.327948384393274,1,2,-0.0629452231551847,-0.0183591344332239,-0.122895809663512,0.761623550870735,0.999578157159551,-0.31485745407456,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"SGPP1",-0.562359042519109,0.0029795553234595,0.135717701505398,2,1,-0.141220595230084,0.0029795553234595,-0.12390442315687,0.809400778526009,0.999578157159551,-0.249991625868895,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"B4GALT1",0.908383677220598,-1.6105453650862,0.362809440499876,2,1,-0.113117415788575,0.362809440499876,-0.146063615230197,0.787462288384177,0.999578157159551,-0.279632550363834,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"up in 2/3",FALSE
"ABCC1",-0.517829147187968,-0.514090568495111,0.639478118459019,1,2,-0.130813865741353,-0.514090568495111,-0.185755639397242,0.652862189356913,0.999578157159551,-0.468699981412745,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"CERS6",-1.73394083668969,1.11273492031474,-0.298778383587838,1,2,-0.306661433320928,-0.298778383587838,-0.186882867976144,0.767547437475879,0.999578157159551,-0.306714262919801,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"NAGA",-1.80512003561449,0.757748175757925,-0.0685140397735919,1,2,-0.371961966543386,-0.0685140397735919,-0.191649275656863,0.81661206628939,0.999578157159551,-0.239706727677653,"Glycosphingolipid biosynthesis - globo and isoglobo series","",FALSE,"down in 2/3",FALSE
"SPTLC3",-1.14536891295621,0.787843875168278,0.0271447318364761,2,1,-0.110126768650484,0.0271447318364761,-0.219838412525252,0.758140307477778,0.999578157159551,-0.319704323758818,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PTEN",0.141902174910963,-0.26928954419926,-0.37457218553246,1,2,-0.167319851606919,-0.26928954419926,-0.220807143372686,0.515345417223728,0.999578157159551,-0.68332865760819,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"ROCK2",-0.649303306376366,0.565735198813266,-0.487664471098931,1,2,-0.19041085955401,-0.487664471098931,-0.240374234617534,0.588960957206666,0.999578157159551,-0.564898441415938,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"GNAQ",0.853146450992671,-1.1538515029661,-0.293456682473865,1,2,-0.198053911482432,-0.293456682473865,-0.25920415560537,0.564303295849232,0.999578157159551,-0.603527396216852,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"PPP2R5D",-1.16256347687233,0.331872677128258,0.0379768182571967,2,1,-0.264237993828959,0.0379768182571967,-0.261684875426479,0.601839481988572,0.999578157159551,-0.545112284665773,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"B4GALT4",0.0827104966304173,0.0312188260282809,-0.729516665053608,2,1,-0.205195780798303,0.0312188260282809,-0.291388843819515,0.544209633343337,0.999578157159551,-0.635803340537782,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"up in 2/3",FALSE
"PPP2R1B",-0.43446244451148,-0.124678542186631,-0.26899612181569,0,3,-0.276045702837933,-0.26899612181569,-0.319091097851433,0.480553686764857,0.999578157159551,-0.743062631668966,"Sphingolipid signaling pathway","",FALSE,"down in 3/3",FALSE
"FUT4",1.51181848488991,-1.0336723128239,-0.873704343059943,1,2,-0.131852723664643,-0.873704343059943,-0.351450831023186,0.573896975692592,0.999578157159551,-0.588426435829774,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"down in 2/3",FALSE
"ARSA",-0.490159009484462,-0.0638254569717285,-0.404947429029105,0,3,-0.319643965161765,-0.404947429029105,-0.36599999930097,0.368790329408784,0.999578157159551,-0.957444778988316,"Sphingolipid metabolism","",FALSE,"down in 3/3",FALSE
"GM2A",-0.573971384971975,-0.321388210371549,-0.112845136145859,0,3,-0.336068243829794,-0.321388210371549,-0.373670171610279,0.334720332834745,0.999578157159551,-1.03228039422249,"Sphingolipid metabolism","",FALSE,"down in 3/3",FALSE
"NEU3",-0.0187347046418145,-0.592875510154778,-0.312989245434397,0,3,-0.308199820076996,-0.312989245434397,-0.393265797767704,0.413549230271993,0.999578157159551,-0.866704056780971,"Sphingolipid metabolism","",FALSE,"down in 3/3",FALSE
"ST6GALNAC4",-0.817750536396346,-2.11020470554628,1.55581522123515,1,2,-0.457380006902492,-0.817750536396346,-0.482322841576355,0.573934792433506,0.999578157159551,-0.588366838622571,"Glycosphingolipid biosynthesis - ganglio series","",FALSE,"down in 2/3",FALSE
"TP53",-1.13717598329408,0.948229831336366,-1.11142233350662,1,2,-0.433456161821447,-1.11142233350662,-0.521430311550212,0.409300653542323,0.999578157159551,-0.874956472626311,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"ACER3",-0.0461731904741862,-1.19385046179057,-0.176827985583393,0,3,-0.472283879282717,-0.176827985583393,-0.526328324990517,0.284491365163173,0.999578157159551,-1.15445689296268,"Sphingolipid metabolism","",FALSE,"down in 3/3",FALSE
"ST3GAL3",-1.7783823931285,-0.378192048032542,0.507547392160135,1,2,-0.549675683000304,-0.378192048032542,-0.574816338379679,0.353629408173173,0.999578157159551,-0.990078313463669,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"down in 2/3",FALSE
"PPP2R5B",-2.32494664085539,-0.26034881902658,0.726783080430064,1,2,-0.619504126483968,-0.26034881902658,-0.624251768776706,0.425792644398824,0.999578157159551,-0.8431591931282,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"PLCB1",0.105456765039837,0.51871409028075,-3.02817240751633,2,1,-0.801333850731913,0.105456765039837,-0.725289631495118,0.35726644629947,0.999578157159551,-0.982082858096875,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"AKT3",-0.179182216732465,-0.15970029454268,-1.64659202999549,0,3,-0.66182484709021,-0.179182216732465,-0.745907619896862,0.147413659435887,0.999578157159551,-1.61911699276349,"Sphingolipid signaling pathway","",FALSE,"down in 3/3",FALSE
"TRADD",-2.08736976387914,0.537829967923693,-0.574299410512497,1,2,-0.70794640215598,-0.574299410512497,-0.755862985655879,0.229756395308747,0.999578157159551,-1.3096441904529,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"S1PR5",0,2.11702290817225,-2.83448960446459,1,1,-0.239155565430779,0,-0.763320000701679,0.688108085657884,0.999578157159551,-0.420329062610743,"Sphingolipid signaling pathway","",FALSE,"mixed",FALSE
"PPP2R3B",-1.78175673363658,-0.205327608673121,-0.175286596056901,0,3,-0.720790312788866,-0.205327608673121,-0.769142608568397,0.150827941904777,0.999578157159551,-1.60339404723707,"Sphingolipid signaling pathway","",FALSE,"down in 3/3",FALSE
"MAPK10",-1.83609401740304,0.209087378215592,1.15152772515408,2,1,-0.158492971344455,0.209087378215592,-0.784423887565915,0.464947342068194,0.999578157159551,-0.76730091101962,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"S1PR3",0,-2.30837797867707,0.194826686388531,1,1,-0.704517097429513,0,-0.825577212202026,0.355743113235479,0.999578157159551,-0.995986568079149,"Sphingolipid signaling pathway","",FALSE,"mixed",FALSE
"PRKCE",-0.33872562925995,-1.02797115654032,-1.18123731723028,0,3,-0.849311367676851,-1.02797115654032,-0.948991523159788,0.0514207735269697,0.999578157159551,-2.32342185048549,"Sphingolipid signaling pathway","",FALSE,"down in 3/3",FALSE
"PLPP3",-0.710284787429615,1.28334199277492,-1.77429964233763,1,2,-0.400414145664109,-0.710284787429615,-1.05486936380558,0.28740965788341,0.999578157159551,-1.13401802092847,"Sphingolipid metabolism","",FALSE,"down in 2/3",FALSE
"GBA2",-1.39436938519211,-1.3711062665519,-0.491601428708101,0,3,-1.0856923601507,-1.3711062665519,-1.17508806064004,0.0486822467435417,0.999578157159551,-2.36101001615465,"Sphingolipid metabolism","",FALSE,"down in 3/3",FALSE
"TNF",-1.24835320762808,-0.42756146918726,-2.22812784676164,0,3,-1.30134750785899,-1.24835320762808,-1.37488992842141,0.0203795565479987,0.999578157159551,-2.94546369346991,"Sphingolipid signaling pathway","",FALSE,"down in 3/3",FALSE
"MAP3K5",-2.11266270289979,0.779899129443968,-1.68296187931051,1,2,-1.00524181758878,-1.68296187931051,-2.07438469288537,0.0749090244851603,0.999578157159551,-2.06527093682469,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"A4GALT",0,0,0.384461585000813,1,0,0.128153861666938,0,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"mixed",NA
"ACER1",0,-1.41058578583321,-0.32816235152257,0,2,-0.579582712451928,-0.32816235152257,NA,NA,NA,NA,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"down in 2/3",NA
"ACER2",1.01256568875416,0.245238828259363,0.0921525649138967,3,0,0.449985693975805,0.245238828259363,NA,NA,NA,NA,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 3/3",NA
"ADORA1",0,0,0,0,0,0,0,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"mixed",NA
"ASAH2",0,0,0,0,0,0,0,NA,NA,NA,NA,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"mixed",NA
"B3GALNT1",0,0.145011362801773,0.938186100488135,2,0,0.361065821096636,0.145011362801773,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"up in 2/3",NA
"B3GALT2",0.747026885562674,-0.634887766642195,-0.189448100217761,1,2,-0.0257696604324271,-0.189448100217761,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"down in 2/3",NA
"B3GNT3",0.421334024304836,0,-0.631428936769302,1,1,-0.0700316374881553,0,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"mixed",NA
"B3GNT4",0,-1.07425461455933,0.384461585000813,1,1,-0.229931009852839,0,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"mixed",NA
"B3GNT5",1.75452707297869,-1.91229910193847,0.0921525649138967,2,1,-0.0218731546819607,0.0921525649138967,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"up in 2/3",NA
"B4GALNT2",0,0.779899129443968,0,1,0,0.259966376481323,0,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"mixed",NA
"B4GALT2",-0.643469171210263,1.02093684745038,-0.211114020332835,1,2,0.0554512186357611,-0.211114020332835,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"down in 2/3",NA
"CERS3",0,0,-0.211114020332835,0,1,-0.0703713401109451,0,NA,NA,NA,NA,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"mixed",NA
"DEGS2",-1.39049605677294,0.145011362801773,0.384461585000813,2,1,-0.287007702990117,0.145011362801773,NA,NA,NA,NA,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 2/3",NA
"FCER1A",0,0,0,0,0,0,0,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"mixed",NA
"FCER1G",2.09636077528708,0,0.133147536945998,2,0,0.743169437411026,0.133147536945998,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",NA
"FUT1",0.747026885562674,0,0,1,0,0.249008961854225,0,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"mixed",NA
"FUT2",-1.39049605677294,0,0,0,1,-0.463498685590979,0,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"mixed",NA
"FUT3",0.747026885562674,0,0,1,0,0.249008961854225,0,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"mixed",NA
"FUT5",0.747026885562674,0,0,1,0,0.249008961854225,0,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"mixed",NA
"GBGT1",-2.67656857204508,-0.399800980393497,-0.211114020332835,0,3,-1.09582785759047,-0.399800980393497,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - globo and isoglobo series","",FALSE,"down in 3/3",NA
"GCNT2",-0.483520035869425,1.95160393511496,1.18808229582756,2,1,0.885388731691032,1.18808229582756,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"up in 2/3",NA
"GNAI1",0,0,0,0,0,0,0,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"mixed",NA
"MAPK11",0.747026885562674,0.581569999533247,-0.389637016904441,2,1,0.312986622730493,0.581569999533247,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",NA
"MAPK12",0.421334024304836,-0.127243793058291,-0.0777044212819813,1,2,0.0721286033215212,-0.0777044212819813,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",NA
"MS4A2",0,0,-0.595575605333649,0,1,-0.198525201777883,0,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"mixed",NA
"NOS3",-0.643469171210263,0,-0.5218295589037,0,2,-0.388432910037988,-0.5218295589037,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",NA
"PLCB3",-2.87962445356635,0.723411359423094,-0.41091064282129,1,2,-0.855707912321517,-0.41091064282129,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",NA
"PLCB4",1.31244644082825,0,0,1,0,0.437482146942752,0,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"mixed",NA
"PLD1",3.19218889461755,0,0,1,0,1.06406296487252,0,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"mixed",NA
"PLD2",0.421334024304836,0.209087378215592,-0.211114020332835,2,1,0.139769127395865,0.209087378215592,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",NA
"PLPP2",-0.643469171210263,0,-0.956514240371031,0,2,-0.533327803860431,-0.643469171210263,NA,NA,NA,NA,"Sphingolipid metabolism","",FALSE,"down in 2/3",NA
"PPP2R2B",2.13476398545244,1.28334199277492,-1.14227428072205,2,1,0.758610565835105,1.28334199277492,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",NA
"PPP2R2C",0,0,0,0,0,0,0,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"mixed",NA
"PPP2R3A",0.421334024304836,0,-1.34097582537184,1,1,-0.306547267022336,0,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"mixed",NA
"PRKCG",0,-0.634887766642195,-0.631428936769302,0,2,-0.422105567803832,-0.631428936769302,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",NA
"PRKCZ",0,-0.0273183590758432,-0.918383034807122,0,2,-0.315233797960988,-0.0273183590758432,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",NA
"RAC3",-1.33818569859466,-1.3477976931873,-0.189448100217761,0,3,-0.958477163999906,-1.33818569859466,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"down in 3/3",NA
"S1PR2",2.96038298629777,0.145011362801773,-0.0777044212819813,2,1,1.00922997593919,0.145011362801773,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",NA
"SGMS2",1.01256568875416,0,0,1,0,0.337521896251385,0,NA,NA,NA,NA,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"mixed",NA
"SGPP2",0,0,-1.01589052177012,0,1,-0.338630173923372,0,NA,NA,NA,NA,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"mixed",NA
"SPHK1",-0.483520035869425,0.648454226132727,0.135637203383968,2,1,0.10019046454909,0.135637203383968,NA,NA,NA,NA,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 2/3",NA
"SPTSSB",0,0,0,0,0,0,0,NA,NA,NA,NA,"Sphingolipid signaling pathway","",FALSE,"mixed",NA
"ST6GALNAC3",0.747026885562674,1.02093684745038,-0.631428936769302,2,1,0.378844932081251,0.747026885562674,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - ganglio series","",FALSE,"up in 2/3",NA
"ST6GALNAC5",0,0,1.33734724750625,1,0,0.445782415835417,0,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - ganglio series","",FALSE,"mixed",NA
"ST8SIA5",0.747026885562674,0,-0.211114020332835,1,1,0.17863762174328,0,NA,NA,NA,NA,"Glycosphingolipid biosynthesis - ganglio series","",FALSE,"mixed",NA
"UGT8",-1.39049605677294,0,0.384461585000813,1,1,-0.335344823924041,0,NA,NA,NA,NA,"Sphingolipid metabolism","",FALSE,"mixed",NA
