"candidate_id","candidate_label","selection_scope","top_fraction","extra_qc","paper_qc_preserved","definition_changes","n_cells_total","min_cells_per_sample","genes_ranked_n","tested_KEGG_sets_n","direction","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total"
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05167 Kaposi sarcoma-associated herpesvirus infection",0.0160644554612931,0.077990829914419,0.352487857583619,0.327166108190992,1.40811196644175,142,"MYC;FOS;GNG4;RELA;STAT3;CALM1;BID;HLA-C;NFATC3;GNG5;MAPK9;BAX;HLA-B;HLA-E;HLA-A;NFATC2;NFATC1;UBA52;PPP3R1;PIK3R3;ZFP36;HLA-F;UBC;RPS27A;GNB1;GNG8;CLEC2B;TRAF3;GNG10;RAC1;CALM3;MAP2K1;IRF7;STAT2;MAP1LC3B;BECN1;JAK1;NFKB1","hsa05167","Kaposi sarcoma-associated herpesvirus infection",196
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05323 Rheumatoid arthritis",0.0165809100361909,0.0793194885515077,0.352487857583619,0.453418120532407,1.61433125082985,46,"FOS;TGFB1;ATP6V0A4;LTB;IL1B;HLA-DRA;HLA-DPA1;FLT1;ATP6V0D1;ATP6V0C;HLA-DQB1;CCL5;ITGB2;IFNG;ATP6V1G1;ATP6V0E1","hsa05323","Rheumatoid arthritis",95
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04940 Type I diabetes mellitus",0.0172949214453789,0.0811486325953547,0.352487857583619,0.565264980626077,1.65858147439726,20,"HLA-C;IL1B;HLA-B;HLA-DRA;HLA-DPA1;HLA-E;HLA-A;HLA-DQB1;HLA-F;HSPD1;IFNG","hsa04940","Type I diabetes mellitus",44
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04137 Mitophagy - animal",0.0174217403312061,0.0811486325953547,0.352487857583619,0.361847730923039,1.47519421379183,91,"OPTN;RELA;MTX3;TFE3;TOMM40;MAPK9;MUL1;UBA52;SMURF2;FUNDC1;UBC;BCL2L13;RPS27A;RRAS2;TOMM20;MTX1;RAB7A;ATF4;TOMM7;MFN2;MAP1LC3B;BECN1;AMFR;RAB5C;BNIP3;MTX2;CITED2;RAB5A;FKBP8;NRAS;PHB2;KRAS;CSNK2A2;OPA1;CCZ1B;E2F1;FOXO3","hsa04137","Mitophagy - animal",105
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04974 Protein digestion and absorption",0.0177711102280257,0.0817009483210531,0.352487857583619,0.519983548591383,1.60601020704252,24,"SLC1A5;SLC36A1;FXYD2;SLC3A2;ATP1B3;XPNPEP2;COL6A3;COL6A2;ATP1A1;PRSS3","hsa04974","Protein digestion and absorption",103
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_down","hsa00562 Inositol phosphate metabolism",0.0180985235531178,0.0821394530487654,0.352487857583619,-0.37002955139507,-1.4860568298603,65,"INPP4B;PIK3C3;PLCD1;MTMR8;PLCG2;INPP5B;PIP4K2A;IP6K2;OCRL;PIP4K2B;PLCB1;INPP4A;MINPP1;INPP5F;PIP5K1A;PLCH1;INPP1;PLCB2;IP6K1;MTMR4","hsa00562","Inositol phosphate metabolism",78
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05144 Malaria",0.0198258333589914,0.087729312613537,0.352487857583619,0.5564914400548,1.63283844704702,20,"KLRB1;TGFB1;GYPC;IL1B;CD81;MYD88;IL10;ITGB2;IFNG;KLRK1;TLR9;HBB","hsa05144","Malaria",50
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04640 Hematopoietic cell lineage",0.0196185795798429,0.087729312613537,0.352487857583619,0.406678798992908,1.48338935846024,52,"IL4;CSF3R;IL2RA;CD5;IL4R;CD7;CD44;IL1B;FLT3LG;HLA-DRA;HLA-DPA1;HLA-DQB1","hsa04640","Hematopoietic cell lineage",100
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04723 Retrograde endocannabinoid signaling",0.0214268119311197,0.0936431039952639,0.352487857583619,0.374276737634405,1.46782924537517,74,"GNG4;NDUFA6;NDUFAB1;PRKCA;GNG5;MAPK9;NDUFC2;NDUFB7;NDUFV2;NDUFB9;SLC32A1;ADCY7;GNB1;GNG8;NDUFA12;GNG10;NDUFA1;NDUFA9;NAPEPLD;NDUFB2;GNG2;NDUFB6;NDUFA2;NDUFB11;PLCB4;NDUFB4;GNB2;GNAI2;NDUFA13;NDUFS4;NDUFS3","hsa04723","Retrograde endocannabinoid signaling",149
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05414 Dilated cardiomyopathy",0.0217682679396919,0.0939752054957432,0.352487857583619,0.461812615020863,1.5255650872336,34,"ITGB7;TGFB1;ACTB;TPM3;ACTG1;EMD;SNTA1;ITGB1;LMNA;GNAS;ADCY7;TPM4;DMD;ATP2A2","hsa05414","Dilated cardiomyopathy",105
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05135 Yersinia infection",0.0222322707163084,0.094821973898472,0.352487857583619,0.326644223827663,1.38187673224757,117,"FOS;PXN;ACTB;RELA;ACTG1;LCP2;MAP2K3;NFATC3;IL1B;ARPC2;MAPK9;ITGB1;NFATC2;NFATC1;ARF6;MYD88;IL10;ELMO2;ACTR3B;PIK3R3;RHOG;MAP3K7;ARPC5L;RAC1;IRAK1;RPS6KA3;MAP2K1;CASP1;ACTR3;NFKB1;ARPC3;CDC42;LAT;ACTR3C;ROCK1;ARPC5","hsa05135","Yersinia infection",138
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05216 Thyroid cancer",0.0225746768560011,0.0951361381788619,0.352487857583619,0.48835251337514,1.55708738724792,29,"GADD45B;MYC;TPM3;BAX;MAP2K1;NCOA4;DDB2;GADD45A;TCF7L2;NRAS;KRAS","hsa05216","Thyroid cancer",37
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05142 Chagas disease",0.0229278205186416,0.0954876289835189,0.352487857583619,0.370579951824556,1.43677331292105,71,"FOS;TGFB1;CD247;RELA;CALR;IL1B;MAPK9;IFNGR2;GNAS;MYD88;IL10;CCL5;PIK3R3;CD3D;IFNG;IRAK1;SERPINE1;NFKB1;GNA15","hsa05142","Chagas disease",103
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04670 Leukocyte transendothelial migration",0.0247685602535575,0.101954306159993,0.352487857583619,0.387140098266358,1.48364366435462,65,"PXN;SIPA1;ACTB;RAP1A;ACTG1;MYL12A;PRKCA;ITGB1;RAP1B;NCF1;CYBA;ACTN4;JAM3;MYL5;RASSF5;ITK;PIK3R3;ACTN1;MYL12B;ITGB2","hsa04670","Leukocyte transendothelial migration",116
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04960 Aldosterone-regulated sodium reabsorption",0.0262155624306266,0.10427313596002,0.352487857583619,0.536652284023657,1.6232895939849,22,"NEDD4L;FXYD2;PRKCA;IRS1;ATP1B3;ATP1A1;PIK3R3","hsa04960","Aldosterone-regulated sodium reabsorption",38
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04061 Viral protein interaction with cytokine and cytokine receptor",0.0259336319031151,0.10427313596002,0.352487857583619,0.444864797435214,1.48855352567225,36,"IL2RA;XCL1;CXCR3;XCL2;CCR9;CCR7;IL10RA;TNFSF14;TNFSF10;IL10;CCL5;TNFRSF1B;CCL4;IL18R1;TNFRSF10A;TNFRSF14;CCL3","hsa04061","Viral protein interaction with cytokine and cytokine receptor",100
