"case_id","axis","case_label","primary_analysis","n_patients","n_cells_total","min_cells_per_sample","genes_ranked_n","direction","global_FDR_tier","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total","target_family2_BH","target_family2_Holm","target_family4_BH","target_family4_Holm"
"cnv_top15","CNV cutoff","CNV top 15%",FALSE,3,1925,64,9847,"relapse_up","FDR < 0.05","hsa00190 Oxidative phosphorylation",2.17083013009261e-08,3.76639027571068e-06,0.73376198835648,0.519968740015639,2.24522002254965,102,"COX5A;ATP5F1B;UQCRHL;NDUFAB1;NDUFA12;NDUFA6;NDUFC2;PPA1;COX6C;COX6A1;COX8A;PPA2;ATP5PB;ATP6V0E1;COX15;ATP5PF;ATP5F1A;ATP5MC1;ATP5F1C;COX7A2L;UQCRH;COX7B;ATP6V0D1;CYC1;NDUFA9;ATP6V0C;NDUFB7;NDUFS3;ATP6V0A4;ATP5MC3;COX4I1;ATP6V1A;NDUFB11;ATP6V1G1;NDUFV2;COX7A2;UQCR11;SDHC;NDUFA8;ATP5MF;NDUFA2;ATP5MG;NDUFB9;NDUFB4;ATP6V0B;NDUFB6;ATP6AP1;UQCRB;ATP5F1E","hsa00190","Oxidative phosphorylation",138,,,,
"cnv_top15","CNV cutoff","CNV top 15%",FALSE,3,1925,64,9847,"relapse_up","FDR 0.10b","hsa04630 JAK-STAT signaling pathway",0.024536638799356,0.119961190695605,0.352487857583619,0.343039613446679,1.42043965758145,72,"STAT5A;MYC;IL4R;IL4;IL27RA;PIM1;IL2RA;IFNGR2;STAT3;AKT1;PTPN6;IL21R;JAK3;STAT2;PIK3R3;GRB2;IL10;STAM2","hsa04630","JAK-STAT signaling pathway",168,,,,
"cnv_top15","CNV cutoff","CNV top 15%",FALSE,3,1925,64,9847,"relapse_up","FDR 0.10b","hsa03050 Proteasome",0.0307594146438798,0.136839960018286,0.352487857583619,0.410249768339574,1.49495181077847,43,"ADRM1;PSMC5;PSMB9;PSMB1;PSMB3;PSMD8;POMP;PSMB7;PSMB5;PSMD7;PSMD12;PSMC1;PSME2;PSMA7;PSMD2;PSMA4;SEM1;PSMD14;PSMC3;PSME4;PSMB2;PSMA3","hsa03050","Proteasome",46,0.0307594146438798,0.0428605096005902,0.0615188292877595,0.0922782439316393
"cnv_top15","CNV cutoff","CNV top 15%",FALSE,3,1925,64,9847,"relapse_up","FDR 0.10b","hsa04137 Mitophagy - animal",0.0214302548002951,0.11619216274535,0.352487857583619,0.350336860256512,1.46077995485682,81,"OPTN;RELA;TOMM40;MAPK9;E2F1;RAB7A;MTX1;TFE3;MUL1;UBA52;FUNDC1;TOMM70;SP1;SMURF2;MFN2;ATF4;UBC;RPS27A;AMFR;TOMM20;CCZ1;RRAS2;NRAS;CALCOCO2;PHB2;CSNK2A1;CSNK2A2;EIF2S1;FKBP8;RAB5A;TAX1BP1;BECN1;TBC1D15;SAMM50;RABGEF1;HRAS;BCL2L13;TRAF2;KRAS;MAPK8;PGAM5","hsa04137","Mitophagy - animal",105,0.0307594146438798,0.0428605096005902,0.0615188292877595,0.0857210192011805
"cnv_top15","CNV cutoff","CNV top 15%",FALSE,3,1925,64,9847,"relapse_down","FDR b	% 0.20","hsa04136 Autophagy - other",0.172344689378758,0.339807409825363,0.149207542435322,-0.361345356506537,-1.22143108801614,29,"PIK3C3;GABARAPL1;PIK3R4;ATG10;GABARAP;MTOR;ATG2B;ATG5;ATG4C;ATG13;ATG4B;ATG2A;ATG7","hsa04136","Autophagy - other",32,,,0.229792919171677,0.344689378757515
"cnv_top15","CNV cutoff","CNV top 15%",FALSE,3,1925,64,9847,"relapse_down","FDR b	% 0.20","hsa04140 Autophagy - animal",0.640909090909091,0.763168270474736,0.0728938564822936,-0.197656592888015,-0.926716485993756,142,"SMCR8;PIK3C3;UVRAG;RAB33B;DDIT4;STX7;GABARAPL1;ITPR1;TSC1;SQSTM1;AKT3;PIK3R4;ATG14;ATG10;PLEKHM1;GABARAP;EIF2AK4;AMBRA1;EPG5;BAD;MTOR;TRAF6;RRAGB","hsa04140","Autophagy - animal",169,,,0.640909090909091,0.640909090909091
"cnv_top20","CNV cutoff","CNV top 20%",FALSE,3,2566,93,10496,"relapse_up","FDR < 0.05","hsa05012 Parkinson disease",4.59294401315863e-08,1.61212334861868e-05,0.719512826338911,0.417283022506069,1.98644234978264,198,"COX5A;MAPK9;UQCRHL;NDUFAB1;BAX;NDUFC2;ATP5F1B;CALM1;NDUFA6;TUBA1C;PSMB1;ADRM1;NDUFA12;CYC1;SLC25A5;COX6A1;COX7A2L;NDUFA9;TUBA4A;SLC39A6;VDAC1;COX8A;ATP5MC1;GNAS;UQCRH;SLC39A4;TUBA1B;ITPR3;PSMC5;COX6C;PSMD8;KEAP1;TRAP1;PSMB3;VDAC2;ATP5F1C;UBE2L6;NDUFB7;UBE2J2;SLC39A3;COX7B;ATP5MC3;TXN2;PSMB7;NDUFV2;ATP5PF;SLC25A6;SLC39A8;ATP5PB;NDUFB6;NDUFB11;COX4I1;UBA52;CALM3;PSMA7;PSMD12;PARK7;GNAI2;PSMD2;HTRA2;SEM1;SEPTIN5;UBC;ATF4;NDUFB9;KIF5B;ATP5F1A;TUBB4B;SLC39A13;PSMB2;PSMB5;RPS27A;NDUFA8;PSMA4;SDHC;PSMD7;ATP5F1E;PSMC3;PSMD14;UBE2L3;TUBB;MFN2;PSMD11;NDUFA1;SLC39A7;EIF2S1;NDUFB2;COX7A2;UQCRB;SOD1;NDUFA2;UQCR11;DUSP1;CALM2;NDUFS8;PRKACA;NDUFB4","hsa05012","Parkinson disease",268,,,,
"cnv_top20","CNV cutoff","CNV top 20%",FALSE,3,2566,93,10496,"relapse_up","FDR < 0.05","hsa03010 Ribosome",1.41507536779058e-06,0.000165563818031498,0.643551836150722,0.420278762124836,1.95566704019795,167,"MRPL15;MRPL37;MRPS18A;MRPS2;RPL26L1;RPL39L;MRPS6;AURKAIP1;MRPL27;MRPS7;RPL30;RPS16;MRPL33;MRPS23;MRPL36;RPLP1;RPS27L;RPL8;RPS6;RPL7;UBA52;MRPL3;RPS13;RPS7;MRPL54;RPL23A;RPL21;RPLP0;RPLP2;MRPL11;RPL4;MRPS26;MRPL50;RPL18A;MRPL49;RPL37;RPS28;RPS24;RPS15A;RPS3A;RPS27A;RPL5;RPS4X;RPL19;RPS17;RPS25;MRPS30;MRPL20;MRPL58;RPL14;MRPL2;RPS21;RPL39;RPS27;MRPS27;RPL3;RPL22;MRPL51;RSL24D1;RPL38;RPL23;RPS3;MRPL14;RPL11;MRPL24;RPL27;RPS2;RPS14;RPL9;RPS19;RPL36;RPL27A;RPL35A;MRPL13;MRPL21;RPS20;RPL18;RPL36A;RPS12;RPL13A;GADD45GIP1;MRPL19;MRPL1;RPL24;RPS4Y1;RPS29;MRPL55;MRPL17;RPS9;RPL35;MRPL47;RPL10A;RPL15;MRPL40;RPL17;MRPL45;RPL32;RPS23;FAU;RPL37A;RPL7A;RPL34;RPL12;MRPS17;RPS5","hsa03010","Ribosome",213,,,,
"cnv_top20","CNV cutoff","CNV top 20%",FALSE,3,2566,93,10496,"relapse_up","FDR < 0.05","hsa00190 Oxidative phosphorylation",5.66755380364052e-07,9.94655692538911e-05,0.659444398037935,0.486459231752108,2.08276785132472,102,"COX5A;UQCRHL;NDUFAB1;NDUFC2;ATP5F1B;PPA1;ATP6V0A4;NDUFA6;NDUFA12;CYC1;COX6A1;COX7A2L;NDUFA9;COX8A;ATP5MC1;UQCRH;ATP6V0D1;ATP6V1A;COX6C;PPA2;ATP6V0E1;ATP5F1C;NDUFB7;COX7B;ATP5MC3;ATP6V0C;NDUFV2;ATP5PF;ATP5PB;NDUFB6;NDUFB11;COX4I1;ATP5MF;NDUFB9;ATP5F1A;ATP5MG;NDUFA8;SDHC;LHPP;ATP6V1G1;ATP5F1E;COX17;ATP6V0B;NDUFA1;NDUFB2;COX7A2;UQCRB;NDUFA2;COX15;UQCR11;NDUFS8;NDUFB4","hsa00190","Oxidative phosphorylation",138,,,,
"cnv_top20","CNV cutoff","CNV top 20%",FALSE,3,2566,93,10496,"relapse_up","FDR 0.05b","hsa04630 JAK-STAT signaling pathway",0.00937503321918502,0.0612984272605227,0.380730400722792,0.380406572347482,1.56393288079431,76,"MYC;STAT5A;IL4R;IL27RA;IL4;OSM;IFNGR2;STAT3;PIM1;IL21R;IL15RA;JAK3;PTPN6;IL2RA;AKT1","hsa04630","JAK-STAT signaling pathway",168,,,,
