"proportion","case_id","axis","case_label","major_annotation","n_cells"
0.409995936611134,"qc_combined","QC","Combined strict QC","Cycling_TALL_blast_like",1009
0.0121901665989435,"qc_combined","QC","Combined strict QC","ER_stress_TALL_like",30
0.299878098334011,"qc_combined","QC","Combined strict QC","Immature_HSC_like_TALL",738
0.277935798455912,"qc_combined","QC","Combined strict QC","Quiescent_CD44_high_TALL_like",684
0.409105082631743,"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","Cycling_TALL_blast_like",1312
0.0115372622388525,"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","ER_stress_TALL_like",37
0.299033364515123,"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","Immature_HSC_like_TALL",959
0.280324290614281,"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","Quiescent_CD44_high_TALL_like",899
0.409105082631743,"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","Cycling_TALL_blast_like",1312
0.0115372622388525,"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","ER_stress_TALL_like",37
0.299033364515123,"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","Immature_HSC_like_TALL",959
0.280324290614281,"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","Quiescent_CD44_high_TALL_like",899
0.409105082631743,"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","Cycling_TALL_blast_like",1312
0.0115372622388525,"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","ER_stress_TALL_like",37
0.299033364515123,"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","Immature_HSC_like_TALL",959
0.280324290614281,"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","Quiescent_CD44_high_TALL_like",899
0.409105082631743,"model_nonrobust","Model","Non-robust dispersion","Cycling_TALL_blast_like",1312
0.0115372622388525,"model_nonrobust","Model","Non-robust dispersion","ER_stress_TALL_like",37
0.299033364515123,"model_nonrobust","Model","Non-robust dispersion","Immature_HSC_like_TALL",959
0.280324290614281,"model_nonrobust","Model","Non-robust dispersion","Quiescent_CD44_high_TALL_like",899
0.409105082631743,"model_tmmwsp","Model","TMMwsp normalization","Cycling_TALL_blast_like",1312
0.0115372622388525,"model_tmmwsp","Model","TMMwsp normalization","ER_stress_TALL_like",37
0.299033364515123,"model_tmmwsp","Model","TMMwsp normalization","Immature_HSC_like_TALL",959
0.280324290614281,"model_tmmwsp","Model","TMMwsp normalization","Quiescent_CD44_high_TALL_like",899
0.409105082631743,"rank_logfc","GSEA ranking","Rank by signed log2FC","Cycling_TALL_blast_like",1312
0.0115372622388525,"rank_logfc","GSEA ranking","Rank by signed log2FC","ER_stress_TALL_like",37
0.299033364515123,"rank_logfc","GSEA ranking","Rank by signed log2FC","Immature_HSC_like_TALL",959
0.280324290614281,"rank_logfc","GSEA ranking","Rank by signed log2FC","Quiescent_CD44_high_TALL_like",899
0.409105082631743,"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","Cycling_TALL_blast_like",1312
0.0115372622388525,"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","ER_stress_TALL_like",37
0.299033364515123,"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","Immature_HSC_like_TALL",959
0.280324290614281,"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","Quiescent_CD44_high_TALL_like",899
0.134541984732824,"leaveout_p1","Patient influence","Leave out patient 1","Cycling_TALL_blast_like",282
0.0176526717557252,"leaveout_p1","Patient influence","Leave out patient 1","ER_stress_TALL_like",37
0.457538167938931,"leaveout_p1","Patient influence","Leave out patient 1","Immature_HSC_like_TALL",959
0.390267175572519,"leaveout_p1","Patient influence","Leave out patient 1","Quiescent_CD44_high_TALL_like",818
0.565588499550764,"leaveout_p2","Patient influence","Leave out patient 2","Cycling_TALL_blast_like",1259
0.000449236298292902,"leaveout_p2","Patient influence","Leave out patient 2","ER_stress_TALL_like",1
0.340970350404313,"leaveout_p2","Patient influence","Leave out patient 2","Immature_HSC_like_TALL",759
0.0929919137466307,"leaveout_p2","Patient influence","Leave out patient 2","Quiescent_CD44_high_TALL_like",207
0.517686424474187,"leaveout_p3","Patient influence","Leave out patient 3","Cycling_TALL_blast_like",1083
0.017208413001912,"leaveout_p3","Patient influence","Leave out patient 3","ER_stress_TALL_like",36
0.0956022944550669,"leaveout_p3","Patient influence","Leave out patient 3","Immature_HSC_like_TALL",200
0.369502868068834,"leaveout_p3","Patient influence","Leave out patient 3","Quiescent_CD44_high_TALL_like",773
