"pathway_name","specification_axis","parameter","level","specifications_n","nominal_hit_n","nominal_hit_pct","median_nominal_P","minimum_nominal_P","median_NES","median_cells_n"
"Mitophagy - animal","Model + ranking","robust_dispersion","FALSE",24,16,66.6666666666667,0.0269960776492488,0.0174418604651163,1.39909363252402,3207
"Mitophagy - animal","Model + ranking","robust_dispersion","TRUE",24,16,66.6666666666667,0.0305492599965339,0.0152616279069767,1.39060949435276,3207
"Mitophagy - animal","Population + QC","robust_dispersion","TRUE",472,211,44.7033898305085,0.0584765688811421,0.00124843945068664,1.33438138107756,2288.5
"Proteasome","Model + ranking","robust_dispersion","FALSE",24,21,87.5,0.0158275771320147,0.002551950419249,1.56693021449046,3207
"Proteasome","Model + ranking","robust_dispersion","TRUE",24,19,79.1666666666667,0.0153507662501429,0.00227790432801822,1.57126153677581,3207
"Proteasome","Population + QC","robust_dispersion","TRUE",472,303,64.1949152542373,0.0287266367605579,0.000329706561160567,1.50020291674018,2288.5
"Mitophagy - animal","Model + ranking","normalization","TMM",24,16,66.6666666666667,0.0305051238621944,0.0189178963299281,1.3905580925028,3207
"Mitophagy - animal","Model + ranking","normalization","TMMwsp",24,16,66.6666666666667,0.0265780153380769,0.0152616279069767,1.40294973198084,3207
"Mitophagy - animal","Population + QC","normalization","TMM",472,211,44.7033898305085,0.0584765688811421,0.00124843945068664,1.33438138107756,2288.5
"Proteasome","Model + ranking","normalization","TMM",24,19,79.1666666666667,0.0165907194359277,0.00347893312717433,1.56529659774989,3207
"Proteasome","Model + ranking","normalization","TMMwsp",24,21,87.5,0.014138703458507,0.00227790432801822,1.57126153677581,3207
"Proteasome","Population + QC","normalization","TMM",472,303,64.1949152542373,0.0287266367605579,0.000329706561160567,1.50020291674018,2288.5
"Mitophagy - animal","Model + ranking","rank_metric","logFC",16,0,0,0.359047240528611,0.136866359447005,1.04430203466305,3207
"Mitophagy - animal","Model + ranking","rank_metric","signed_neglog10_P",16,16,100,0.0251818123195311,0.0224382946896036,1.39960144425924,3207
"Mitophagy - animal","Model + ranking","rank_metric","signed_sqrt_F",16,16,100,0.0207725648685058,0.0152616279069767,1.42807850931522,3207
"Mitophagy - animal","Population + QC","rank_metric","signed_sqrt_F",472,211,44.7033898305085,0.0584765688811421,0.00124843945068664,1.33438138107756,2288.5
"Proteasome","Model + ranking","rank_metric","logFC",16,8,50,0.0508667330705579,0.0302902818679007,1.4164376486255,3207
"Proteasome","Model + ranking","rank_metric","signed_neglog10_P",16,16,100,0.00944032001860631,0.00583884780070066,1.62204099247002,3207
"Proteasome","Model + ranking","rank_metric","signed_sqrt_F",16,16,100,0.00465991855188718,0.00227790432801822,1.70012402841133,3207
"Proteasome","Population + QC","rank_metric","signed_sqrt_F",472,303,64.1949152542373,0.0287266367605579,0.000329706561160567,1.50020291674018,2288.5
