"pathway_name","valid_specifications_n","relapse_up_n","nominal_P_lt_0.05_n","nominal_P_lt_0.05_pct","two_target_BH_lt_0.05_n","two_target_BH_lt_0.05_pct","nominal_P_min","nominal_P_median","nominal_P_max","NES_min","NES_median","NES_max"
"Mitophagy - animal",520,520,243,46.7307692307692,224,43.0769230769231,0.00124843945068664,0.0558222224580178,0.693816631130064,0.891415776711015,1.3388974890564,1.66538701414415
"Proteasome",520,518,343,65.9615384615385,277,53.2692307692308,0.000329706561160567,0.0276066369032497,0.982317356910191,-0.630045632244262,1.50202356076421,2.02386846525087
