"selection_scope","top_fraction","mt_max","min_features","upper_feature_cap","specification_axis","gene_filter","robust_dispersion","normalization","rank_metric","specification_id","n_cells_total","min_cells_per_sample","max_cells_per_sample","sample_cell_imbalance_ratio","diagnosis_cells_n","relapse_cells_n","median_percent_mt","median_nFeature_RNA","cycling_prop","immature_prop","quiescent_prop","er_stress_prop","pathway_name","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","BH_within_spec_two_targets","BH_across_specifications_same_pathway","BH_across_all_specifications_and_targets","nominal_P_monte_carlo_SE","nominal_P_borderline_0.05","nominal_P_lt_0.05","two_target_BH_lt_0.05","direction","nperm","primary_equivalent"
"within_sample",0.15,4.5,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ267",1656,84,413,4.91666666666667,737,919,3.17404282718449,1612,0.502415458937198,0.259661835748792,0.22463768115942,0.0132850241545894,"Mitophagy - animal",0.00740502253702511,0.00740502253702511,0.378600371115135,1.54362051609903,22,86,"TFE3;OPTN;RRAS2;TOMM40;UBA52;RELA;BCL2L13;RPS27A;RAB7A;UBC;MFN2;RAB5A;TOMM7;TOMM20;MAP1LC3B;BECN1;CCZ1;RAB5C;FUNDC1;SMURF2;UBB;MUL1;CCZ1B;MTX1;MAPK9;CSNK2B;CSNK2A1;AMFR;E2F1;PHB2;USP30;KRAS;NRAS;CALCOCO2;ATF4;TBC1D15;TOMM70;FKBP8;SMURF1;CSNK2A2;CITED2",0.00740502253702511,0.106217658084878,0.060165808113329,0.00121245108587945,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"within_sample",0.15,5,1000,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ278",1683,82,419,5.10975609756098,698,985,3.33333333333333,1695,0.534165181224005,0.28698752228164,0.164587046939988,0.0142602495543672,"Mitophagy - animal",0.00839251129761136,0.00839251129761136,0.379443662456714,1.52808354060093,25,86,"TFE3;OPTN;TOMM40;RELA;RRAS2;UBA52;RPS27A;UBC;TOMM7;RAB7A;RAB5A;USP30;MFN2;KRAS;E2F1;MTX1;BCL2L13;CCZ1;RABGEF1;MAP1LC3B;UBB;TOMM20;TBC1D15;SMURF2;MAPK9;BECN1;ATF4;CSNK2B;RAB5C;BNIP3;AMFR;CITED2;CCZ1B;MUL1;NRAS;TOMM70;CSNK2A1;FOXO3;PHB2",0.00839251129761136,0.106217658084878,0.0627389835542191,0.00129012224627985,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"global",0.25,4,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ099",2462,98,785,8.01020408163265,1022,1440,2.80161723669579,1635,0.410235580828595,0.299756295694557,0.277822908204712,0.0121852152721365,"Mitophagy - animal",0.00918897323212145,0.0101255569056298,0.372034517069893,1.56193481483645,22,88,"MTX1;TOMM40;RELA;TFE3;TOMM70;MFN2;MAPK9;OPTN;ATF4;MUL1;BCL2L13;RRAS2;RAB7A;E2F1;BECN1;AMFR;BNIP3;HUWE1;NRAS;FUNDC1;PGAM5;MAP1LC3B2;UBA52;SMURF2;UBC;MTX2;EIF2S1;TOMM20",0.0101255569056298,0.106217658084878,0.0636142105938181,0.00134940994535099,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"global",0.25,4,1000,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ102",2316,85,764,8.98823529411765,916,1400,2.78987186489388,1674,0.426597582037997,0.315630397236615,0.245250431778929,0.0125215889464594,"Mitophagy - animal",0.00938967136150235,0.0187793427230047,0.372345512661774,1.54915236829203,23,87,"MTX1;TOMM40;RELA;MFN2;TFE3;TOMM70;ATF4;PGAM5;OPTN;BNIP3;MAPK9;MUL1;RRAS2;BECN1;E2F1;BCL2L13;RAB7A;HUWE1;AMFR;NRAS;MAP1LC3B2;FUNDC1;EIF2S1;SMURF2;UBC;UBA52;TOMM20;TBK1;MTX2;ATG9A",0.0187793427230047,0.106217658084878,0.0636142105938181,0.00136392854895154,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"global",0.2,4,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ058",1975,67,657,9.80597014925373,831,1144,2.79941065038939,1574,0.394936708860759,0.309367088607595,0.28253164556962,0.0131645569620253,"Mitophagy - animal",0.00989315393747527,0.0136217948717949,0.365762969492136,1.54052938290025,24,84,"OPTN;RELA;TOMM40;TFE3;MAPK9;E2F1;MTX1;FUNDC1;MUL1;TOMM70;MFN2;MAP1LC3B2;BNIP3;EIF2S1;RAB7A;ATF4;SMURF2;FKBP8;UBA52;BCL2L13;NRAS;RRAS2;SP1;HUWE1;RAB5A;AMFR;UBC;BECN1;RPS27A;CSNK2A2;TOMM20;MTX2;CALCOCO2;RAB5C;OPA1;SAMM50;PHB2;TAX1BP1;NBR1",0.0136217948717949,0.106217658084878,0.0636142105938181,0.00139966277671764,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"global",0.2,4,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ059",1954,67,655,9.77611940298507,815,1139,2.81368757849268,1579,0.398669396110542,0.312691914022518,0.275844421699079,0.0127942681678608,"Mitophagy - animal",0.0103958416633347,0.0207916833266693,0.367189857260653,1.5347179966198,25,84,"OPTN;RELA;TOMM40;MAPK9;TFE3;E2F1;MTX1;TOMM70;FUNDC1;BNIP3;MUL1;MAP1LC3B2;MFN2;EIF2S1;ATF4;RAB7A;RRAS2;SMURF2;SP1;UBA52;HUWE1;BCL2L13;FKBP8;NRAS;RAB5A;AMFR;UBC;BECN1;RPS27A;TOMM20;CSNK2A2;MTX2;CALCOCO2;OPA1;SAMM50;RAB5C;PHB2;NBR1;TAX1BP1",0.0207916833266693,0.106217658084878,0.0636142105938181,0.0014344175221633,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"within_sample",0.15,5,1000,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ277",1683,82,419,5.10975609756098,698,985,3.33333333333333,1695,0.534165181224005,0.28698752228164,0.164587046939988,0.0142602495543672,"Mitophagy - animal",0.0105062082139446,0.0105062082139446,0.379443662456714,1.52045864740857,32,86,"TFE3;OPTN;TOMM40;RELA;RRAS2;UBA52;RPS27A;UBC;TOMM7;RAB7A;RAB5A;USP30;MFN2;KRAS;E2F1;MTX1;BCL2L13;CCZ1;RABGEF1;MAP1LC3B;UBB;TOMM20;TBC1D15;SMURF2;MAPK9;BECN1;ATF4;CSNK2B;RAB5C;BNIP3;AMFR;CITED2;CCZ1B;MUL1;NRAS;TOMM70;CSNK2A1;FOXO3;PHB2",0.0105062082139446,0.106217658084878,0.0636142105938181,0.0014419311913479,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"within_sample",0.15,4.5,500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ268",1656,84,413,4.91666666666667,737,919,3.17404282718449,1612,0.502415458937198,0.259661835748792,0.22463768115942,0.0132850241545894,"Mitophagy - animal",0.010529779532741,0.010529779532741,0.378600371115135,1.53688359382306,31,86,"TFE3;OPTN;RRAS2;TOMM40;UBA52;RELA;BCL2L13;RPS27A;RAB7A;UBC;MFN2;RAB5A;TOMM7;TOMM20;MAP1LC3B;BECN1;CCZ1;RAB5C;FUNDC1;SMURF2;UBB;MUL1;CCZ1B;MTX1;MAPK9;CSNK2B;CSNK2A1;AMFR;E2F1;PHB2;USP30;KRAS;NRAS;CALCOCO2;ATF4;TBC1D15;TOMM70;FKBP8;SMURF1;CSNK2A2;CITED2",0.010529779532741,0.106217658084878,0.0636142105938181,0.00144353062147866,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"global",0.25,4,1000,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ101",2317,85,764,8.98823529411765,916,1401,2.78969957081545,1674,0.426845058264998,0.315494173500216,0.245144583513164,0.0125161847216228,"Mitophagy - animal",0.0106846062524733,0.0213692125049466,0.368903939787532,1.52399161839929,26,87,"TOMM40;MTX1;RELA;MFN2;TFE3;TOMM70;ATF4;OPTN;PGAM5;MAPK9;BNIP3;MUL1;RRAS2;BECN1;E2F1;HUWE1;BCL2L13;RAB7A;AMFR;NRAS;MAP1LC3B2;EIF2S1;FUNDC1;SMURF2;UBC;UBA52;TOMM20;TBK1;MTX2;ATG9A",0.0213692125049466,0.106217658084878,0.0636142105938181,0.00145399074561724,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"global",0.25,4.5,1000,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ109",2645,105,859,8.18095238095238,1011,1634,2.96708391284191,1688,0.435538752362949,0.31758034026465,0.235160680529301,0.0117202268431002,"Mitophagy - animal",0.0108359133126935,0.021671826625387,0.366927606552536,1.52147023579769,27,87,"MTX1;RELA;TOMM40;TFE3;TOMM70;MAPK9;OPTN;E2F1;BECN1;RRAS2;MUL1;MFN2;ATF4;BCL2L13;AMFR;NRAS;SMURF2;PGAM5;BNIP3;FUNDC1;HUWE1;EIF2S1;TOMM20;RAB7A;UBA52;CSNK2A1;UBC;MAP1LC3B2;OPA1;CSNK2A2",0.021671826625387,0.106217658084878,0.0636142105938181,0.0014641377186162,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"within_sample",0.15,4,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ259",1381,62,369,5.95161290322581,590,791,2.97933685728015,1600,0.501086169442433,0.266473569876901,0.217958001448226,0.0144822592324403,"Mitophagy - animal",0.0111856823266219,0.0111856823266219,0.373441389070951,1.52165191093337,34,82,"TFE3;RRAS2;UBA52;OPTN;TOMM40;RAB7A;RELA;MFN2;RPS27A;BCL2L13;UBC;RAB5A;TBC1D15;CCZ1;TOMM7;E2F1;MAP1LC3B;FUNDC1;TOMM20;SMURF2;RAB5C;ATF4;MUL1;MTX1;UBB;NRAS;FOXO3;BECN1;MAPK9;KRAS;FKBP8;CALCOCO2;CITED2;CSNK2A1;BNIP3;CSNK2B;USP30;HUWE1",0.0111856823266219,0.106217658084878,0.0636142105938181,0.00148731723835299,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
