"case_id","axis","case_label","sample_id","patient_pair","condition_simple","n_cells"
"qc_combined","QC","Combined strict QC","M127","P1","relapse",785
"qc_combined","QC","Combined strict QC","M143","P2","diagnosis",571
"qc_combined","QC","Combined strict QC","M148","P2","relapse",192
"qc_combined","QC","Combined strict QC","M187","P3","diagnosis",353
"qc_combined","QC","Combined strict QC","M187r","P3","relapse",462
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M104","P1","diagnosis",140
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M127","P1","relapse",971
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M143","P2","diagnosis",712
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M148","P2","relapse",269
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M187","P3","diagnosis",456
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M187r","P3","relapse",659
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M104","P1","diagnosis",140
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M127","P1","relapse",971
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M143","P2","diagnosis",712
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M148","P2","relapse",269
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M187","P3","diagnosis",456
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M187r","P3","relapse",659
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M104","P1","diagnosis",140
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M127","P1","relapse",971
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M143","P2","diagnosis",712
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M148","P2","relapse",269
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M187","P3","diagnosis",456
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M187r","P3","relapse",659
"model_nonrobust","Model","Non-robust dispersion","M104","P1","diagnosis",140
"model_nonrobust","Model","Non-robust dispersion","M127","P1","relapse",971
