"pathway_id","pathway_name","valid_cases_n","positive_NES_cases_n","negative_NES_cases_n","nominal_P_lt_0.05_cases_n","global_FDR_lt_0.10_cases_n","global_FDR_lt_0.05_cases_n","NES_min","NES_median","NES_max","nominal_P_min","nominal_P_max","global_FDR_min","global_FDR_max"
"hsa03050","Proteasome",25,25,0,18,10,2,1.12562955128272,1.51755750689469,1.73289979572266,0.00404619510641344,0.27037773359841,0.0424092448796065,0.539145968209901
"hsa04136","Autophagy - other",25,0,25,0,0,0,-1.35995126726051,-1.16494882269534,-0.861837489335897,0.105788423153693,0.685897435897436,0.260772104607721,0.779527879527879
"hsa04137","Mitophagy - animal",25,25,0,21,6,2,0.933853391590466,1.4048564788987,1.68376907976977,0.00202336499761073,0.573385518590998,0.0394630458842357,0.725029148853478
"hsa04140","Autophagy - animal",25,3,22,1,0,0,-1.34710321046887,-0.913564078186305,0.89924105567119,0.0237256282020989,0.997979797979798,0.143580956878219,0.997979797979798
