"selection_scope","top_fraction","mt_max","min_features","upper_feature_cap","specification_axis","gene_filter","robust_dispersion","normalization","rank_metric","specification_id","n_cells_total","min_cells_per_sample","max_cells_per_sample","sample_cell_imbalance_ratio","diagnosis_cells_n","relapse_cells_n","median_percent_mt","median_nFeature_RNA","cycling_prop","immature_prop","quiescent_prop","er_stress_prop","valid","invalid_reason","primary_equivalent"
"global",0.15,4,1500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ023",745,25,278,11.12,248,497,2.86327845382963,1809,0.464429530201342,0.428187919463087,0.100671140939597,0.00671140939597315,TRUE,"",FALSE
"global",0.15,4,1500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ024",745,25,278,11.12,248,497,2.86327845382963,1809,0.464429530201342,0.428187919463087,0.100671140939597,0.00671140939597315,TRUE,"",FALSE
"global",0.15,4.5,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ025",1699,56,591,10.5535714285714,732,967,3.01937809824245,1504,0.4072984108299,0.293113596233078,0.285462036492054,0.0141259564449676,TRUE,"",FALSE
"global",0.15,4.5,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ026",1699,56,591,10.5535714285714,732,967,3.01937809824245,1504,0.4072984108299,0.293113596233078,0.285462036492054,0.0141259564449676,TRUE,"",FALSE
"global",0.15,4.5,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ027",1677,56,588,10.5,716,961,3.02768166089965,1510,0.411449016100179,0.29695885509839,0.277280858676207,0.0143112701252236,TRUE,"",FALSE
"global",0.15,4.5,500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ028",1677,56,588,10.5,716,961,3.02768166089965,1510,0.411449016100179,0.29695885509839,0.277280858676207,0.0143112701252236,TRUE,"",FALSE
"global",0.15,4.5,1000,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ029",1485,43,561,13.046511627907,571,914,3.00623936471923,1573,0.444444444444444,0.329292929292929,0.211447811447811,0.0148148148148148,TRUE,"",FALSE
"global",0.15,4.5,1000,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ030",1485,43,561,13.046511627907,571,914,3.00623936471923,1573,0.444444444444444,0.329292929292929,0.211447811447811,0.0148148148148148,TRUE,"",FALSE
"global",0.15,4.5,1500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ031",857,29,312,10.7586206896552,274,583,3.01939058171745,1819,0.471411901983664,0.425904317386231,0.0956826137689615,0.00700116686114352,TRUE,"",FALSE
"global",0.15,4.5,1500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ032",857,29,312,10.7586206896552,274,583,3.01939058171745,1819,0.471411901983664,0.425904317386231,0.0956826137689615,0.00700116686114352,TRUE,"",FALSE
"global",0.15,5,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ033",1925,64,643,10.046875,838,1087,3.17529360591562,1495,0.395844155844156,0.294545454545455,0.295584415584416,0.014025974025974,TRUE,"",FALSE
"global",0.15,5,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ034",1925,64,643,10.046875,838,1087,3.17529360591562,1495,0.395844155844156,0.294545454545455,0.295584415584416,0.014025974025974,TRUE,"",FALSE
"global",0.15,5,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ035",1900,64,640,10,820,1080,3.17991631799163,1501.5,0.4,0.297894736842105,0.287894736842105,0.0142105263157895,TRUE,"",FALSE
"global",0.15,5,500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ036",1900,64,640,10,820,1080,3.17991631799163,1501.5,0.4,0.297894736842105,0.287894736842105,0.0142105263157895,TRUE,"",FALSE
"global",0.15,5,1000,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ037",1662,50,609,12.18,634,1028,3.12860122182156,1573.5,0.436823104693141,0.33453670276775,0.213598074608905,0.0150421179302046,TRUE,"",FALSE
"global",0.15,5,1000,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ038",1662,50,609,12.18,634,1028,3.12860122182156,1573.5,0.436823104693141,0.33453670276775,0.213598074608905,0.0150421179302046,TRUE,"",FALSE
"global",0.15,5,1500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ039",954,32,343,10.71875,294,660,3.1571136977698,1821,0.471698113207547,0.427672955974843,0.0932914046121593,0.00733752620545073,TRUE,"",FALSE
"global",0.15,5,1500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ040",954,32,343,10.71875,294,660,3.1571136977698,1821,0.471698113207547,0.427672955974843,0.0932914046121593,0.00733752620545073,TRUE,"",FALSE
"global",0.2,3,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ041",1155,40,362,9.05,573,582,2.27956989247312,1547,0.358441558441558,0.298701298701299,0.329004329004329,0.0138528138528139,TRUE,"",FALSE
"global",0.2,3,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ042",1154,40,362,9.05,573,581,2.27868071251534,1547,0.3578856152513,0.29896013864818,0.329289428076256,0.0138648180242634,TRUE,"",FALSE
