"pathway_id","pathway_name","GSEA_NES","GSEA_nominal_P","GSEA_global_FDR","n_pairs","pairs_relapse_higher","median_paired_delta","paired_t_P","exact_paired_Wilcoxon_P"
"hsa03050","Proteasome",1.52779981316517,0.0181870601426723,0.108814105599378,3,3,0.289266620236197,0.0598495766844275,0.25
"hsa04136","Autophagy - other",-1.3362951295557,0.116541353383459,0.299392911347201,3,0,-0.41635109414888,0.106425685847778,0.25
"hsa04137","Mitophagy - animal",1.44241575371799,0.0158390970690435,0.0998428797387919,3,3,0.27613684014488,0.149191936086637,0.25
"hsa04140","Autophagy - animal",-0.930497218533958,0.617647058823529,0.754427030327702,3,0,-0.534948934315121,0.0488244589568891,0.25
