"case_id","axis","case_label","primary_analysis","n_patients","n_cells_total","min_cells_per_sample","genes_ranked_n","direction","global_FDR_tier","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total","target_family2_BH","target_family2_Holm","target_family4_BH","target_family4_Holm","display_name","program","FDR_tier","FDR_evidence","FDR_label"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa05235 PD-L1 expression and PD-1 checkpoint pathway in cancer",6.4222412888745e-05,0.00151564894417438,0.538434096309916,0.480731136449156,1.87938362353315,77,"FOS;CD247;RELA;STAT3;BATF3;RASGRP1;BATF;PDCD1;MAP2K3;NFATC3;NFKBIE;IFNGR2;NFATC1;NFATC2;MYD88;PPP3R1;PTPN6;PIK3R3;MAP3K3;CD3D;IFNG;NFKB1;NFKBIB;RPS6KB1;MAP2K1;STAT1;JAK1;EML4;NRAS;TLR9;LAT;KRAS;CD28","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",90,,,,,"PD-L1 and PD-1 checkpoint","T-cell and cytokine signaling","FDR < 0.05",2.81940137869287,"0.002"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04659 Th17 cell differentiation",3.35321949245747e-07,2.96759925082486e-05,0.674962860011025,0.544648231214392,2.16855513015137,84,"IL4;FOS;TBX21;IL2RA;STAT5A;IL4R;IL21R;TGFB1;IL27RA;CD247;RELA;STAT3;GATA3;RARA;NFATC3;IL1B;NFKBIE;IFNGR2;HLA-DPA1;MAPK9;HLA-DRA;NFATC1;JAK3;HLA-DQB1;NFATC2;PPP3R1","hsa04659","Th17 cell differentiation",109,,,,,"Th17 differentiation","T-cell and cytokine signaling","FDR < 0.05",4.5275947472294,"3.0e-05"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04658 Th1 and Th2 cell differentiation",1.29727246715219e-08,1.53078151123959e-06,0.747739663149885,0.60457453380639,2.34890858001568,70,"IL4;RUNX3;FOS;TBX21;MAF;IL2RA;STAT5A;IL4R;CD247;RELA;GATA3;NFATC3;NFKBIE;IFNGR2;HLA-DPA1;MAPK9;HLA-DRA;NFATC1;JAK3;HLA-DQB1;NFATC2;MAML3;PPP3R1","hsa04658","Th1 and Th2 cell differentiation",93,,,,,"Th1 and Th2 differentiation","T-cell and cytokine signaling","FDR < 0.05",5.81508679181931,"1.5e-06"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR 0.05b","hsa04218 Cellular senescence",0.0173476041891175,0.0797539205577609,0.352487857583619,0.336461028855058,1.43006361474208,128,"GADD45B;MYC;TGFB1;RELA;FOXO1;CALM1;HLA-C;VDAC1;HLA-B;MAP2K3;NFATC3;HLA-E;HLA-A;NFATC1;NFATC2;SLC25A5;PPP1CC;PPP3R1;E2F5;PIK3R3;RASSF5;FBXW11;RAD1;ZFP36L1;HLA-F;MDM2;RRAS2;ETS1;VDAC2;SLC25A6;CALM3;NFKB1;SERPINE1;MAP2K1","hsa04218","Cellular senescence",157,,,,,"Cellular senescence","Stress, survival and cell fate","FDR 0.05 to <0.10",1.09824795861874,"0.080"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04210 Apoptosis",0.00550357857371339,0.0335908071568024,0.407017918923954,0.355790897327819,1.48576891886327,115,"GADD45B;CTSW;FOS;CTSC;ACTB;BCL2A1;RIPK1;RELA;ACTG1;CTSZ;BID;MAPK9;BAX;LMNA;TNFSF10;TUBA4A;DIABLO;TUBA1C;PIK3R3;BBC3;CTSF;ATF4;PMAIP1;CASP7;MAP3K14;NFKB1;MAP2K1;TUBA1B","hsa04210","Apoptosis",137,,,,,"Apoptosis","Stress, survival and cell fate","FDR < 0.05",1.47377956032822,"0.034"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04010 MAPK signaling pathway",0.0040141077391858,0.0272133581263039,0.407017918923954,0.335387697192735,1.48974928985981,175,"GADD45B;FOS;MYC;PTPN7;TGFB1;RELA;DUSP6;RASGRP1;RAP1A;PRKCA;MAP2K3;FLT3LG;NFATC3;IL1B;MAP3K8;MAPK9;RAP1B;MKNK2;FLT1;GNA12;NFATC1;NFKB2;DUSP2;MYD88;RPS6KA5;MAPKAPK3;PPP3R1;ELK1;MAP3K3;FGF9;RASGRP3;MAP4K2;RRAS2;RASA2;CDC25B;MAP3K7;RASGRP2;PDGFA;GRB2;MAP3K4;ATF4;DUSP5;DUSP1;RELB;IRAK1;RAC1;MAP3K14;NFKB1;MAP3K1;RPS6KA3;MAP2K1","hsa04010","MAPK signaling pathway",300,,,,,"MAPK signaling","Stress, survival and cell fate","FDR < 0.05",1.56521786300762,"0.027"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR 0.05b","hsa04066 HIF-1 signaling pathway",0.0126240292122208,0.0647667585670461,0.380730400722792,0.390254882137669,1.52640992289309,78,"LDHA;RELA;STAT3;EPAS1;PRKCA;PGK1;ALDOA;ALDOC;IFNGR2;MKNK2;FLT1;ELOC;HK1;ENO1;LDHB;PIK3R3;GAPDH;PFKP;RPS6;EIF4E2;IFNG;EGLN2;ELOB;RBX1;NFKB1;RPS6KB1;SERPINE1;MAP2K1;VHL;PDHA1;TFRC;CAMK2D","hsa04066","HIF-1 signaling pathway",110,,,,,"HIF-1 signaling","Stress, survival and cell fate","FDR 0.05 to <0.10",1.18864783788005,"0.065"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04064 NF-kappa B signaling pathway",0.00861298561399736,0.0491773694734688,0.380730400722792,0.400113210612599,1.55444505080704,71,"GADD45B;PLAU;MALT1;BCL2A1;RIPK1;RELA;LTB;IL1B;TNFSF14;NFKB2;MYD88;MAP3K7;TRAF3;CCL4;BCL10;RELB;IRAK1;MAP3K14;NFKB1","hsa04064","NF-kappa B signaling pathway",105,,,,,"NF-kappa B signaling","Stress, survival and cell fate","FDR < 0.05",1.30823470564429,"0.049"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04217 Necroptosis",0.00400960709950437,0.0272133581263039,0.407017918923954,0.38281287104873,1.56437327153857,94,"STAT5A;RIPK1;FTL;STAT3;VDAC1;BID;IL1B;IFNGR2;MAPK9;BAX;TNFSF10;JAK3;GLUD1;SLC25A5;CHMP2B;SPATA2;FTH1;PPIA;SPATA2L;IFNG;VPS4A;VDAC2;SLC25A6;CHMP1A;CASP1;STAT2;STAT1;JAK1;TNFRSF10A;EIF2AK2;CAMK2D;HSP90AB1;CAPN2;CHMP4B;CHMP2A;SMPD1;BCL2;CHMP5;STAT4","hsa04217","Necroptosis",168,,,,,"Necroptosis","Stress, survival and cell fate","FDR < 0.05",1.56521786300762,"0.027"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa05202 Transcriptional misregulation in cancer",0.000663965785810263,0.0078347962725611,0.477270815362862,0.411403498411127,1.70748486659285,109,"ID2;GADD45B;MYC;ITGB7;PLAU;MAF;PER2;BCL2A1;RELA;TFE3;DUSP6;ETV5;TLX3;FOXO1;RARA;BAX;FLT1;HHEX;PROM1;HPGD;SIN3A;MYCN;TSPAN7;REL;MDM2;ATF1;PRCC;PDGFA;DDX5;HDAC2;NR4A3;NFKB1;DOT1L;HDAC1;LYL1","hsa05202","Transcriptional misregulation in cancer",201,,,,,"Transcriptional misregulation in cancer","Stress, survival and cell fate","FDR < 0.05",2.10597229196538,"0.008"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_down","FDR < 0.05","hsa04742 Taste transduction",0.00476970782540416,0.0301513673248763,0.407017918923954,-0.681733620165741,-1.84092938420851,12,"SCN2A;SCN3A;GABBR1","hsa04742","Taste transduction",86,,,,,"Taste transduction","Relapse-down pathways","FDR < 0.05",1.52069298839335,"0.030"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_down","FDR < 0.05","hsa00511 Other glycan degradation",0.00407431632964437,0.0272133581263039,0.407017918923954,-0.636549321201593,-1.83256391197531,16,"GBA2;MAN2B2;MANBA;MAN2C1;ENGASE","hsa00511","Other glycan degradation",18,,,,,"Other glycan degradation","Relapse-down pathways","FDR < 0.05",1.56521786300762,"0.027"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_down","FDR 0.05b","hsa00562 Inositol phosphate metabolism",0.0165115860931254,0.0779346863595518,0.352487857583619,-0.365075218208309,-1.46887996204952,65,"INPP4B;PLCD1;PIK3C3;MTMR8;PLCG2;INPP5B;PIP4K2A;IP6K2;OCRL;PIP4K2B;PLCB1;INPP4A;INPP5F;MINPP1;PLCH1;PIP5K1A;IP6K1;INPP1;MTMR4;PLCB2","hsa00562","Inositol phosphate metabolism",78,,,,,"Inositol phosphate metabolism","Relapse-down pathways","FDR 0.05 to <0.10",1.10826920803003,"0.078"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_down","FDR 0.05b","hsa04070 Phosphatidylinositol signaling system",0.0224935031557528,0.0925164132128848,0.352487857583619,-0.348674160881985,-1.46341908105059,77,"INPP4B;DGKE;PLCD1;PIK3C3;MTMR8;DGKH;PLCG2;INPP5B;PIP4K2A;IP6K2;OCRL;CALML4;PIP4K2B;PLCB1;INPP4A;ITPR2;INPP5F;DGKA;PIP5K1A;PIP4P2;ITPR1;IP6K1;INPP1;MTMR4;PLCB2","hsa04070","Phosphatidylinositol signaling system",98,,,,,"Phosphatidylinositol signaling","Relapse-down pathways","FDR 0.05 to <0.10",1.03378121282368,"0.093"
